country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-07-2026 18:00:00",28.7500499,77.1112615,PM10,28,301,139
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-07-2026 18:00:00",28.7500499,77.1112615,NH3,7,11,9
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","11-07-2026 18:00:00",28.54246,77.191651,PM2.5,24,179,66
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","11-07-2026 18:00:00",28.54246,77.191651,CO,15,21,19
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-07-2026 18:00:00",28.563262,77.186937,PM2.5,5,143,46
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","11-07-2026 18:00:00",28.6573814,77.1585447,PM10,51,387,163
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","11-07-2026 18:00:00",28.6573814,77.1585447,NO2,30,133,66
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","11-07-2026 18:00:00",28.6573814,77.1585447,CO,61,74,66
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","11-07-2026 18:00:00",28.5918245,77.2273074,NO2,2,20,8
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","11-07-2026 18:00:00",28.5918245,77.2273074,SO2,NA,NA,NA
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","11-07-2026 18:00:00",28.5918245,77.2273074,OZONE,22,45,35
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-07-2026 18:00:00",28.822836,77.101981,NO2,10,24,16
India,Delhi,Delhi,"Pusa, Delhi - IITM","11-07-2026 18:00:00",28.63611,77.173332,NO2,32,100,55
India,Delhi,Delhi,"Pusa, Delhi - IITM","11-07-2026 18:00:00",28.63611,77.173332,NH3,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IITM","11-07-2026 18:00:00",28.63611,77.173332,SO2,NA,NA,NA
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.710508,77.249485,PM10,20,389,155
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.710508,77.249485,NH3,12,15,13
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.710508,77.249485,SO2,0,7,2
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.710508,77.249485,CO,35,39,37
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-07-2026 18:00:00",28.7762,77.051074,NH3,5,14,10
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","11-07-2026 18:00:00",28.623763,77.287209,SO2,2,4,3
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","11-07-2026 18:00:00",28.58028,77.233829,SO2,1,10,6
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","11-07-2026 18:00:00",28.570173,76.933762,OZONE,12,19,15
India,Delhi,Delhi,"Mundka, Delhi - DPCC","11-07-2026 18:00:00",28.684678,77.076574,PM2.5,13,107,54
