District,school_count,avg_pm25,median_pm25,avg_pm10,avg_no2,avg_distance_km,max_distance_km,unique_stations_used
North West B-II,146,115.51,116.04,237.36,37.43,3.81,11.34,5
North West B-I,180,114.84,114.85,253.21,48.54,2.25,5.98,6
North West A,225,111.45,112.19,225.67,38.81,2.44,8.92,12
North,98,102.38,97.67,205.04,44.66,2.27,4.18,7
East,251,102.11,101.34,217.35,51.16,2.38,7.87,9
West A,117,96.86,94.28,198.55,47.7,2.65,5.58,8
South West A,90,95.51,88.32,192.92,48.14,2.15,5.07,10
South East,177,95.0,92.05,198.71,49.11,2.49,7.14,7
South,139,93.5,92.05,186.76,40.98,2.41,7.5,9
North East-I,186,93.47,96.23,187.61,35.5,2.59,6.95,3
South West B-I,152,92.69,101.3,200.71,52.92,2.68,7.33,5
Central,68,92.41,97.67,174.77,53.7,1.28,2.79,4
West B,269,91.89,73.0,208.81,45.4,3.31,15.2,5
New Delhi,17,90.96,90.16,168.4,52.33,1.26,2.93,6
North East-II,184,82.12,74.73,170.52,43.47,2.15,3.98,4
South West B-II,124,75.1,73.0,158.23,46.77,4.37,7.34,3
