District,School Name,Address,SchoolLevel,Latitude,Longitude,Type,nearest_station_id,nearest_station_name,distance_km,station_id,station_name,network,n_days,date_min,date_max,PM2.5 (µg/m³)_mean,PM2.5 (µg/m³)_median,PM2.5 (µg/m³)_max,PM2.5 (µg/m³)_missing_pct,PM10 (µg/m³)_mean,PM10 (µg/m³)_median,PM10 (µg/m³)_max,PM10 (µg/m³)_missing_pct,NO (µg/m³)_mean,NO (µg/m³)_median,NO (µg/m³)_max,NO (µg/m³)_missing_pct,NO2 (µg/m³)_mean,NO2 (µg/m³)_median,NO2 (µg/m³)_max,NO2 (µg/m³)_missing_pct,NOx (ppb)_mean,NOx (ppb)_median,NOx (ppb)_max,NOx (ppb)_missing_pct,NH3 (µg/m³)_mean,NH3 (µg/m³)_median,NH3 (µg/m³)_max,NH3 (µg/m³)_missing_pct,SO2 (µg/m³)_mean,SO2 (µg/m³)_median,SO2 (µg/m³)_max,SO2 (µg/m³)_missing_pct,CO (mg/m³)_mean,CO (mg/m³)_median,CO (mg/m³)_max,CO (mg/m³)_missing_pct,Ozone (µg/m³)_mean,Ozone (µg/m³)_median,Ozone (µg/m³)_max,Ozone (µg/m³)_missing_pct,Benzene (µg/m³)_mean,Benzene (µg/m³)_median,Benzene (µg/m³)_max,Benzene (µg/m³)_missing_pct,Toluene (µg/m³)_mean,Toluene (µg/m³)_median,Toluene (µg/m³)_max,Toluene (µg/m³)_missing_pct,exposure_confidence
North West A,The Vivekanand School,"Shiv Mandir Colony, Narela, Delhi-40",Sr.Secondary,28.870837,77.080305,Unaided,STN_029,Narela,5.74,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,Medium
North West A,NATIONAL PUBLIC SCHOOL,"SAFIABAD ROAD NARELA, DELHI - 110040",Secondary,28.86363113,77.08559111,Unaided,STN_029,Narela,4.809,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,Singhu-G(Co-Ed)SSS,"Singhu,Delhi",Sr.Secondary,28.86179249,77.13693122,Govt,STN_001,Alipur,5.399,STN_001,Alipur,DPCC,365.0,2025-01-01,2025-12-31,99.94723287671232,80.21,358.79,0.0,207.1024383561644,189.58,586.61,0.0,9.197150684931508,3.86,75.87,0.0,36.297616438356165,32.73,81.79,0.0,26.699534246575343,21.02,99.76,0.0,43.292054794520546,46.52,84.63,0.0,10.76425,8.71,35.32,1.36986301369863,1.0562191780821917,0.93,3.66,0.0,26.952865013774105,24.01,202.61,0.547945205479452,1.352958904109589,0.58,52.05,0.0,4.921589041095891,1.71,62.62,0.0,Medium
North West A,"Narela,Sect. A-6, Pkt-2 -SBV","GBSSS, Sect. A-6, Pkt-2, Narela, Delhi-110040",Sarvodaya Sr.Secondary,28.856882,77.100818,Govt,STN_029,Narela,3.787,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,DAV CENTENARY PUBLIC SCHOOL,NARELA DELHI - 110040,Sr.Secondary,28.85630775,77.08453325,Unaided,STN_029,Narela,4.092,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,"Narela, Sect. A-6, Pocket-2- GGSSS","Sect. A-6, Pocket-2, Narela",Sr.Secondary,28.8508005,77.10354023,Govt,STN_029,Narela,3.113,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,Bankner-SBV,"Vill & PO-Bankner,Near Narela-110040",Sarvodaya Sr.Secondary,28.85053492,77.07317836,Govt,STN_029,Narela,4.166,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,Bankner-GGSSS,Bankner,Sr.Secondary,28.85043049,77.07313832,Govt,STN_029,Narela,4.16,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,NEW HAPPY PUBLIC SCHOOL,T- 230 SHIVAJI NAGAR NARELA DELHI - 110040,Middle,28.84885007,77.09044614,Unaided,STN_029,Narela,3.103,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,"Narela, Pocket 5 & 6-GGSSS","Pocket A-5-6, Narela",Sr.Secondary,28.84824112,77.09397887,Govt,STN_029,Narela,2.93,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,Narela-GBSSS (Mussadi Lal),Narela,Sr.Secondary,28.84696299,77.09353851,Govt,STN_029,Narela,2.806,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,"Narela, No.1-SKV",Narela,Sarvodaya Sr.Secondary,28.84641838,77.08987478,Govt,STN_029,Narela,2.875,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,"Narela, No.2-SKV",Narela,Sarvodaya Sr.Secondary,28.84632035,77.09016961,Govt,STN_029,Narela,2.854,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,"Narela, SBV",Narela,Sarvodaya Sr.Secondary,28.84611702,77.0937439,Govt,STN_029,Narela,2.71,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,BHAGAT JI MEMORIAL MODEL SCHOOL,KHASRA NO 34/8/1 YAMUNA ROAD PALLA DELHI,Sr.Secondary,28.84473633,77.19244952,Unaided,STN_001,Alipur,5.045,STN_001,Alipur,DPCC,365.0,2025-01-01,2025-12-31,99.94723287671232,80.21,358.79,0.0,207.1024383561644,189.58,586.61,0.0,9.197150684931508,3.86,75.87,0.0,36.297616438356165,32.73,81.79,0.0,26.699534246575343,21.02,99.76,0.0,43.292054794520546,46.52,84.63,0.0,10.76425,8.71,35.32,1.36986301369863,1.0562191780821917,0.93,3.66,0.0,26.952865013774105,24.01,202.61,0.547945205479452,1.352958904109589,0.58,52.05,0.0,4.921589041095891,1.71,62.62,0.0,Medium
North West A,Palla Majra-GBSSS,"Palla Majra,Delhi-36",Sr.Secondary,28.84432514,77.18725354,Govt,STN_001,Alipur,4.639,STN_001,Alipur,DPCC,365.0,2025-01-01,2025-12-31,99.94723287671232,80.21,358.79,0.0,207.1024383561644,189.58,586.61,0.0,9.197150684931508,3.86,75.87,0.0,36.297616438356165,32.73,81.79,0.0,26.699534246575343,21.02,99.76,0.0,43.292054794520546,46.52,84.63,0.0,10.76425,8.71,35.32,1.36986301369863,1.0562191780821917,0.93,3.66,0.0,26.952865013774105,24.01,202.61,0.547945205479452,1.352958904109589,0.58,52.05,0.0,4.921589041095891,1.71,62.62,0.0,High
North West A,"CM SHRI School, A-10 Pocket-5, Narela","A-10 Pocket-5, Narela",CM SHRI School (VI-XII)(Sr.Secondary),28.84356344,77.09835449,Govt,STN_029,Narela,2.332,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
North West A,"SOSE, A-10, Pocket- 5, Narela","A-10, Pocket- 5, Narela",SOSE(Sr.Secondary),28.84356344,77.09835449,Govt,STN_029,Narela,2.332,STN_029,Narela,DPCC,365.0,2025-01-01,2025-12-31,109.104,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0,High
