Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),SR (W/mt2),BP (mmHg),station_id,station_name,network,source_file
2025-01-01,145.44,225.27,5.1,29.23,19.69,25.45,5.57,1.02,31.54,1.59,8.96,11.05,88.42,,195.78,0.0,71.17,995.48,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-02,189.46,295.81,9.11,34.3,25.65,25.67,5.95,1.32,31.47,1.83,9.98,11.72,85.9,,269.53,0.0,74.02,994.74,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-03,215.17,334.45,22.59,48.79,44.32,55.77,4.83,1.63,18.04,2.65,15.21,12.36,87.79,,186.96,0.0,66.67,994.62,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-04,200.18,267.84,14.27,70.83,49.28,80.61,5.07,1.69,10.93,2.46,14.54,12.17,90.35,,118.94,0.0,64.75,992.84,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-05,192.54,310.4,11.89,65.67,44.6,60.89,7.47,1.32,19.94,1.84,6.9,12.51,83.38,,80.34,0.0,90.02,992.82,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-06,175.83,256.76,5.41,55.73,34.04,45.6,4.41,1.15,20.29,1.71,7.83,12.77,88.91,,193.9,5.0,56.7,993.96,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-07,158.0,225.42,6.24,47.54,30.36,61.48,4.73,1.09,34.26,1.53,8.42,12.51,85.05,,261.72,0.0,38.38,994.88,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-08,143.0,220.12,13.17,59.53,42.36,68.8,6.52,1.17,34.71,2.21,13.36,12.89,77.85,,251.23,0.0,117.42,992.35,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-09,313.17,459.58,49.2,65.99,75.09,65.42,7.4,1.52,22.96,2.84,14.19,11.82,83.48,,195.11,0.0,98.73,994.58,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-10,234.71,322.96,9.51,66.21,42.95,58.49,7.77,1.35,11.19,2.03,11.3,11.44,89.66,,100.09,1.0,60.73,996.44,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-11,174.75,245.98,11.28,58.4,40.23,50.95,5.48,1.31,25.95,2.1,10.62,12.12,88.51,,119.4,3.5,56.06,995.23,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-12,124.99,168.88,7.52,52.32,33.95,51.14,5.14,1.03,18.47,2.02,9.7,12.49,90.45,,254.67,0.0,54.71,996.18,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-13,105.72,147.65,4.08,45.31,27.41,49.9,5.3,0.89,19.92,1.51,9.2,12.74,90.04,,250.27,0.0,94.43,995.42,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-14,168.42,246.4,16.78,49.3,39.87,51.19,6.54,1.18,30.77,1.86,10.24,12.36,89.76,,276.67,0.0,105.11,995.64,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-15,239.54,336.43,49.28,52.75,68.11,49.07,5.43,1.61,7.58,2.96,17.61,11.12,91.0,,150.43,0.5,35.65,996.97,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-16,158.75,229.94,10.15,55.83,37.95,47.81,5.73,1.17,25.44,1.69,7.99,12.74,90.22,,148.61,4.0,75.59,997.75,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-17,120.83,169.02,7.25,43.4,28.98,45.07,5.23,0.94,23.52,1.59,11.13,12.04,90.4,,273.57,0.0,100.22,997.15,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
2025-01-18,143.85,219.78,6.98,44.45,29.32,46.3,5.38,1.08,23.88,1.73,7.04,12.71,89.96,,253.6,0.0,89.21,995.22,STN_001,Alipur,DPCC,"raw_data_data_alipur,_delhi_-_dpcc_1D.csv"
