station_id,station_name,network,latitude,longitude
STN_001,Alipur,DPCC,28.815329,77.15301
STN_002,Anand Vihar,DPCC,28.647622,77.315809
STN_003,Ashok Vihar,DPCC,28.695381,77.181665
STN_004,Aya Nagar,IITM,28.470691,77.109936
STN_005,Bawana,DPCC,28.7762,77.051074
STN_006,Burari Crossing,IITM,28.72565,77.201157
STN_007,CRRI Mathura Road,IITM,28.5512,77.273574
STN_008,Cantonment Area,DPCC,28.594169,77.1251
STN_009,Chandni Chowk,IITM,28.656756,77.227234
STN_010,Commonwealth Sports Complex,DPCC,28.615828,77.271992
STN_011,DTU,CPCB,28.75005,77.111262
STN_012,Dr. Karni Singh Shooting Range,DPCC,28.498571,77.26484
STN_013,Dwarka-Sector 8,DPCC,28.571027,77.071901
STN_014,IGI Airport (T3),IITM,28.562776,77.118005
STN_015,IGNOU_Maidan Garhi,DPCC,28.493624,77.201159
STN_016,"IHBAS, Dilshad Garden",CPCB,28.681174,77.302523
STN_017,IIT Delhi,IITM,28.54246,77.191651
STN_018,IMD Lodhi Road,IITM,28.591824,77.227307
STN_019,ITO,CPCB,28.628624,77.24106
STN_020,JNU,DPCC,28.540721,77.168544
STN_021,Jahangirpuri,DPCC,28.73282,77.170633
STN_022,Jawaharlal Nehru Stadium,DPCC,28.58028,77.233829
STN_023,Major Dhyan Chand National Stadium,DPCC,28.611281,77.237738
STN_024,Mandir Marg,DPCC,28.636429,77.201067
STN_025,Mundka,DPCC,28.684678,77.076574
STN_026,NSIT Dwarka,CPCB,28.60909,77.032541
STN_027,NSUT Jaffarpur,DPCC,28.594004,76.909423
STN_028,Najafgarh,DPCC,28.570173,76.933762
STN_029,Narela,DPCC,28.822836,77.101981
STN_030,Nehru Nagar,DPCC,28.56789,77.250515
STN_031,"North Campus, DU",IITM,28.657381,77.158545
STN_032,Okhla Phase-2,DPCC,28.530785,77.271255
STN_033,Patparganj,DPCC,28.623763,77.287209
STN_034,Punjabi Bagh,DPCC,28.674045,77.131023
STN_035,Pusa (DPCC),DPCC,28.639652,77.146275
STN_036,Pusa (IITM),IITM,28.63611,77.173332
STN_037,R K Puram,DPCC,28.563262,77.186937
STN_038,Rohini,DPCC,28.732528,77.11992
STN_039,Shadipur,CPCB,28.651478,77.14731
STN_040,Sirifort,CPCB,28.550425,77.215938
STN_041,Sonia Vihar,DPCC,28.710508,77.249485
STN_042,Sri Aurobindo Marg,DPCC,28.531346,77.190156
STN_043,Talkatora Garden,DPCC,28.62181,77.194463
STN_044,Vivek Vihar,DPCC,28.672342,77.31526
STN_045,Wazirpur,DPCC,28.699793,77.165453
