District,School Name,Address,Type,SchoolLevel,nearest_station_name,distance_km,PM2.5 (µg/m³)_mean,PM10 (µg/m³)_mean,NO2 (µg/m³)_mean,exposure_confidence
South,ST. ANTHONYS SR. SEC SCHOOL,"C-6, S.D-A, Hauz Khas, Pin-110016",Unaided,Sr.Secondary,IIT Delhi,0.901,159.85032258064516,261.9145161290323,57.10935483870967,High
South,MOTHERS INTERNATIONAL SCHOOL,SRI AUROBINDO NEW DELHI - 110016,Unaided,Sr.Secondary,IIT Delhi,0.929,159.85032258064516,261.9145161290323,57.10935483870967,High
South,MIRAMBIKA FREE PROGRESS SCHOOL,"SRI AUROBINDO EDUCATION SOCIETY, SRI AUROBINDO MARG NEW DELHI - 110016",Unaided,Secondary,IIT Delhi,1.025,159.85032258064516,261.9145161290323,57.10935483870967,High
South,ST. PAULS SCHOOL,"C-3, SDA, HAUZ KHAS NEW DELHI",Unaided,Sr.Secondary,IIT Delhi,1.082,159.85032258064516,261.9145161290323,57.10935483870967,High
South,SAHODYA SR. SECONDARY SCHOOL,"C-1, Safdarjang Development Area, New Delhi-110016",Unaided,Sr.Secondary,IIT Delhi,1.424,159.85032258064516,261.9145161290323,57.10935483870967,High
North West A,PUBLIC MODEL SCHOOL,K - 244 - 246 JAHANGIR PURI DELHI - 110033,Unaided,Middle,Jahangirpuri,0.385,130.80284931506847,262.51575342465753,50.48282191780822,High
North West A,"Jahangirpuri, Block K-GGSSS","K-Block, Jahangripuri",Govt,Sr.Secondary,Jahangirpuri,0.438,130.80284931506847,262.51575342465753,50.48282191780822,High
North West A,"Jahangirpuri, Block K-GBSSS","Block-K, Jahangirpuri",Govt,Sr.Secondary,Jahangirpuri,0.442,130.80284931506847,262.51575342465753,50.48282191780822,High
North West A,"Jahangirpuri, Block D-GBSSS","Jahangirpuri, Delhi-33",Govt,Sr.Secondary,Jahangirpuri,0.533,130.80284931506847,262.51575342465753,50.48282191780822,High
North West A,"Sarvodaya Kanya Vidyalaya (Rani Chennama), D - Block, Jahangir Puri","D-Block, Jahangirpuri",Govt,Sarvodaya Sr.Secondary,Jahangirpuri,0.592,130.80284931506847,262.51575342465753,50.48282191780822,High
North West A,"Jahangirpuri, Block A- SBV","Jahangirpuri, Delhi-33",Govt,Sarvodaya Sr.Secondary,Jahangirpuri,0.68,130.80284931506847,262.51575342465753,50.48282191780822,High
North West A,"Jahangirpuri, Block A, No.2 - SKV","Jahangirpui, Block-A",Govt,Sarvodaya Sr.Secondary,Jahangirpuri,0.684,130.80284931506847,262.51575342465753,50.48282191780822,High
