District,School Name,Type,nearest_station_name,distance_km,pm25_mean_winter,pm25_mean_monsoon,pm25_winter_minus_monsoon,pm25_winter_to_monsoon_ratio
North East-II,"Sarvodaya Bal Vidyalaya, Seemapuri",Govt,Vivek Vihar,1.375,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,Seemapuri-SKV (Vishwamitra),Govt,Vivek Vihar,1.326,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,TARAWATI MEMORIAL PUBLIC SCHOOL,Unaided,Vivek Vihar,1.835,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,G.P.PUBLIC SCHOOL,Unaided,Vivek Vihar,1.956,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,Queen Global International School,Unaided,Vivek Vihar,0.051,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,NATIONAL PUBLIC SCHOOL,Unaided,Vivek Vihar,0.552,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,Vishwas Nagar-SKV,Govt,Vivek Vihar,2.26,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,FLORA DALE SCHOOL,Unaided,Vivek Vihar,1.445,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,"Sarvodaya Bal Vidyalaya, M-Block, Sunder Nagri",Govt,Vivek Vihar,0.479,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,"Sarvodaya Kanya Vidyalaya, M-Block, Sunder Nagri",Govt,Vivek Vihar,0.479,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,"Dilshad Garden, Block J&K-SBV",Govt,Vivek Vihar,1.502,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,"Dilshad Garden, Block J&K-SKV (St. Eknath)",Govt,Vivek Vihar,1.496,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,DILSHAD PUBLIC SCHOOL,Unaided,Vivek Vihar,0.778,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,Jhilmil Colony-SBV,Govt,Vivek Vihar,0.627,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,ABHINAV MODEL SCHOOL,Unaided,Vivek Vihar,0.712,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,BAL CONVENT PUBLIC SCHOOL,Unaided,Vivek Vihar,1.423,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,Arwachin International School,Unaided,Vivek Vihar,0.72,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,"Government Boys Secondary School, Old Seemapuri",Govt,Vivek Vihar,1.432,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,Seemapuri- GGSSS,Govt,Vivek Vihar,1.432,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,Siddharth International Public School,Unaided,Vivek Vihar,0.799,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,GREENWAY MODERN SR SEC SCHOOL,Unaided,Vivek Vihar,1.125,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,ST. LAURENCE PUBLIC SCHOOL,Unaided,Vivek Vihar,0.854,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,HANS RAJ SMARAK SCHOOL,Unaided,Vivek Vihar,1.064,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,"Old Seemapuri, Block GH-GGSS",Govt,Vivek Vihar,1.626,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,SAROJ MONTESSORI,Unaided,Vivek Vihar,0.991,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,ST. ANDREWS PUBLIC SCHOOL,Unaided,Vivek Vihar,1.906,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,Jhilmil Colony-GGSSS,Govt,Vivek Vihar,0.615,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,NEW OXFORD PUBLIC SCHOOL,Unaided,Vivek Vihar,0.454,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,New Seemapuri-GBSSS,Govt,Vivek Vihar,2.333,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,Green Field Public School,Unaided,Vivek Vihar,0.771,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,ARWACHIN BHARTI BHAWANSR. SEC. SCHOOL,Unaided,Vivek Vihar,0.578,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,New Seemapuri-SKV,Govt,Vivek Vihar,2.299,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,Dashmesh Public School,Unaided,Vivek Vihar,0.496,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,"CM Shri School, Surajmal Vihar-1001104",Govt,Vivek Vihar,1.016,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,"SOSE, Surajmal Vihar",Govt,Vivek Vihar,1.016,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,Vivek Vihar-SBV,Govt,Vivek Vihar,0.509,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,Vivek Vihar-GBSS,Govt,Vivek Vihar,1.037,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,Vivek Vihar- SKV,Govt,Vivek Vihar,0.486,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,"CM Shri School, Vivek Vihar,Phase-II-1001026",Govt,Vivek Vihar,0.638,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,HENRY DUNANT PUBLIC SCHOOL,Unaided,Vivek Vihar,0.764,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,GREENWAY MODERN SCHOOL,Unaided,Vivek Vihar,0.707,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,"Old Seemapuri, Block GH-GBSS",Govt,Vivek Vihar,1.633,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North East-II,NEW CREATION PUBLIC SCHOOL,Unaided,Vivek Vihar,2.034,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
East,DAYANAND MODEL SR. SEC. SCHOOL,Unaided,Vivek Vihar,0.531,203.61566666666667,31.016153846153845,172.5995128205128,6.564826434529567
North West B-II,Ghevra-SV,Govt,Mundka,8.025,199.76922222222223,29.41217391304348,170.35704830917874,6.792059057342584
North West B-I,"Mangolpuri, Block-K-2,SV",Govt,Mundka,1.153,199.76922222222223,29.41217391304348,170.35704830917874,6.792059057342584
North West B-I,P.S.M. World School,Unaided,Mundka,1.971,199.76922222222223,29.41217391304348,170.35704830917874,6.792059057342584
North West B-II,Sawada(Ghevra) Colony H-Block- SV,Govt,Mundka,9.94,199.76922222222223,29.41217391304348,170.35704830917874,6.792059057342584
North West B-I,G.N.PUBLIC SCHOOL,Unaided,Mundka,2.253,199.76922222222223,29.41217391304348,170.35704830917874,6.792059057342584
North West B-I,"Sultanpuri, E-Block, GBSSS",Govt,Mundka,1.225,199.76922222222223,29.41217391304348,170.35704830917874,6.792059057342584
