Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,145.44,225.27,5.10,29.23,19.69,25.45,5.57,1.02,31.54,1.59,8.96,NA,NA,1.29,0.67,11.05,88.42,NA,195.78,0.00,0.00,71.17,995.48,NA
2025-01-02 00:00:00,189.46,295.81,9.11,34.30,25.65,25.67,5.95,1.32,31.47,1.83,9.98,NA,NA,1.58,0.86,11.72,85.90,NA,269.53,0.00,0.00,74.02,994.74,NA
2025-01-03 00:00:00,215.17,334.45,22.59,48.79,44.32,55.77,4.83,1.63,18.04,2.65,15.21,NA,NA,3.93,2.14,12.36,87.79,NA,186.96,0.00,0.00,66.67,994.62,NA
2025-01-04 00:00:00,200.18,267.84,14.27,70.83,49.28,80.61,5.07,1.69,10.93,2.46,14.54,NA,NA,3.75,1.88,12.17,90.35,NA,118.94,0.00,0.00,64.75,992.84,NA
2025-01-05 00:00:00,192.54,310.40,11.89,65.67,44.60,60.89,7.47,1.32,19.94,1.84,6.90,NA,NA,1.82,1.02,12.51,83.38,NA,80.34,0.00,0.00,90.02,992.82,NA
2025-01-06 00:00:00,175.83,256.76,5.41,55.73,34.04,45.60,4.41,1.15,20.29,1.71,7.83,NA,NA,1.19,0.64,12.77,88.91,NA,193.90,0.05,5.00,56.70,993.96,NA
2025-01-07 00:00:00,158.00,225.42,6.24,47.54,30.36,61.48,4.73,1.09,34.26,1.53,8.42,NA,NA,0.94,0.44,12.51,85.05,NA,261.72,0.00,0.00,38.38,994.88,NA
2025-01-08 00:00:00,143.00,220.12,13.17,59.53,42.36,68.80,6.52,1.17,34.71,2.21,13.36,NA,NA,1.30,0.63,12.89,77.85,NA,251.23,0.00,0.00,117.42,992.35,NA
2025-01-09 00:00:00,313.17,459.58,49.20,65.99,75.09,65.42,7.40,1.52,22.96,2.84,14.19,NA,NA,3.49,2.06,11.82,83.48,NA,195.11,0.00,0.00,98.73,994.58,NA
2025-01-10 00:00:00,234.71,322.96,9.51,66.21,42.95,58.49,7.77,1.35,11.19,2.03,11.30,NA,NA,2.21,1.02,11.44,89.66,NA,100.09,0.01,1.00,60.73,996.44,NA
2025-01-11 00:00:00,174.75,245.98,11.28,58.40,40.23,50.95,5.48,1.31,25.95,2.10,10.62,NA,NA,2.77,1.45,12.12,88.51,NA,119.40,0.04,3.50,56.06,995.23,NA
2025-01-12 00:00:00,124.99,168.88,7.52,52.32,33.95,51.14,5.14,1.03,18.47,2.02,9.70,NA,NA,1.70,0.72,12.49,90.45,NA,254.67,0.00,0.00,54.71,996.18,NA
2025-01-13 00:00:00,105.72,147.65,4.08,45.31,27.41,49.90,5.30,0.89,19.92,1.51,9.20,NA,NA,0.70,0.32,12.74,90.04,NA,250.27,0.00,0.00,94.43,995.42,NA
2025-01-14 00:00:00,168.42,246.40,16.78,49.30,39.87,51.19,6.54,1.18,30.77,1.86,10.24,NA,NA,1.56,0.81,12.36,89.76,NA,276.67,0.00,0.00,105.11,995.64,NA
2025-01-15 00:00:00,239.54,336.43,49.28,52.75,68.11,49.07,5.43,1.61,7.58,2.96,17.61,NA,NA,4.48,2.70,11.12,91.00,NA,150.43,0.01,0.50,35.65,996.97,NA
2025-01-16 00:00:00,158.75,229.94,10.15,55.83,37.95,47.81,5.73,1.17,25.44,1.69,7.99,NA,NA,1.70,0.84,12.74,90.22,NA,148.61,0.04,4.00,75.59,997.75,NA
