Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,207.96,327.35,76.34,70.21,99.41,74.43,12.16,2.13,4.17,4.15,43.95,NA,NA,NA,NA,12.25,78.91,0.70,217.51,NA,0.00,46.32,739.98,NA
2025-01-02 00:00:00,208.17,319.46,66.57,67.96,85.17,83.13,7.86,2.16,4.55,4.13,40.82,NA,NA,NA,NA,12.30,80.20,0.75,179.94,NA,0.00,54.79,739.97,NA
2025-01-03 00:00:00,470.81,675.09,163.89,117.78,176.84,117.57,23.07,3.04,5.39,7.07,63.73,NA,NA,NA,NA,14.15,80.02,0.54,244.63,NA,0.00,58.10,739.83,NA
2025-01-04 00:00:00,358.85,454.33,94.80,82.99,130.12,118.83,12.07,2.78,7.14,9.09,69.52,NA,NA,NA,NA,12.97,87.75,1.46,250.26,NA,0.00,49.25,739.49,NA
2025-01-05 00:00:00,190.02,269.27,36.41,54.28,58.45,58.02,9.62,1.73,5.16,4.95,41.19,NA,NA,NA,NA,12.97,80.54,1.91,235.91,NA,0.00,59.09,739.22,NA
2025-01-06 00:00:00,226.06,325.59,61.16,68.10,85.98,65.38,10.17,2.30,4.01,5.01,45.52,NA,NA,NA,NA,13.20,83.11,0.99,226.18,NA,0.00,40.99,739.01,NA
2025-01-07 00:00:00,211.79,336.69,127.29,69.54,132.58,78.10,19.46,1.74,4.03,4.01,43.88,NA,NA,NA,NA,12.99,83.45,0.80,245.21,NA,0.00,62.89,739.09,NA
2025-01-08 00:00:00,205.46,375.40,133.93,79.28,143.84,58.02,17.23,2.37,7.32,4.56,43.24,NA,NA,NA,NA,14.39,62.33,0.74,218.12,NA,0.00,71.96,739.21,NA
2025-01-09 00:00:00,436.83,636.49,275.21,69.75,260.84,58.84,25.48,4.57,7.48,8.20,75.32,NA,NA,NA,NA,13.12,77.91,0.76,167.30,NA,0.00,48.87,739.43,NA
2025-01-10 00:00:00,353.12,467.82,127.33,49.26,121.61,63.65,31.18,3.14,6.84,6.67,58.61,NA,NA,NA,NA,12.14,89.00,1.11,238.38,NA,0.00,42.59,739.09,NA
2025-01-11 00:00:00,207.29,262.53,60.97,52.71,78.45,52.51,9.59,1.86,3.86,5.42,53.80,NA,NA,NA,NA,12.52,87.26,1.35,240.03,NA,0.00,11.81,739.90,NA
2025-01-12 00:00:00,204.30,274.62,71.24,54.85,87.10,52.12,8.59,2.42,3.84,4.20,48.14,NA,NA,NA,NA,13.63,81.95,0.53,225.48,NA,0.00,41.61,739.31,NA
2025-01-13 00:00:00,183.11,297.05,71.39,60.90,84.24,51.08,71.85,2.06,3.07,3.72,42.58,NA,NA,NA,NA,13.96,79.83,0.79,232.16,NA,0.00,55.97,739.85,NA
2025-01-14 00:00:00,256.15,388.28,96.56,59.76,110.30,50.32,167.86,2.64,3.33,5.02,42.66,NA,NA,NA,NA,12.85,83.46,0.65,232.62,NA,0.00,39.30,740.00,NA
2025-01-15 00:00:00,417.56,540.67,180.67,52.63,174.88,61.99,28.19,4.74,9.03,6.67,57.55,NA,NA,NA,NA,17.47,88.82,0.62,140.31,NA,0.00,75.18,740.00,NA
2025-01-16 00:00:00,267.42,346.21,86.67,55.85,100.17,43.86,16.01,3.67,7.61,4.17,54.62,NA,NA,NA,NA,23.90,82.99,0.37,7.99,NA,0.00,117.95,740.00,NA
2025-01-17 00:00:00,207.21,297.60,69.25,47.93,81.80,47.07,20.47,3.18,4.36,5.22,49.07,NA,NA,NA,NA,22.57,89.12,0.30,7.10,NA,0.00,51.09,740.00,NA
2025-01-18 00:00:00,199.73,329.37,65.31,46.76,77.98,41.24,15.05,2.71,7.01,3.38,39.55,NA,NA,NA,NA,24.34,79.00,0.37,7.12,NA,0.00,126.17,740.00,NA
