Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,167.83,274.01,6.39,43.59,26.92,41.05,11.40,0.97,22.21,0.63,2.67,NA,NA,NA,NA,12.62,83.67,1.32,57.63,0.00,0.00,59.29,981.91,NA
2025-01-02 00:00:00,193.50,305.79,17.28,41.47,32.39,63.57,10.91,1.58,19.66,0.78,3.21,NA,NA,NA,NA,12.68,85.36,1.36,58.21,0.00,0.00,48.11,982.00,NA
2025-01-03 00:00:00,273.12,451.50,59.18,61.85,80.49,84.98,12.16,2.31,15.88,1.25,7.14,NA,NA,NA,NA,13.39,86.88,1.20,56.49,0.00,0.00,52.09,981.93,NA
2025-01-04 00:00:00,296.41,447.73,39.78,73.51,71.46,81.31,12.00,1.67,12.05,1.53,7.99,NA,NA,NA,NA,13.58,88.16,1.09,59.47,0.00,0.00,48.67,981.91,NA
2025-01-05 00:00:00,187.75,291.54,12.65,51.04,37.42,58.51,9.27,1.48,20.28,0.79,2.42,NA,NA,NA,NA,13.61,83.02,1.23,58.67,0.00,0.00,63.57,981.97,NA
2025-01-06 00:00:00,186.04,279.67,7.65,42.83,28.99,52.64,8.37,1.12,25.88,0.72,2.40,NA,NA,NA,NA,14.00,85.23,1.35,59.21,0.00,0.00,43.73,982.00,NA
2025-01-07 00:00:00,173.62,278.79,13.14,31.77,27.58,61.71,6.91,1.43,34.62,0.63,3.01,NA,NA,NA,NA,13.42,86.75,1.40,58.71,0.00,0.00,31.61,982.00,NA
2025-01-08 00:00:00,157.29,266.25,41.11,54.98,62.66,56.97,11.63,1.82,36.47,0.79,3.75,NA,NA,NA,NA,13.76,77.19,1.39,57.84,0.00,0.00,66.36,981.81,NA
2025-01-09 00:00:00,368.54,533.70,125.15,79.94,144.27,63.66,12.02,2.72,31.31,1.52,8.82,NA,NA,NA,NA,13.06,82.99,1.16,56.86,0.00,0.00,51.30,982.00,NA
2025-01-10 00:00:00,320.04,485.88,68.87,72.17,94.37,61.93,8.85,1.84,30.54,1.20,5.94,NA,NA,NA,NA,12.97,87.47,1.14,57.32,0.00,0.00,52.85,982.00,NA
2025-01-11 00:00:00,187.04,273.62,11.68,55.95,38.93,46.77,7.04,1.39,29.29,0.81,3.18,NA,NA,NA,NA,13.39,87.51,1.24,59.04,0.02,1.50,42.82,982.00,NA
2025-01-12 00:00:00,170.79,237.88,26.49,53.21,49.84,42.40,8.18,1.31,22.90,0.86,5.04,NA,NA,NA,NA,13.88,85.44,1.35,56.72,0.00,0.00,38.40,982.00,NA
2025-01-13 00:00:00,133.50,207.08,10.24,47.93,33.82,40.15,8.25,1.24,22.28,0.54,2.42,NA,NA,NA,NA,14.06,84.82,1.46,59.29,0.00,0.00,66.30,982.00,NA
2025-01-14 00:00:00,199.00,283.91,49.79,51.56,67.91,40.85,10.41,2.17,32.47,0.71,4.03,NA,NA,NA,NA,13.91,82.11,1.40,58.11,0.00,0.00,68.17,982.00,NA
2025-01-15 00:00:00,375.96,544.96,134.43,70.67,146.88,47.42,9.73,2.10,21.47,1.36,7.84,NA,NA,NA,NA,13.25,89.32,1.15,57.51,0.00,0.00,46.33,982.00,NA
2025-01-16 00:00:00,193.69,277.92,30.20,63.90,58.55,40.28,9.67,1.65,26.34,0.76,4.01,NA,NA,NA,NA,14.17,82.17,1.21,57.08,0.05,4.50,52.31,981.97,NA
2025-01-17 00:00:00,140.33,230.92,7.74,43.87,29.63,37.02,7.15,1.33,27.85,0.59,2.82,NA,NA,NA,NA,13.43,86.61,1.40,58.69,0.00,0.00,69.17,982.00,NA
2025-01-18 00:00:00,169.17,297.29,17.49,47.04,39.24,37.70,8.43,1.28,31.26,0.49,2.88,NA,NA,NA,NA,14.15,84.01,1.27,58.44,0.00,0.00,62.41,982.00,NA
2025-01-19 00:00:00,231.12,405.96,81.99,62.76,82.50,47.23,12.95,2.12,34.61,0.78,4.62,NA,NA,NA,NA,15.88,78.74,1.23,56.22,0.00,0.00,64.74,981.89,NA
2025-01-20 00:00:00,166.75,275.21,8.48,62.20,36.12,41.71,10.72,0.72,36.39,0.54,3.36,NA,NA,NA,NA,16.42,75.56,1.42,58.12,0.00,0.00,69.14,981.88,NA
2025-01-21 00:00:00,142.88,253.54,6.51,58.34,32.94,37.77,12.81,0.81,46.62,0.50,2.34,NA,NA,NA,NA,16.14,71.19,1.46,59.51,0.00,0.00,70.30,981.88,NA
