Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,106.40,121.09,8.66,15.38,14.87,NA,NA,0.54,54.45,NA,NA,21.12,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,141.79,166.15,17.18,16.03,21.19,NA,NA,0.85,49.19,NA,NA,21.34,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,183.31,254.44,43.77,31.87,45.30,NA,NA,1.76,46.37,NA,NA,20.90,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,206.62,288.44,40.45,49.29,45.97,NA,NA,2.25,43.83,NA,NA,21.61,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,114.26,158.47,7.10,19.48,15.84,NA,NA,0.43,34.87,NA,NA,21.72,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,103.07,139.63,8.91,18.04,16.42,NA,NA,0.26,45.49,NA,NA,22.11,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,102.80,146.80,10.07,13.49,15.20,NA,NA,0.20,35.63,NA,NA,21.68,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-08 00:00:00,86.85,134.60,14.69,31.73,28.78,NA,NA,0.58,43.23,NA,NA,22.05,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-09 00:00:00,162.41,268.00,23.90,51.23,46.68,NA,NA,1.50,40.00,NA,NA,21.96,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-10 00:00:00,159.88,259.70,13.29,33.07,27.82,NA,NA,1.47,28.63,NA,NA,22.23,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
