Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,187.26,250.42,6.16,22.15,16.80,34.24,7.49,0.97,20.81,1.87,12.88,NA,NA,NA,NA,13.13,82.14,0.78,169.61,0.00,0.00,51.17,998.91,NA
2025-01-02 00:00:00,200.71,275.88,7.32,20.31,16.57,59.48,6.82,1.43,20.09,1.84,9.06,NA,NA,NA,NA,13.27,83.31,0.73,174.31,0.01,1.00,40.14,998.96,NA
2025-01-03 00:00:00,240.30,317.74,17.52,25.46,27.56,73.72,8.82,1.96,16.61,2.73,24.28,NA,NA,NA,NA,14.26,84.83,0.70,178.99,0.00,0.00,52.01,998.75,NA
2025-01-04 00:00:00,246.25,313.33,14.74,36.70,31.50,74.21,7.62,2.20,13.15,3.89,25.78,NA,NA,NA,NA,14.34,85.61,1.02,238.34,0.01,0.90,48.36,998.85,NA
2025-01-05 00:00:00,212.12,307.08,10.24,35.82,27.38,53.30,8.87,1.66,19.30,2.43,9.69,NA,NA,NA,NA,14.78,77.80,1.22,271.30,0.01,0.50,70.51,998.66,NA
2025-01-06 00:00:00,177.10,237.87,4.12,24.08,14.85,46.19,6.67,1.32,18.82,1.80,4.90,NA,NA,NA,NA,14.55,83.94,0.75,181.26,0.01,0.50,35.11,998.97,NA
2025-01-07 00:00:00,185.82,246.76,11.85,18.28,15.96,59.55,4.68,1.46,35.31,1.43,14.34,NA,NA,NA,NA,14.16,82.79,0.81,151.42,0.00,0.00,30.30,998.94,NA
2025-01-08 00:00:00,177.34,220.69,15.43,34.63,27.53,54.98,7.73,1.51,36.08,1.68,5.23,NA,NA,NA,NA,14.69,74.35,0.64,149.55,0.00,0.00,86.10,996.96,NA
2025-01-09 00:00:00,330.58,407.65,27.53,47.04,43.65,56.92,7.59,2.10,35.75,2.77,26.81,NA,NA,NA,NA,14.58,76.27,0.81,232.29,0.01,1.00,74.50,996.42,NA
2025-01-10 00:00:00,317.02,406.60,20.36,43.93,40.14,57.25,6.99,2.29,16.38,3.29,20.76,NA,NA,NA,NA,13.87,88.30,0.87,258.07,0.00,0.00,50.64,996.84,NA
2025-01-11 00:00:00,194.03,240.99,12.74,28.36,21.84,47.33,4.43,1.50,34.29,2.05,11.47,NA,NA,NA,NA,14.14,87.30,1.20,250.95,0.00,0.00,44.48,996.90,NA
2025-01-12 00:00:00,153.17,178.56,5.65,25.45,18.02,36.96,5.87,1.42,24.30,1.51,20.82,NA,NA,NA,NA,14.46,87.40,0.73,188.94,0.00,0.00,37.27,996.85,NA
