Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,119.89,225.22,117.75,5.95,50.53,73.47,22.00,0.84,27.84,1.60,7.46,2.79,NA,2.36,1.56,11.03,29.03,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,27.19,1.61,7.46,2.81,NA,2.38,1.56,19.16,29.43,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-03 00:00:00,221.84,636.10,70.36,6.73,35.12,44.61,19.88,1.38,18.69,2.30,7.23,4.46,NA,2.80,2.07,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-04 00:00:00,167.89,240.65,61.26,4.04,37.80,50.02,20.34,1.00,29.17,NA,NA,NA,NA,NA,NA,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-05 00:00:00,96.10,235.84,32.03,71.09,63.88,90.57,23.11,1.38,21.38,NA,NA,NA,NA,NA,NA,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-06 00:00:00,113.22,210.28,25.70,73.96,60.29,83.60,24.23,1.21,23.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2025-01-07 00:00:00,111.78,339.53,31.26,52.34,53.17,64.36,17.67,1.04,22.66,1.36,7.76,1.54,NA,2.29,1.14,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-08 00:00:00,97.58,296.49,50.67,45.13,63.20,63.25,12.15,1.08,22.88,1.84,7.48,2.80,NA,2.37,1.55,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-09 00:00:00,199.73,408.18,132.98,28.75,80.73,82.70,12.44,1.30,22.85,1.85,7.48,2.78,NA,2.38,1.55,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-10 00:00:00,178.46,290.73,93.06,46.47,79.98,75.64,12.60,1.04,22.00,1.90,7.42,3.10,NA,2.51,1.65,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-11 00:00:00,NA,161.80,NA,NA,NA,NA,NA,NA,16.69,1.06,7.73,1.96,NA,2.73,0.95,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-12 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,14.27,2.39,7.14,4.89,NA,3.08,2.35,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-13 00:00:00,94.75,181.84,50.39,64.47,74.48,57.55,14.26,1.53,27.58,1.49,7.66,1.44,NA,2.07,1.14,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-14 00:00:00,113.19,224.29,81.28,77.93,104.60,82.52,18.20,1.52,22.97,1.86,7.46,2.81,NA,2.38,1.56,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-15 00:00:00,213.39,402.03,136.58,52.25,116.11,91.72,17.94,1.33,21.33,2.11,7.41,3.19,NA,2.30,1.75,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-16 00:00:00,103.92,210.84,68.42,69.90,92.22,79.22,22.02,1.61,18.01,1.47,7.70,1.40,NA,2.14,1.20,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-17 00:00:00,98.40,174.39,61.12,64.93,80.06,73.48,19.22,1.12,18.06,1.85,7.50,2.77,NA,2.37,1.54,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-18 00:00:00,127.57,192.75,99.90,20.05,82.44,87.14,16.39,1.34,18.27,1.84,7.50,2.76,NA,2.34,1.54,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-19 00:00:00,187.97,270.52,65.79,55.52,82.24,80.34,15.82,1.18,18.13,1.85,7.49,2.76,NA,2.35,1.54,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-20 00:00:00,124.71,188.30,52.90,64.11,77.02,73.35,17.09,1.16,18.19,1.84,7.47,2.79,NA,2.37,1.56,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-21 00:00:00,79.77,172.21,38.33,80.61,74.13,68.06,15.63,1.33,18.07,1.84,7.50,2.78,NA,2.37,1.55,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-22 00:00:00,97.37,167.80,47.98,65.17,73.73,38.64,14.08,1.50,17.81,1.85,7.48,2.80,NA,2.36,1.56,29.93,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-23 00:00:00,103.06,170.08,61.91,47.97,74.94,45.01,17.36,1.15,17.85,1.86,7.45,2.86,NA,2.38,1.56,29.98,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-24 00:00:00,69.56,165.39,69.13,33.67,72.50,46.32,19.03,1.34,17.01,1.86,7.48,2.80,NA,2.36,1.56,30.09,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-25 00:00:00,86.31,234.80,42.86,173.36,125.28,81.60,14.00,1.31,18.22,1.85,7.49,2.79,NA,2.36,1.56,30.09,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-26 00:00:00,91.81,261.91,NA,NA,NA,NA,13.26,1.34,18.10,1.84,7.48,2.76,NA,2.35,1.53,30.09,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-27 00:00:00,115.79,313.32,216.11,290.64,342.45,266.64,12.78,1.23,18.12,1.85,7.48,2.79,NA,2.37,1.55,30.09,29.93,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-28 00:00:00,120.99,319.81,79.38,63.41,71.89,102.39,14.27,1.45,17.47,1.84,7.48,2.79,NA,2.37,1.53,23.11,31.02,NA,NA,0.00,0.00,NA,996.27,NA
2025-01-29 00:00:00,195.47,426.77,11.78,74.18,47.55,43.75,18.05,0.88,18.04,2.11,7.41,3.15,NA,2.27,1.76,10.11,32.92,NA,NA,0.00,0.00,NA,996.50,NA
2025-01-30 00:00:00,143.17,477.93,41.89,97.58,81.72,44.64,17.35,1.09,19.95,1.32,7.72,1.58,NA,2.37,1.12,18.45,31.67,NA,NA,0.00,0.00,NA,996.50,NA
