Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,70.18,274.11,32.80,38.76,71.48,55.30,65.05,1.02,38.87,0.66,NA,NA,NA,1.42,0.07,NA,88.96,0.92,260.03,0.00,0.00,203.86,NA,NA
2025-01-02 00:00:00,82.18,332.42,28.72,37.65,66.36,51.83,64.96,1.21,39.08,0.71,NA,NA,NA,1.31,0.05,NA,90.72,0.84,287.60,0.00,0.00,160.67,NA,NA
2025-01-03 00:00:00,112.12,390.26,45.75,45.38,90.43,73.86,65.22,2.06,43.49,0.72,NA,NA,NA,1.74,0.14,NA,93.56,0.88,273.52,0.00,0.00,180.52,NA,NA
2025-01-04 00:00:00,108.82,380.46,53.07,55.13,107.21,75.13,65.52,2.57,37.96,0.76,NA,NA,NA,1.50,0.06,NA,93.55,1.83,113.95,0.00,0.00,189.83,NA,NA
2025-01-05 00:00:00,81.60,321.22,36.98,52.94,89.94,56.82,66.29,1.67,37.81,NA,NA,NA,NA,NA,NA,NA,85.92,1.33,141.80,0.00,0.00,245.34,NA,NA
2025-01-06 00:00:00,80.50,293.47,28.54,46.00,74.08,43.16,66.14,1.45,38.66,1.18,NA,NA,NA,0.41,0.18,NA,90.14,1.11,234.41,0.00,0.01,125.13,NA,NA
2025-01-07 00:00:00,67.94,288.90,24.53,36.97,61.50,31.03,66.21,1.12,38.80,1.08,NA,NA,NA,0.51,0.22,NA,90.42,1.38,282.00,0.00,0.00,95.98,NA,NA
2025-01-08 00:00:00,80.01,300.71,34.94,45.60,80.53,56.57,66.42,1.37,39.45,1.22,NA,NA,NA,0.50,0.26,NA,82.60,0.97,279.01,0.00,0.00,254.71,NA,NA
2025-01-09 00:00:00,138.33,473.36,63.67,57.90,121.57,103.06,66.99,2.08,33.35,1.69,NA,NA,NA,0.38,0.37,NA,86.35,2.67,161.31,0.00,0.00,218.92,NA,NA
2025-01-10 00:00:00,131.60,469.41,60.37,55.41,115.79,89.38,67.83,1.92,28.42,1.54,NA,NA,NA,0.43,0.39,NA,91.28,1.63,114.21,0.00,0.00,190.34,NA,NA
2025-01-11 00:00:00,73.41,294.04,36.97,48.28,85.26,37.55,66.71,1.36,36.38,1.29,NA,NA,NA,0.50,0.34,NA,89.84,1.52,166.28,0.00,0.00,154.91,NA,NA
2025-01-12 00:00:00,54.11,219.33,29.14,39.28,68.28,21.67,66.76,0.92,35.90,1.08,NA,NA,NA,0.61,0.32,NA,89.94,0.75,190.43,0.00,0.00,135.56,NA,NA
2025-01-13 00:00:00,49.64,195.64,21.70,34.97,56.67,34.21,66.81,0.74,36.35,1.02,NA,NA,NA,0.42,0.20,NA,91.04,0.73,237.23,0.00,0.00,222.39,NA,NA
2025-01-14 00:00:00,77.30,305.47,28.07,37.87,65.94,66.97,67.02,1.11,37.49,1.13,NA,NA,NA,0.48,0.22,NA,89.66,0.71,229.33,0.00,0.00,255.72,NA,NA
2025-01-15 00:00:00,149.73,488.92,113.25,44.56,157.74,117.46,67.32,2.46,32.24,1.96,NA,NA,NA,0.43,0.42,NA,94.98,1.62,191.72,0.00,0.00,150.26,NA,NA
2025-01-16 00:00:00,66.13,262.63,38.93,34.65,73.57,28.48,62.53,0.72,35.23,1.18,NA,NA,NA,0.45,0.28,NA,87.54,0.65,161.20,0.00,0.00,203.96,NA,NA
2025-01-17 00:00:00,54.57,208.18,23.86,34.75,58.61,42.52,57.38,0.35,35.55,1.05,NA,NA,NA,0.61,0.23,NA,90.76,0.94,267.43,0.00,0.00,249.81,NA,NA
2025-01-18 00:00:00,65.62,284.27,28.75,37.34,66.09,58.07,57.40,0.26,32.88,1.03,NA,NA,NA,0.61,0.23,NA,89.15,1.11,134.80,0.00,0.00,211.69,NA,NA
2025-01-19 00:00:00,99.42,396.15,78.01,45.40,123.40,113.23,57.92,1.06,32.59,1.29,NA,NA,NA,0.42,0.37,NA,85.59,1.17,133.28,0.00,0.00,247.73,NA,NA
2025-01-20 00:00:00,69.22,269.26,30.77,42.31,73.07,62.87,56.90,0.97,34.95,1.08,NA,NA,NA,0.42,0.25,NA,83.04,0.97,239.62,0.00,0.00,259.32,NA,NA
2025-01-21 00:00:00,64.04,267.11,24.00,50.33,74.33,51.41,58.20,1.55,33.42,1.04,NA,NA,NA,0.65,0.21,NA,80.07,1.02,134.31,0.00,0.00,256.92,NA,NA
2025-01-22 00:00:00,58.20,273.19,31.00,57.42,82.29,60.16,56.49,1.50,34.86,1.05,NA,NA,NA,0.42,0.24,NA,82.16,1.02,236.37,0.00,0.00,269.44,NA,NA
2025-01-23 00:00:00,47.98,195.78,25.21,49.63,74.84,56.39,55.61,1.48,34.25,1.06,NA,NA,NA,0.50,0.31,NA,75.80,1.80,222.36,0.00,0.00,275.78,NA,NA
2025-01-24 00:00:00,44.93,194.24,23.84,51.71,75.55,51.69,55.01,1.36,30.30,1.02,NA,NA,NA,0.50,0.20,NA,73.55,1.42,266.82,0.00,0.00,274.11,NA,NA
2025-01-25 00:00:00,47.34,211.59,23.30,53.62,76.82,52.83,55.18,1.41,36.99,1.04,NA,NA,NA,0.48,0.23,NA,68.23,1.39,274.12,0.00,0.00,281.59,NA,NA
2025-01-26 00:00:00,61.99,267.29,24.60,56.51,81.10,57.51,55.01,1.59,36.88,1.09,NA,NA,NA,0.57,0.24,NA,70.72,1.42,273.36,0.00,0.00,279.16,NA,NA
2025-01-27 00:00:00,67.18,284.15,25.94,56.86,82.81,66.06,55.62,1.67,34.33,1.10,NA,NA,NA,0.56,0.23,NA,74.04,1.61,272.40,0.00,0.00,270.03,NA,NA
2025-01-28 00:00:00,89.20,352.02,28.60,55.77,84.38,72.49,58.44,1.82,30.80,1.11,NA,NA,NA,0.47,0.24,NA,76.04,0.84,185.57,0.00,0.00,269.81,NA,NA
2025-01-29 00:00:00,113.68,439.13,63.52,64.16,127.68,116.36,60.59,2.08,28.68,1.42,NA,NA,NA,0.40,0.39,NA,76.72,1.39,106.25,0.00,0.00,255.90,NA,NA
2025-01-30 00:00:00,108.92,406.23,50.54,56.51,107.07,91.12,57.16,1.76,28.77,1.32,NA,NA,NA,0.49,0.35,NA,79.86,1.19,158.77,0.00,0.00,249.33,NA,NA
2025-01-31 00:00:00,114.59,421.52,81.28,46.82,128.07,107.44,54.64,1.87,26.80,1.49,NA,NA,NA,0.36,0.39,NA,86.09,0.63,207.82,0.00,0.00,262.54,NA,NA
2025-02-01 00:00:00,71.64,276.77,25.28,51.84,77.12,52.13,54.84,1.28,30.69,1.17,NA,NA,NA,0.34,0.38,NA,88.23,0.83,110.02,0.00,0.00,209.70,NA,NA
2025-02-02 00:00:00,68.47,281.48,23.93,44.59,68.52,44.00,55.09,0.88,32.93,1.06,NA,NA,NA,0.45,0.22,NA,87.18,1.14,269.19,0.00,0.00,230.00,NA,NA
2025-02-03 00:00:00,57.96,211.54,22.72,44.59,67.30,49.79,54.53,0.69,32.98,1.01,NA,NA,NA,0.51,0.21,NA,78.18,0.94,229.07,0.00,0.00,283.09,NA,NA
2025-02-04 00:00:00,90.00,312.44,29.70,56.27,71.02,75.71,54.90,1.08,27.92,1.09,NA,NA,NA,0.43,0.31,NA,76.16,1.09,251.60,0.00,0.00,155.33,NA,NA
2025-02-05 00:00:00,50.97,199.31,21.94,41.44,31.69,49.12,53.01,0.72,26.61,0.99,NA,NA,NA,0.52,0.23,NA,75.72,1.94,286.65,0.00,0.00,316.55,NA,NA
2025-02-06 00:00:00,45.51,179.54,21.25,41.75,31.50,55.03,50.49,0.54,30.33,1.00,NA,NA,NA,0.48,0.20,NA,65.66,3.28,291.77,0.00,0.00,323.60,NA,NA
2025-02-07 00:00:00,46.45,175.96,21.82,41.26,31.52,61.68,45.68,0.48,28.12,1.02,NA,NA,NA,0.51,0.21,NA,63.01,2.32,278.88,0.00,0.00,327.03,NA,NA
2025-02-08 00:00:00,47.47,209.24,23.49,47.30,35.39,68.31,41.41,0.62,27.18,1.01,NA,NA,NA,0.62,0.22,NA,64.85,2.21,276.01,0.00,0.00,330.84,NA,NA
2025-02-09 00:00:00,56.88,238.18,25.07,51.05,38.06,74.10,41.67,0.76,28.89,1.07,NA,NA,NA,0.42,0.26,NA,71.38,1.02,266.96,0.00,0.00,323.14,NA,NA
2025-02-10 00:00:00,68.01,283.83,25.12,46.15,35.59,64.82,41.28,0.88,32.13,1.06,NA,NA,NA,0.35,0.38,NA,71.36,0.69,209.38,0.00,0.00,305.41,NA,NA
2025-02-11 00:00:00,84.01,330.01,64.84,45.15,54.84,95.94,42.26,1.34,32.89,1.24,NA,NA,NA,0.51,0.43,NA,70.81,1.02,223.77,0.00,0.00,313.27,NA,NA
2025-02-12 00:00:00,47.08,191.52,34.38,36.26,35.32,51.26,43.18,0.71,34.90,1.04,NA,NA,NA,0.56,0.28,NA,66.84,2.79,290.82,0.00,0.00,341.92,NA,NA
2025-02-13 00:00:00,34.47,145.52,24.21,31.31,27.75,48.25,44.40,0.45,31.23,0.96,NA,NA,NA,0.44,0.20,NA,64.90,2.03,265.32,0.00,0.00,352.47,NA,NA
2025-02-14 00:00:00,42.82,156.78,21.95,31.85,26.90,58.47,44.91,0.45,27.81,0.99,NA,NA,NA,0.54,0.19,NA,62.21,2.10,264.75,0.00,0.00,356.38,NA,NA
2025-02-15 00:00:00,55.84,225.53,25.31,37.49,30.78,61.63,45.11,0.64,26.20,0.99,NA,NA,NA,0.71,0.28,NA,64.70,1.77,240.43,0.00,0.00,325.57,NA,NA
2025-02-16 00:00:00,74.31,312.30,31.64,40.85,36.26,66.23,46.47,1.19,20.27,1.22,NA,NA,NA,0.41,0.27,NA,69.13,0.81,297.94,0.00,0.00,320.91,NA,NA
2025-02-17 00:00:00,53.58,222.70,26.85,34.04,30.44,56.58,46.43,0.86,24.38,1.06,NA,NA,NA,0.50,0.26,NA,70.22,1.00,278.81,0.00,0.00,329.62,NA,NA
2025-02-18 00:00:00,53.66,222.16,26.48,33.06,29.77,56.09,46.48,0.71,32.13,0.98,NA,NA,NA,0.60,0.26,NA,67.48,1.36,288.83,0.00,0.00,305.96,NA,NA
2025-02-19 00:00:00,50.98,224.08,29.00,32.49,30.75,51.90,47.08,0.75,27.43,1.02,NA,NA,NA,0.51,0.28,NA,67.61,0.95,244.40,0.00,0.00,311.33,NA,NA
2025-02-20 00:00:00,41.12,197.99,25.71,28.78,27.16,53.82,48.00,0.68,34.75,1.03,NA,NA,NA,0.65,0.28,NA,70.24,2.69,161.49,0.00,0.00,321.66,NA,NA
2025-02-21 00:00:00,42.60,181.18,24.61,27.90,26.26,52.38,48.39,0.67,33.38,1.02,NA,NA,NA,0.63,0.20,NA,75.81,1.66,219.09,0.00,0.00,291.83,NA,NA
2025-02-22 00:00:00,31.41,138.75,22.87,22.78,22.82,45.64,48.89,0.53,33.38,0.97,NA,NA,NA,0.65,0.19,NA,80.68,1.54,254.88,0.00,0.00,336.85,NA,NA
2025-02-23 00:00:00,41.96,172.96,23.67,25.54,24.21,49.50,48.17,0.57,33.37,1.04,NA,NA,NA,0.61,0.21,NA,75.68,1.68,265.95,0.00,0.00,402.30,NA,NA
2025-02-24 00:00:00,46.91,208.41,25.84,27.64,26.74,51.60,48.29,0.69,32.52,1.03,NA,NA,NA,0.69,0.23,NA,77.39,1.62,268.46,0.00,0.00,389.55,NA,NA
2025-02-25 00:00:00,54.89,235.98,33.96,32.65,33.30,62.29,48.84,0.83,25.03,1.07,NA,NA,NA,0.65,0.29,NA,73.68,1.59,271.50,0.00,0.00,353.20,NA,NA
2025-02-26 00:00:00,81.10,356.71,106.52,39.29,72.91,133.66,50.26,2.03,20.17,1.62,NA,NA,NA,0.54,0.45,NA,67.86,0.90,220.45,0.00,0.00,340.70,NA,NA
2025-02-27 00:00:00,46.72,213.77,44.25,31.03,37.64,68.73,49.90,1.05,22.73,1.45,NA,NA,NA,0.60,0.30,NA,72.84,3.61,154.14,0.00,0.00,140.20,NA,NA
2025-02-28 00:00:00,37.77,158.38,33.91,30.57,32.24,56.30,49.86,0.74,22.51,1.04,NA,NA,NA,0.63,0.22,NA,75.27,1.67,147.57,0.00,0.00,244.91,NA,NA
2025-03-01 00:00:00,29.76,122.55,28.44,26.77,27.61,45.33,48.38,0.61,24.87,0.99,NA,NA,NA,0.75,0.21,NA,80.40,2.09,195.19,0.00,0.03,317.47,NA,NA
2025-03-02 00:00:00,26.48,120.86,28.60,25.85,27.23,44.63,48.39,0.50,25.18,0.98,NA,NA,NA,0.68,0.21,NA,70.06,2.36,279.32,0.00,0.00,446.82,NA,NA
2025-03-03 00:00:00,37.32,187.10,28.21,29.50,28.85,47.42,48.46,0.64,25.24,1.02,NA,NA,NA,0.56,0.21,NA,60.66,0.68,208.31,0.00,0.00,417.97,NA,NA
2025-03-04 00:00:00,40.10,170.99,26.92,31.01,28.97,46.25,51.54,0.58,27.10,1.09,NA,NA,NA,0.71,0.21,NA,69.59,2.49,237.69,0.00,0.00,427.91,NA,NA
2025-03-05 00:00:00,19.87,101.98,24.55,24.24,24.39,39.65,49.28,0.32,28.18,0.93,NA,NA,NA,0.73,0.18,NA,61.03,3.81,278.08,0.00,0.00,464.17,NA,NA
2025-03-06 00:00:00,34.99,153.89,28.88,30.33,29.60,49.26,49.62,0.53,28.13,1.00,NA,NA,NA,0.75,0.19,NA,58.25,2.28,280.89,0.00,0.00,462.59,NA,NA
2025-03-07 00:00:00,53.51,213.21,47.35,37.22,42.29,72.34,49.74,0.86,27.62,1.16,NA,NA,NA,0.79,0.28,NA,64.83,1.77,300.03,0.00,0.00,445.79,NA,NA
2025-03-08 00:00:00,40.10,174.68,26.08,32.38,29.23,48.67,51.49,0.60,28.21,0.97,NA,NA,NA,0.70,0.20,NA,64.73,2.30,255.74,0.00,0.00,461.71,NA,NA
2025-03-09 00:00:00,55.85,233.13,51.88,38.77,45.33,77.75,51.40,1.17,25.71,0.99,NA,NA,NA,0.71,0.28,NA,63.81,1.48,121.79,0.00,0.00,415.88,NA,NA
2025-03-10 00:00:00,57.96,260.39,38.86,33.84,36.35,61.38,50.81,1.04,25.92,0.91,NA,NA,NA,0.67,0.23,NA,63.04,2.07,141.00,0.00,0.00,399.47,NA,NA
2025-03-11 00:00:00,78.85,332.51,65.66,33.47,49.57,84.14,51.09,1.46,25.88,0.93,NA,NA,NA,0.81,0.20,NA,69.67,0.84,192.09,0.00,0.00,322.14,NA,NA
2025-03-12 00:00:00,54.22,237.84,26.77,24.92,25.82,45.25,51.33,0.78,32.61,0.90,NA,NA,NA,0.73,0.16,NA,70.99,1.27,290.39,0.00,0.00,428.12,NA,NA
2025-03-13 00:00:00,46.39,214.55,24.90,28.78,26.84,48.87,51.69,0.72,30.13,0.86,NA,NA,NA,0.75,0.15,NA,68.92,0.96,256.95,0.00,0.00,356.98,NA,NA
2025-03-14 00:00:00,52.31,232.89,27.46,29.07,28.27,51.47,51.55,1.05,18.43,0.74,NA,NA,NA,0.85,0.14,NA,69.19,1.63,227.01,0.00,0.00,363.37,NA,NA
2025-03-15 00:00:00,14.76,61.94,22.82,25.36,24.09,43.07,51.28,0.37,19.09,0.86,NA,NA,NA,0.68,0.13,NA,66.34,3.08,217.39,0.00,0.00,417.01,NA,NA
2025-03-16 00:00:00,21.68,95.52,24.94,26.16,25.55,45.74,52.40,0.41,18.26,0.60,NA,NA,NA,0.58,0.13,NA,67.54,2.01,272.74,0.00,0.00,484.86,NA,NA
2025-03-17 00:00:00,27.55,133.01,23.07,29.45,26.25,44.21,51.87,0.47,21.03,0.63,NA,NA,NA,0.69,0.14,NA,71.17,2.68,262.66,0.00,0.00,439.45,NA,NA
2025-03-18 00:00:00,34.79,166.46,24.14,37.08,30.61,47.33,52.89,0.54,19.59,0.81,NA,NA,NA,0.71,0.13,NA,67.12,2.64,288.20,0.00,0.00,488.59,NA,NA
2025-03-19 00:00:00,43.58,204.06,25.75,38.93,32.34,50.53,53.51,0.65,19.68,1.43,NA,NA,NA,1.23,0.25,NA,62.56,1.94,280.46,0.00,0.00,486.82,NA,NA
2025-03-20 00:00:00,41.21,190.18,25.62,38.77,32.19,50.23,53.71,0.63,22.75,0.58,NA,NA,NA,0.59,0.13,NA,61.29,2.68,288.98,0.00,0.00,478.97,NA,NA
2025-03-21 00:00:00,37.66,177.67,24.46,37.71,31.09,48.47,54.30,0.57,25.95,0.58,NA,NA,NA,0.51,0.13,NA,62.95,2.48,269.66,0.00,0.00,480.59,NA,NA
2025-03-22 00:00:00,49.86,227.05,24.23,38.50,31.37,48.75,54.59,0.70,27.30,0.51,NA,NA,NA,0.50,0.14,NA,63.72,2.28,274.88,0.00,0.00,425.62,NA,NA
2025-03-23 00:00:00,55.97,253.58,26.98,40.24,33.61,52.72,54.36,0.80,27.04,0.54,NA,NA,NA,0.49,0.14,NA,60.66,1.50,270.04,0.00,0.00,467.44,NA,NA
2025-03-24 00:00:00,54.15,244.73,31.87,39.47,35.67,56.99,53.15,0.80,28.24,0.55,NA,NA,NA,0.48,0.14,NA,57.42,1.33,284.46,0.00,0.00,464.38,NA,NA
2025-03-25 00:00:00,65.53,295.85,31.45,40.79,36.12,57.89,53.68,0.93,29.45,0.53,NA,NA,NA,0.48,0.12,NA,55.16,1.54,286.76,0.00,0.00,470.22,NA,NA
