Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,160.56,238.11,43.94,53.85,64.31,100.79,3.45,1.82,22.37,2.67,8.91,NA,NA,NA,NA,13.64,87.17,0.90,250.24,0.00,0.00,34.23,986.00,NA
2025-01-02 00:00:00,185.96,264.50,37.12,49.70,56.74,138.40,5.55,2.20,16.24,3.10,11.62,NA,NA,NA,NA,13.85,88.24,0.95,255.40,0.00,0.00,34.03,986.02,NA
2025-01-03 00:00:00,267.62,376.33,110.37,75.11,129.69,172.74,6.75,3.84,42.13,6.32,47.69,NA,NA,NA,NA,14.69,86.89,0.74,237.78,0.00,0.00,33.68,986.02,NA
2025-01-04 00:00:00,273.64,328.95,41.33,104.60,88.87,175.31,2.70,3.25,74.64,8.31,41.58,NA,NA,NA,NA,15.35,85.64,1.08,165.32,0.00,0.00,37.41,986.30,NA
2025-01-05 00:00:00,181.88,254.17,16.90,62.07,46.79,128.31,2.34,1.87,19.12,3.63,10.50,NA,NA,NA,NA,14.94,84.76,1.44,156.24,0.00,0.00,36.70,986.11,NA
2025-01-06 00:00:00,156.42,213.92,21.62,50.86,44.58,122.09,1.13,1.99,14.25,2.84,7.25,NA,NA,NA,NA,15.07,87.89,1.08,235.53,0.01,0.50,27.45,986.02,NA
2025-01-07 00:00:00,181.54,267.21,57.73,46.42,71.66,147.84,5.66,2.33,21.40,2.76,17.23,NA,NA,NA,NA,14.89,87.18,1.06,252.49,0.00,0.00,21.83,986.00,NA
2025-01-08 00:00:00,149.08,237.67,89.39,72.68,111.41,125.04,3.86,1.84,27.45,3.43,13.83,NA,NA,NA,NA,14.81,78.33,0.94,237.49,0.00,0.00,40.88,986.00,NA
2025-01-09 00:00:00,297.39,446.77,173.82,119.22,213.93,171.24,4.82,3.90,31.43,6.23,35.44,NA,NA,NA,NA,15.12,79.71,0.70,189.92,0.00,0.00,42.04,986.24,NA
2025-01-10 00:00:00,274.19,363.19,59.00,88.75,95.17,177.32,2.02,1.72,21.53,4.91,21.45,NA,NA,NA,NA,14.97,85.07,1.15,140.64,0.00,0.00,43.44,986.06,NA
2025-01-11 00:00:00,173.96,219.12,18.80,64.57,49.27,118.41,4.41,1.59,29.39,2.77,7.68,NA,NA,NA,NA,14.97,87.67,1.32,173.10,0.03,2.50,36.98,986.18,NA
2025-01-12 00:00:00,132.63,153.66,24.88,59.20,51.69,80.15,2.83,1.54,23.02,2.01,9.26,NA,NA,NA,NA,15.07,88.99,0.88,250.31,0.00,0.00,32.57,986.00,NA
2025-01-13 00:00:00,117.21,150.88,30.07,48.05,50.04,73.35,2.33,1.44,13.77,1.69,5.28,NA,NA,NA,NA,15.04,88.43,1.09,263.00,0.00,0.00,33.41,986.00,NA
2025-01-14 00:00:00,173.33,248.25,77.76,61.10,131.56,75.55,4.75,2.86,30.18,3.41,18.59,NA,NA,NA,NA,15.02,85.36,0.93,236.39,0.00,0.00,43.76,986.09,NA
2025-01-15 00:00:00,252.65,318.24,109.84,76.45,129.98,91.15,3.93,1.97,23.62,4.46,25.25,NA,NA,NA,NA,14.75,88.01,0.98,187.50,0.00,0.00,38.74,986.06,NA
2025-01-16 00:00:00,166.17,220.00,99.33,87.24,126.87,77.76,6.94,3.05,17.58,3.57,18.33,NA,NA,NA,NA,15.36,87.99,0.84,171.18,0.06,6.00,31.57,986.16,NA
2025-01-17 00:00:00,137.92,180.46,17.48,50.05,40.84,69.10,3.57,0.48,25.54,2.33,10.65,NA,NA,NA,NA,14.68,88.28,1.12,261.64,0.00,0.00,40.42,986.00,NA
2025-01-18 00:00:00,170.06,305.61,63.43,61.79,84.52,74.47,7.83,2.58,54.83,3.40,23.79,NA,NA,NA,NA,15.79,82.67,0.87,216.33,0.00,0.00,54.58,986.03,NA
2025-01-19 00:00:00,247.25,454.29,185.13,93.89,203.22,101.96,9.88,3.76,91.23,6.34,45.52,NA,NA,NA,NA,17.29,80.41,0.70,205.19,0.00,0.00,47.49,986.06,NA
2025-01-20 00:00:00,162.88,241.42,45.29,73.98,76.22,99.36,5.74,1.05,61.05,2.30,9.81,NA,NA,NA,NA,17.34,79.71,0.98,252.09,0.00,0.00,50.47,986.00,NA
2025-01-21 00:00:00,144.54,235.58,37.90,77.93,72.39,81.57,8.29,1.69,64.35,1.84,5.93,NA,NA,NA,NA,16.79,76.77,1.02,258.90,0.00,0.00,52.81,986.00,NA
2025-01-22 00:00:00,139.25,289.08,110.31,77.55,137.50,77.21,9.50,2.85,60.96,2.88,22.36,NA,NA,NA,NA,16.92,77.89,0.79,233.25,0.00,0.00,52.27,986.00,NA
2025-01-23 00:00:00,144.92,248.67,61.94,82.78,94.27,88.05,6.02,1.50,59.27,2.78,30.38,NA,NA,NA,NA,17.65,72.01,0.94,240.20,0.00,0.00,47.28,986.00,NA
2025-01-24 00:00:00,93.62,170.08,27.89,68.66,59.26,66.87,11.79,1.42,54.39,1.49,5.46,NA,NA,NA,NA,16.61,68.88,1.04,255.25,0.00,0.00,51.84,986.00,NA
2025-01-25 00:00:00,74.79,175.83,48.28,76.00,79.53,52.09,10.36,1.38,48.26,1.29,4.59,NA,NA,NA,NA,15.84,66.26,1.03,252.47,0.00,0.00,52.02,986.00,NA
