Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,120.48,196.68,36.97,31.09,46.59,NA,NA,0.58,18.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,150.02,247.99,36.70,32.55,47.15,NA,NA,0.73,16.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,219.65,385.45,110.86,48.87,115.99,NA,NA,1.49,17.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,217.37,333.62,56.38,58.33,76.85,NA,NA,1.71,24.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,135.96,206.79,25.45,29.36,36.32,NA,NA,0.79,19.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,115.23,217.05,29.95,32.43,41.58,NA,NA,0.74,19.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,122.17,203.35,22.15,30.21,34.08,NA,NA,0.79,28.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-08 00:00:00,96.99,182.01,46.42,45.75,62.07,NA,NA,1.06,30.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-09 00:00:00,232.40,505.72,184.12,71.61,205.10,NA,NA,2.83,26.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-10 00:00:00,207.45,352.97,80.02,41.34,87.05,NA,NA,2.32,24.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-11 00:00:00,122.21,185.07,38.84,48.28,57.25,NA,NA,1.62,31.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
