Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,139.03,279.81,47.34,18.22,43.97,NA,NA,0.73,10.48,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,134.24,268.98,34.32,23.34,37.67,NA,NA,0.77,11.37,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,178.69,355.30,92.33,29.73,78.53,NA,NA,1.24,12.17,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,210.40,366.53,89.95,75.85,89.31,NA,NA,1.50,17.68,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,132.16,265.13,26.04,58.56,52.32,NA,NA,0.74,10.19,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,129.41,242.13,31.81,61.10,58.36,NA,NA,0.68,15.65,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,117.76,237.66,37.19,55.75,59.88,NA,NA,0.60,22.26,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-08 00:00:00,99.31,200.02,67.16,77.32,95.73,NA,NA,0.68,25.04,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-09 00:00:00,193.92,359.99,142.05,121.97,180.36,NA,NA,1.20,22.49,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-10 00:00:00,194.23,352.85,126.54,106.00,159.27,NA,NA,1.21,11.99,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-11 00:00:00,113.55,202.95,27.61,66.82,57.99,NA,NA,0.61,19.03,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-12 00:00:00,102.35,175.70,66.19,78.85,95.75,NA,NA,0.71,14.51,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-13 00:00:00,82.88,155.73,25.21,61.61,53.26,NA,NA,0.47,15.42,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-14 00:00:00,108.03,200.68,53.42,73.93,82.75,NA,NA,0.67,26.96,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-15 00:00:00,182.44,318.17,156.48,119.70,190.90,NA,NA,1.24,9.51,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-16 00:00:00,102.63,176.77,62.57,82.25,94.61,NA,NA,0.70,18.50,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-17 00:00:00,102.67,189.41,46.80,69.56,75.05,NA,NA,0.57,22.24,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
