Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,155.56,215.50,19.51,58.88,47.17,34.65,8.69,1.56,15.39,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02 00:00:00,180.56,238.41,20.22,58.39,47.48,40.68,9.55,1.91,14.70,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03 00:00:00,245.67,337.46,28.66,122.75,88.59,68.09,16.95,3.54,14.35,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-04 00:00:00,212.56,266.54,27.34,115.91,83.88,66.86,12.80,2.96,12.73,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-05 00:00:00,112.02,148.31,20.97,63.51,50.82,43.35,14.70,0.95,12.19,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-06 00:00:00,122.05,160.60,19.18,55.55,45.14,41.09,14.52,1.01,12.60,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-07 00:00:00,100.22,143.08,18.76,50.84,42.29,40.05,11.44,1.68,15.06,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-08 00:00:00,128.37,164.03,23.42,90.02,66.92,48.42,10.53,1.98,16.94,2.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-09 00:00:00,285.44,313.39,39.35,201.30,139.05,73.43,10.66,3.70,17.32,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-10 00:00:00,216.69,246.97,36.61,159.55,122.53,62.29,10.80,2.95,13.19,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-11 00:00:00,128.29,144.56,19.37,63.14,49.32,42.09,8.94,1.48,13.39,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-12 00:00:00,142.26,156.41,23.19,85.55,64.36,45.85,10.34,1.80,13.54,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-13 00:00:00,108.52,122.95,17.56,45.39,38.39,36.17,9.80,1.20,14.99,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-14 00:00:00,151.45,171.40,25.09,94.43,70.62,43.94,15.45,2.22,19.83,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-15 00:00:00,217.68,246.68,39.99,182.34,135.34,58.84,11.68,3.16,13.11,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-16 00:00:00,160.91,179.61,27.05,107.95,79.41,45.60,15.94,2.42,13.59,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-17 00:00:00,121.96,147.44,19.16,56.94,45.85,36.03,11.76,1.15,14.68,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-18 00:00:00,136.02,165.46,22.11,78.80,59.80,40.17,12.79,1.53,21.03,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-19 00:00:00,229.38,262.57,35.03,162.70,115.03,62.71,12.61,2.40,18.17,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-20 00:00:00,156.88,183.87,19.38,62.33,48.90,42.88,11.52,1.09,21.92,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-21 00:00:00,147.82,177.96,18.97,50.61,42.28,36.53,9.52,0.93,29.75,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-22 00:00:00,135.62,171.45,27.86,106.74,79.43,46.24,10.77,1.75,24.88,2.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-23 00:00:00,102.11,136.21,27.20,96.35,73.35,47.05,8.87,1.22,23.33,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-24 00:00:00,76.49,107.18,19.73,46.18,40.41,33.44,6.35,0.68,31.90,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-25 00:00:00,68.01,103.82,19.47,48.65,41.68,32.58,8.43,0.72,34.79,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-26 00:00:00,90.23,127.84,22.36,72.36,56.63,36.99,10.38,1.02,33.58,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-27 00:00:00,107.77,153.79,21.29,75.47,57.45,37.69,9.76,1.13,30.63,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-28 00:00:00,111.00,178.15,28.14,124.68,89.19,46.55,11.42,1.79,33.04,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-29 00:00:00,221.67,290.68,43.43,199.10,154.85,66.72,11.86,2.87,18.51,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-30 00:00:00,165.96,223.98,32.40,137.60,99.51,62.65,14.04,2.05,16.62,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-31 00:00:00,170.72,230.09,38.92,163.94,118.85,68.25,12.53,2.16,17.22,2.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-01 00:00:00,170.26,231.74,29.78,109.13,82.26,59.30,12.56,1.92,16.23,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-02 00:00:00,114.28,166.63,21.62,58.06,48.46,46.32,9.98,1.00,16.19,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-03 00:00:00,90.14,143.46,24.04,83.64,64.02,43.54,6.81,1.30,22.46,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-04 00:00:00,170.44,226.83,27.46,107.45,79.47,52.63,11.72,1.63,16.86,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-05 00:00:00,91.13,120.52,20.05,46.95,41.27,36.39,14.53,0.58,27.85,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-06 00:00:00,78.07,105.12,19.14,41.34,37.56,30.55,10.98,0.39,37.77,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-07 00:00:00,62.34,96.00,18.94,40.77,37.08,27.01,13.85,0.33,42.88,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-08 00:00:00,76.61,118.19,22.57,64.24,52.51,32.43,11.01,0.71,38.93,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-09 00:00:00,129.08,167.67,30.38,124.09,90.70,45.55,17.73,1.36,32.92,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-10 00:00:00,154.14,187.87,41.41,195.46,137.63,60.86,11.12,2.52,25.42,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-11 00:00:00,151.27,183.81,34.57,146.10,105.82,55.23,15.44,2.29,33.23,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-12 00:00:00,93.05,134.70,26.14,71.28,59.12,38.11,14.05,1.03,33.57,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-13 00:00:00,53.52,109.94,20.61,35.23,35.37,26.36,12.83,0.64,49.29,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-14 00:00:00,60.60,117.22,20.46,42.38,39.16,26.60,13.79,0.77,44.31,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-15 00:00:00,103.29,176.63,28.56,101.47,77.18,38.28,15.83,1.77,36.02,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-16 00:00:00,178.34,254.79,35.28,137.05,103.71,51.61,17.36,1.98,24.88,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-17 00:00:00,113.09,186.47,36.93,148.89,109.19,52.92,13.32,2.06,31.21,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-18 00:00:00,90.02,159.34,32.02,119.71,89.70,45.29,10.94,1.93,17.84,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-19 00:00:00,81.65,147.95,25.64,80.98,63.91,40.87,15.44,1.50,25.14,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-20 00:00:00,72.66,120.55,26.07,72.13,59.49,37.15,14.10,1.40,9.41,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-21 00:00:00,98.05,149.36,25.42,65.75,55.49,36.98,16.63,1.32,17.00,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-22 00:00:00,66.64,93.76,21.57,33.75,35.43,29.65,11.22,0.99,21.33,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-23 00:00:00,75.63,116.20,21.67,51.34,44.79,29.92,12.31,1.19,24.82,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-24 00:00:00,89.23,137.14,23.25,75.29,58.89,35.99,18.09,1.52,20.79,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-25 00:00:00,106.75,166.47,26.82,99.76,74.78,38.20,15.59,2.32,25.22,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-26 00:00:00,137.83,231.36,24.33,102.99,74.30,40.82,28.27,2.70,12.03,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-27 00:00:00,109.19,162.40,40.88,67.40,62.67,50.32,14.10,1.77,8.52,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-28 00:00:00,121.25,160.95,21.17,48.40,42.91,28.91,17.67,1.39,8.56,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-01 00:00:00,83.60,125.16,18.26,36.04,33.61,25.18,16.28,1.32,8.58,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-02 00:00:00,51.03,97.31,16.19,41.59,33.54,26.73,13.95,1.20,14.18,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-03 00:00:00,57.01,130.85,20.08,71.90,53.11,30.41,21.96,1.54,23.66,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-04 00:00:00,50.09,115.95,13.91,28.20,26.03,25.74,17.64,1.00,24.18,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-05 00:00:00,27.66,78.52,15.69,19.66,22.79,18.65,15.44,0.74,42.05,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-06 00:00:00,46.16,102.57,18.43,41.31,36.49,21.11,15.50,1.29,40.62,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-07 00:00:00,87.93,159.06,21.83,82.60,60.97,32.37,19.50,2.04,27.64,2.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
