Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,282.00,445.70,40.55,56.00,62.70,38.43,18.23,1.90,7.82,3.73,14.24,NA,NA,NA,NA,12.29,87.37,0.44,186.89,0.00,0.00,8.44,975.07,NA
2025-01-02 00:00:00,228.17,370.65,29.87,39.89,45.47,42.50,16.99,1.66,13.94,2.26,8.58,NA,NA,NA,NA,12.59,87.63,0.51,201.21,0.00,0.00,44.45,975.21,NA
2025-01-03 00:00:00,338.36,523.51,75.86,50.94,88.82,40.19,18.54,2.70,12.64,3.94,16.96,NA,NA,NA,NA,13.47,91.16,0.33,182.16,0.00,0.00,42.22,975.11,NA
2025-01-04 00:00:00,276.75,425.62,43.27,57.38,65.72,39.49,14.59,1.99,14.03,4.13,13.83,NA,NA,NA,NA,13.34,92.96,0.45,168.90,0.00,0.00,42.35,975.00,NA
2025-01-05 00:00:00,202.62,341.92,26.50,50.54,48.43,38.54,16.80,1.41,19.45,2.20,6.49,NA,NA,NA,NA,13.42,86.50,0.58,162.31,0.00,0.00,43.19,975.25,NA
2025-01-06 00:00:00,209.71,339.38,20.03,48.99,42.40,41.99,12.84,1.52,12.22,1.94,6.19,NA,NA,NA,NA,13.71,89.56,0.55,200.48,0.02,2.00,39.83,975.01,NA
2025-01-07 00:00:00,203.14,357.88,29.80,38.66,44.75,42.17,6.03,2.00,13.06,1.79,6.12,NA,NA,NA,NA,13.33,89.40,0.57,201.68,0.00,0.00,28.67,975.09,NA
2025-01-08 00:00:00,217.33,368.17,48.70,47.71,65.00,36.27,7.45,2.58,18.53,3.30,13.02,NA,NA,NA,NA,13.63,78.83,0.53,195.67,0.00,0.00,38.31,975.41,NA
2025-01-09 00:00:00,371.72,522.48,75.31,59.76,92.95,36.27,11.24,3.80,15.50,5.26,18.93,NA,NA,NA,NA,14.21,80.53,0.33,156.23,0.00,0.00,51.67,974.67,NA
2025-01-10 00:00:00,326.90,532.55,65.16,89.49,93.74,40.85,12.18,3.35,12.54,5.92,15.52,NA,NA,NA,NA,14.15,84.75,0.65,156.71,0.00,0.00,73.48,976.13,NA
2025-01-11 00:00:00,165.43,247.38,38.62,60.07,63.39,40.06,3.80,2.36,14.70,11.70,26.51,NA,NA,NA,NA,12.93,92.76,0.38,176.57,0.05,1.00,6.76,975.38,NA
2025-01-12 00:00:00,190.60,306.83,68.82,70.39,93.36,41.71,6.94,2.50,17.80,10.39,27.71,NA,NA,NA,NA,13.94,87.96,0.42,195.88,0.00,0.00,35.45,976.00,NA
2025-01-13 00:00:00,132.07,236.99,72.81,71.33,97.12,39.72,4.36,1.58,15.19,16.97,27.00,NA,NA,NA,NA,13.82,90.03,0.68,226.22,0.00,0.00,44.61,975.58,NA
2025-01-14 00:00:00,643.00,792.00,83.66,51.91,95.72,29.99,8.56,2.67,50.81,13.25,40.55,NA,NA,NA,NA,13.77,86.68,0.56,207.65,0.00,0.00,42.28,975.52,NA
2025-01-15 00:00:00,503.85,617.46,158.16,63.00,165.71,28.54,13.42,3.35,46.75,20.95,96.73,NA,NA,NA,NA,13.45,92.03,0.40,162.59,0.00,0.00,38.68,975.65,NA
2025-01-16 00:00:00,218.69,351.41,55.46,56.29,75.07,30.34,18.28,1.94,25.16,15.97,41.91,NA,NA,NA,NA,14.09,87.53,0.39,169.22,0.02,2.00,39.55,975.14,NA
2025-01-17 00:00:00,158.46,285.75,28.62,36.55,42.74,36.25,12.91,1.30,17.91,9.18,19.37,NA,NA,NA,NA,13.23,89.62,0.67,210.58,0.00,0.00,46.91,975.93,NA
2025-01-18 00:00:00,189.61,317.46,27.40,36.92,41.91,40.73,11.25,1.65,20.89,1.66,4.27,NA,NA,NA,NA,13.97,87.38,0.49,191.12,0.00,0.00,43.49,975.51,NA
2025-01-19 00:00:00,258.88,452.04,52.26,53.41,70.81,40.75,10.69,2.05,24.82,3.21,7.57,NA,NA,NA,NA,16.64,77.25,0.34,181.19,0.00,0.00,47.12,974.38,NA
2025-01-20 00:00:00,161.52,299.37,14.49,42.71,30.92,49.17,14.84,0.90,20.27,3.30,6.19,NA,NA,NA,NA,18.38,63.30,0.70,208.30,0.00,0.00,75.08,974.49,NA
2025-01-21 00:00:00,137.87,262.88,23.30,64.95,50.60,41.01,14.55,1.10,33.37,1.73,3.43,NA,NA,NA,NA,17.40,63.73,0.64,217.44,0.00,0.00,57.85,974.58,NA
2025-01-22 00:00:00,162.42,325.42,50.04,55.82,70.42,34.27,12.55,1.87,23.60,7.83,15.05,NA,NA,NA,NA,15.96,74.01,0.44,201.84,0.00,0.00,36.70,975.00,NA
2025-01-23 00:00:00,137.75,282.15,40.23,54.09,61.50,31.98,8.65,1.45,23.73,6.30,14.08,NA,NA,NA,NA,16.38,68.88,0.51,198.97,0.00,0.00,39.35,974.99,NA
2025-01-24 00:00:00,103.71,221.02,19.62,47.87,41.42,34.73,11.60,1.24,33.19,2.31,4.76,NA,NA,NA,NA,15.54,63.96,0.65,219.44,0.00,0.00,37.28,975.04,NA
2025-01-25 00:00:00,107.79,225.88,21.56,48.75,43.43,34.24,10.54,1.29,41.14,2.17,4.55,NA,NA,NA,NA,15.21,58.03,0.67,224.12,0.00,0.00,37.14,975.33,NA
2025-01-26 00:00:00,139.88,274.21,34.00,50.12,54.34,34.72,13.00,1.98,46.02,2.10,7.34,NA,NA,NA,NA,15.05,59.54,0.52,201.86,0.00,0.00,39.40,975.32,NA
2025-01-27 00:00:00,145.03,316.03,27.97,56.42,52.78,34.35,11.78,1.52,35.86,4.31,10.52,NA,NA,NA,NA,15.09,62.07,0.52,203.18,0.00,0.00,39.84,975.58,NA
2025-01-28 00:00:00,200.28,402.07,71.98,61.86,91.44,34.16,15.36,2.45,40.78,8.62,26.05,NA,NA,NA,NA,15.16,64.37,0.48,202.42,0.00,0.00,41.99,975.97,NA
