Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,182.48,277.04,33.70,60.49,59.60,59.58,8.17,1.49,27.90,1.89,7.51,NA,NA,NA,NA,14.42,76.31,1.36,172.05,0.00,0.00,57.05,988.76,NA
2025-01-02 00:00:00,162.66,255.04,34.49,55.19,56.47,76.69,7.60,1.55,28.41,1.77,5.02,NA,NA,NA,NA,14.52,76.91,1.16,217.16,0.00,0.00,52.83,991.33,NA
2025-01-03 00:00:00,229.83,359.04,99.83,82.19,124.85,91.96,9.54,3.02,21.54,3.60,12.60,NA,NA,NA,NA,15.40,76.94,1.30,194.06,0.00,0.00,50.72,990.55,NA
2025-01-04 00:00:00,249.54,337.08,76.79,86.20,108.09,98.37,5.88,3.23,25.19,4.47,16.10,NA,NA,NA,NA,15.58,79.72,1.15,254.76,0.00,0.00,46.78,988.42,NA
2025-01-05 00:00:00,155.92,247.50,25.61,56.78,51.07,75.47,9.66,1.51,19.73,1.75,3.47,NA,NA,NA,NA,15.15,76.86,1.20,280.46,0.00,0.00,47.00,987.81,NA
2025-01-06 00:00:00,156.21,230.54,19.12,55.11,44.88,70.95,8.75,1.32,25.08,1.55,3.65,NA,NA,NA,NA,15.94,75.86,1.19,258.74,0.00,0.00,58.60,989.29,NA
2025-01-07 00:00:00,142.83,223.75,33.04,44.56,50.57,74.48,7.84,1.27,33.31,1.41,4.32,NA,NA,NA,NA,15.24,78.72,1.36,265.80,0.00,0.00,33.57,990.16,NA
2025-01-08 00:00:00,140.65,217.87,82.98,73.65,106.25,66.13,11.65,1.73,34.81,1.97,6.46,NA,NA,NA,NA,15.58,69.24,1.41,230.59,0.00,0.00,57.67,987.80,NA
2025-01-09 00:00:00,263.78,361.75,160.11,109.19,212.25,79.72,10.51,3.43,27.93,3.29,11.53,NA,NA,NA,NA,15.29,71.96,1.58,199.76,0.00,0.00,62.67,992.74,NA
2025-01-10 00:00:00,253.12,354.00,80.44,79.83,145.31,80.86,7.71,2.75,17.74,3.10,9.93,NA,NA,NA,NA,14.56,88.21,1.35,278.34,0.00,0.00,50.55,993.00,NA
2025-01-11 00:00:00,133.04,200.83,17.32,76.68,54.84,68.79,7.45,1.14,22.67,1.43,3.34,NA,NA,NA,NA,15.27,88.50,1.28,255.32,0.01,0.50,46.70,991.74,NA
2025-01-12 00:00:00,128.75,175.79,58.77,68.61,84.32,60.97,9.35,1.47,21.96,1.84,7.02,NA,NA,NA,NA,15.65,87.74,1.45,212.14,0.01,0.50,38.97,992.62,NA
2025-01-13 00:00:00,102.83,153.83,13.32,58.79,42.12,53.12,8.18,0.80,24.40,1.00,3.22,NA,NA,NA,NA,16.14,84.80,1.32,215.25,0.00,0.00,55.98,989.61,NA
2025-01-14 00:00:00,143.32,216.97,59.02,64.37,82.23,55.32,10.20,1.50,28.08,1.89,5.52,NA,NA,NA,NA,15.92,81.66,1.37,166.50,0.00,0.00,61.96,990.23,NA
2025-01-15 00:00:00,231.92,323.21,143.94,68.85,153.68,59.67,7.55,2.82,16.59,3.78,13.18,NA,NA,NA,NA,14.83,90.12,1.38,237.03,0.00,0.00,42.19,991.09,NA
2025-01-16 00:00:00,128.81,188.83,70.10,67.90,92.56,53.82,13.91,1.65,26.15,1.85,5.72,NA,NA,NA,NA,16.26,82.23,1.49,275.24,0.01,1.00,47.60,990.26,NA
2025-01-17 00:00:00,125.62,194.76,21.58,66.85,53.13,45.15,8.79,1.01,30.78,2.12,7.40,NA,NA,NA,NA,15.42,86.77,1.31,225.38,0.01,0.50,61.41,991.36,NA
2025-01-18 00:00:00,125.62,216.00,39.28,66.84,67.47,46.39,8.31,1.11,38.08,1.56,5.19,NA,NA,NA,NA,16.73,79.74,1.36,218.60,0.00,0.00,74.62,989.34,NA
2025-01-19 00:00:00,202.54,320.55,157.33,83.58,172.40,54.82,11.09,3.01,50.83,3.36,11.42,NA,NA,NA,NA,18.37,78.26,1.59,240.77,0.01,0.50,63.82,988.29,NA
2025-01-20 00:00:00,137.91,219.77,27.28,76.30,62.73,54.22,7.29,1.00,43.37,1.46,5.54,NA,NA,NA,NA,18.60,76.30,1.13,256.25,0.00,0.00,68.43,986.71,NA
2025-01-21 00:00:00,115.91,194.39,11.48,77.45,50.52,51.38,7.76,0.55,26.90,1.01,3.34,NA,NA,NA,NA,18.45,71.03,1.33,264.44,0.00,0.00,71.00,986.02,NA
2025-01-22 00:00:00,96.72,183.59,51.28,82.20,85.38,48.64,9.36,1.09,9.40,1.78,7.92,NA,NA,NA,NA,17.96,74.14,1.53,290.71,0.00,0.00,74.32,986.18,NA
2025-01-23 00:00:00,91.58,155.50,51.64,76.90,82.86,48.56,7.23,1.51,25.29,2.64,10.24,NA,NA,NA,NA,18.41,72.04,1.34,282.10,0.01,0.50,70.59,988.22,NA
2025-01-24 00:00:00,74.96,148.79,13.76,71.05,48.99,42.29,8.14,1.33,40.90,0.83,4.79,NA,NA,NA,NA,17.41,66.12,1.41,245.94,0.00,0.00,74.78,988.84,NA
2025-01-25 00:00:00,64.29,138.83,15.44,73.38,51.44,34.53,7.39,1.26,42.52,0.69,2.65,NA,NA,NA,NA,17.13,58.68,1.25,161.73,0.00,0.00,80.14,988.22,NA
2025-01-26 00:00:00,80.33,156.96,26.92,73.62,61.06,35.83,9.23,1.49,37.16,0.88,1.86,NA,NA,NA,NA,16.48,62.16,1.44,154.76,0.00,0.00,79.68,986.21,NA
2025-01-27 00:00:00,100.92,199.92,32.58,77.38,67.64,39.60,7.64,1.66,38.53,1.13,3.11,NA,NA,NA,NA,16.11,69.09,1.16,160.70,0.00,0.00,77.70,987.67,NA
2025-01-28 00:00:00,108.09,220.02,71.28,80.65,100.85,40.72,10.69,2.39,41.95,1.57,4.81,NA,NA,NA,NA,16.28,71.09,1.19,182.82,0.00,0.00,79.45,987.54,NA
2025-01-29 00:00:00,212.75,370.33,160.24,86.84,176.51,55.34,9.05,3.86,60.86,3.20,11.42,NA,NA,NA,NA,17.31,75.53,0.88,295.56,0.00,0.00,76.85,988.83,NA
2025-01-30 00:00:00,161.47,290.14,71.15,85.05,103.11,60.58,8.75,2.52,51.95,1.72,7.49,NA,NA,NA,NA,18.49,76.09,1.35,279.40,0.00,0.00,75.75,986.81,NA
2025-01-31 00:00:00,171.77,298.32,133.19,68.86,144.94,63.11,8.73,3.34,50.90,2.55,11.17,NA,NA,NA,NA,18.94,77.17,1.55,195.89,0.00,0.00,81.57,987.24,NA
2025-02-01 00:00:00,163.28,274.68,83.15,81.78,111.10,61.93,7.08,2.79,49.62,2.59,11.62,NA,NA,NA,NA,18.66,78.61,1.47,187.34,0.00,0.00,72.37,989.18,NA
2025-02-02 00:00:00,141.99,239.41,16.03,60.34,45.12,56.29,6.94,1.49,43.75,1.32,5.04,NA,NA,NA,NA,17.86,80.65,1.16,177.20,0.00,0.00,71.32,991.51,NA
2025-02-03 00:00:00,89.57,186.61,44.94,67.12,71.82,43.67,8.87,1.65,42.50,1.23,4.44,NA,NA,NA,NA,18.00,70.37,1.05,267.34,0.00,0.00,87.52,990.94,NA
2025-02-04 00:00:00,133.98,260.42,72.73,100.81,112.35,46.22,10.55,2.40,43.07,3.35,11.11,NA,NA,NA,NA,19.62,70.03,1.28,239.57,0.00,0.00,64.80,990.71,NA
2025-02-05 00:00:00,90.78,167.40,12.58,66.32,45.49,42.88,6.25,1.16,49.19,1.24,4.16,NA,NA,NA,NA,18.32,66.15,1.27,220.14,0.00,0.00,90.52,991.11,NA
2025-02-06 00:00:00,74.97,150.47,6.98,63.21,39.32,33.73,7.52,0.88,55.80,1.16,3.22,NA,NA,NA,NA,18.02,60.30,1.28,248.46,0.00,0.00,92.38,993.41,NA
2025-02-07 00:00:00,57.51,137.27,6.47,57.68,35.86,28.58,7.23,0.75,52.88,0.60,2.48,NA,NA,NA,NA,17.99,51.76,1.31,252.95,0.00,0.00,90.52,993.36,NA
2025-02-08 00:00:00,61.92,147.59,21.18,70.08,54.27,29.63,11.80,0.97,46.01,0.89,3.20,NA,NA,NA,NA,18.34,54.24,1.40,218.06,0.00,0.00,95.05,992.25,NA
2025-02-09 00:00:00,86.58,180.40,47.30,89.65,86.09,35.11,8.97,1.52,37.66,1.28,5.35,NA,NA,NA,NA,18.18,65.71,1.54,206.62,0.00,0.00,92.94,992.00,NA
2025-02-10 00:00:00,109.08,230.38,125.73,102.15,157.03,41.05,11.54,2.69,39.61,2.45,10.28,NA,NA,NA,NA,19.06,68.21,0.95,213.53,0.00,0.00,94.96,992.08,NA
2025-02-11 00:00:00,107.38,233.33,171.95,95.99,190.85,43.99,8.65,2.95,38.61,3.20,14.08,NA,NA,NA,NA,19.82,66.57,1.19,100.75,0.00,0.00,92.75,991.54,NA
2025-02-12 00:00:00,64.25,163.75,40.79,61.70,66.31,39.89,7.93,1.19,48.44,1.66,7.70,NA,NA,NA,NA,19.92,59.69,1.35,239.47,0.00,0.00,99.03,992.23,NA
2025-02-13 00:00:00,40.88,125.21,5.06,48.58,29.95,32.42,11.18,0.53,63.97,0.53,2.53,NA,NA,NA,NA,19.57,51.86,1.32,283.69,0.00,0.00,95.32,992.61,NA
2025-02-14 00:00:00,44.12,139.79,16.68,73.45,50.12,28.72,10.95,0.76,43.78,0.61,2.83,NA,NA,NA,NA,19.33,50.00,1.34,279.31,0.00,0.00,96.05,990.48,NA
2025-02-15 00:00:00,77.75,200.46,110.32,107.64,141.46,34.74,14.00,1.95,36.90,8.28,47.93,NA,NA,NA,NA,19.52,59.52,1.27,271.09,0.00,0.00,92.72,984.33,NA
2025-02-16 00:00:00,131.33,259.88,111.53,91.51,130.03,44.45,7.69,2.23,49.42,22.76,83.64,NA,NA,NA,NA,20.21,64.97,0.90,219.22,0.00,0.00,98.48,987.78,NA
2025-02-17 00:00:00,82.96,192.42,102.73,96.72,124.97,42.77,11.61,1.96,35.87,15.38,71.18,NA,NA,NA,NA,20.26,65.92,1.32,140.82,0.00,0.00,101.66,991.76,NA
2025-02-18 00:00:00,69.71,181.92,92.80,95.18,120.38,41.84,10.25,1.72,39.66,22.99,122.21,NA,NA,NA,NA,20.40,62.67,1.15,198.06,0.00,0.00,94.73,991.27,NA
2025-02-19 00:00:00,62.72,171.35,44.79,86.47,76.98,38.72,8.05,1.25,31.81,12.53,71.40,NA,NA,NA,NA,20.30,60.74,1.39,272.68,0.00,0.00,106.23,990.09,NA
2025-02-20 00:00:00,41.88,113.79,18.57,75.86,55.44,39.35,7.17,0.86,31.52,2.56,20.79,NA,NA,NA,NA,21.04,64.97,1.35,283.75,0.02,1.50,100.21,991.06,NA
2025-02-21 00:00:00,68.39,138.99,17.28,66.64,47.48,43.93,8.60,0.90,37.50,4.67,17.91,NA,NA,NA,NA,20.46,66.56,1.41,252.86,0.00,0.00,97.77,993.64,NA
2025-02-22 00:00:00,47.12,102.66,5.82,50.94,31.08,40.44,5.97,0.69,43.17,4.16,14.95,NA,NA,NA,NA,19.21,70.68,1.29,259.39,0.00,0.00,111.58,993.90,NA
2025-02-23 00:00:00,51.54,114.61,19.42,60.88,45.29,34.63,7.67,0.88,34.03,9.30,26.18,NA,NA,NA,NA,19.27,68.88,1.00,223.94,0.00,0.00,117.76,994.09,NA
2025-02-24 00:00:00,66.21,148.93,49.99,64.34,67.21,34.69,7.20,1.28,34.79,6.91,38.39,NA,NA,NA,NA,19.65,69.23,1.49,271.10,0.00,0.00,117.68,995.17,NA
2025-02-25 00:00:00,67.29,163.56,86.71,71.24,90.70,35.15,9.78,1.66,30.22,15.11,60.40,NA,NA,NA,NA,20.39,65.97,1.54,210.23,0.00,0.00,116.85,995.66,NA
2025-02-26 00:00:00,89.77,242.45,115.77,97.66,144.01,36.23,9.26,2.22,34.99,14.91,90.51,NA,NA,NA,NA,22.88,61.74,1.40,248.40,0.00,0.00,109.52,995.71,NA
2025-02-27 00:00:00,51.16,139.06,50.20,69.67,77.84,45.45,9.13,1.26,25.97,8.64,48.55,NA,NA,NA,NA,21.87,65.53,1.17,273.28,0.00,0.00,46.05,992.90,NA
2025-02-28 00:00:00,38.00,101.76,14.51,57.70,42.50,43.19,7.78,0.79,22.01,5.15,19.86,NA,NA,NA,NA,22.03,67.50,1.32,299.37,0.00,0.00,51.74,988.94,NA
2025-03-01 00:00:00,41.11,94.12,15.66,50.60,39.20,44.78,8.26,0.77,31.12,6.89,25.22,NA,NA,NA,NA,21.90,71.94,1.31,282.46,0.00,0.00,106.15,990.17,NA
2025-03-02 00:00:00,33.79,89.08,16.91,48.58,37.55,37.75,7.79,0.66,38.21,6.37,19.71,NA,NA,NA,NA,20.50,63.08,1.47,273.64,0.01,0.50,119.45,989.80,NA
2025-03-03 00:00:00,41.54,131.75,21.98,73.50,55.30,28.73,10.03,0.89,33.57,8.49,30.50,NA,NA,NA,NA,21.51,55.90,1.45,270.75,0.00,0.00,129.99,988.95,NA
2025-03-04 00:00:00,36.04,122.92,7.30,41.62,26.16,30.29,8.13,0.52,53.86,6.38,13.43,NA,NA,NA,NA,21.60,56.15,1.36,279.85,0.00,0.00,125.02,989.24,NA
2025-03-05 00:00:00,18.04,119.00,1.19,28.13,15.03,23.26,9.10,0.28,66.08,3.30,12.15,NA,NA,NA,NA,19.67,47.55,1.33,280.58,0.00,0.00,121.75,990.22,NA
2025-03-06 00:00:00,30.62,122.38,56.35,46.74,53.57,20.26,12.78,0.75,56.36,6.24,22.35,NA,NA,NA,NA,20.27,43.96,1.42,213.58,0.00,0.00,119.89,988.74,NA
2025-03-07 00:00:00,60.62,166.71,97.02,63.23,93.07,25.61,12.14,1.53,39.91,21.99,96.98,NA,NA,NA,NA,20.10,56.54,1.52,227.14,0.00,0.00,126.24,984.94,NA
2025-03-08 00:00:00,50.04,140.25,63.02,61.66,71.10,27.76,10.25,1.12,39.86,10.63,40.97,NA,NA,NA,NA,21.75,54.36,1.44,224.27,0.00,0.00,124.82,984.25,NA
2025-03-09 00:00:00,81.33,204.46,94.87,75.73,113.94,30.76,9.74,1.90,42.33,19.26,79.81,NA,NA,NA,NA,22.73,59.42,1.29,204.38,0.00,0.00,125.28,986.06,NA
2025-03-10 00:00:00,76.34,189.53,36.07,72.96,67.50,38.91,10.94,1.40,40.59,12.38,31.82,NA,NA,NA,NA,23.78,53.99,1.17,229.33,0.00,0.00,137.63,988.60,NA
2025-03-11 00:00:00,88.67,212.47,68.29,71.40,89.27,45.88,11.72,1.76,33.34,14.38,57.70,NA,NA,NA,NA,26.92,48.07,1.48,346.62,0.00,0.00,173.64,986.84,NA
2025-03-12 00:00:00,71.58,172.92,17.74,54.97,41.35,44.64,10.80,1.02,46.33,11.15,59.29,NA,NA,NA,NA,24.10,61.09,1.44,266.22,0.00,0.00,129.53,983.01,NA
2025-03-13 00:00:00,58.38,172.96,9.56,55.15,36.75,43.22,13.38,0.88,43.66,7.47,28.25,NA,NA,NA,NA,24.71,57.07,1.51,183.34,0.00,0.00,95.00,981.12,NA
2025-03-14 00:00:00,69.54,208.96,26.38,50.68,48.37,41.02,11.22,1.37,49.06,0.50,1.00,NA,NA,NA,NA,25.08,55.41,1.30,267.45,0.00,0.00,131.22,980.57,NA
2025-03-15 00:00:00,17.67,72.50,3.44,30.79,18.99,34.87,10.04,0.32,50.52,0.14,0.33,NA,NA,NA,NA,24.39,51.57,1.31,217.90,0.00,0.00,124.69,984.33,NA
2025-03-16 00:00:00,30.33,84.46,5.18,36.30,22.61,33.93,13.11,0.37,45.19,0.19,0.60,NA,NA,NA,NA,23.83,53.56,1.32,128.59,0.00,0.00,141.97,987.42,NA
2025-03-17 00:00:00,37.62,95.17,7.82,43.14,27.76,31.39,13.22,0.49,48.88,0.21,0.67,NA,NA,NA,NA,22.57,59.14,1.44,187.18,0.00,0.00,129.50,988.78,NA
2025-03-18 00:00:00,40.15,115.37,12.74,47.55,35.40,30.51,11.87,0.69,44.67,0.40,1.25,NA,NA,NA,NA,22.55,56.23,1.29,206.92,0.00,0.00,133.05,988.77,NA
2025-03-19 00:00:00,48.58,150.21,40.71,59.25,64.55,32.21,12.88,1.04,39.34,0.38,1.71,NA,NA,NA,NA,23.49,53.41,1.52,351.65,0.00,0.00,140.60,988.86,NA
2025-03-20 00:00:00,38.96,138.67,45.45,57.31,66.65,28.55,9.52,1.16,38.84,0.51,3.44,NA,NA,NA,NA,23.98,53.45,1.44,350.80,0.00,0.00,143.33,988.82,NA
2025-03-21 00:00:00,47.54,143.04,16.11,52.71,41.14,31.01,13.56,0.74,42.89,0.33,1.21,NA,NA,NA,NA,23.82,50.55,1.40,223.17,0.00,0.00,139.60,989.05,NA
2025-03-22 00:00:00,44.42,142.88,35.88,56.55,59.24,30.86,13.13,0.99,45.02,0.43,1.33,NA,NA,NA,NA,23.80,52.43,1.47,194.50,0.00,0.00,131.65,987.08,NA
2025-03-23 00:00:00,48.42,143.00,29.78,58.07,55.11,30.65,11.89,1.00,33.97,0.35,1.02,NA,NA,NA,NA,24.49,48.66,1.21,207.41,0.00,0.00,139.08,989.93,NA
2025-03-24 00:00:00,65.42,164.33,49.30,59.69,71.83,31.51,11.37,1.38,40.88,0.47,1.17,NA,NA,NA,NA,25.02,50.86,1.54,221.96,0.00,0.00,137.78,988.41,NA
2025-03-25 00:00:00,76.45,206.94,58.09,67.58,83.15,33.92,13.72,1.63,40.11,0.64,1.80,NA,NA,NA,NA,25.73,48.21,1.56,252.47,0.00,0.00,137.89,981.55,NA
2025-03-26 00:00:00,67.43,210.51,87.50,67.83,107.23,35.22,13.74,2.05,42.30,0.65,2.36,NA,NA,NA,NA,27.01,45.77,1.58,293.55,0.00,0.00,139.33,979.56,NA
2025-03-27 00:00:00,53.48,246.47,106.13,58.58,117.42,36.47,13.50,2.15,34.63,0.68,3.19,NA,NA,NA,NA,26.65,45.95,1.56,157.27,0.00,0.00,126.30,979.41,NA
2025-03-28 00:00:00,33.81,223.57,22.32,41.54,40.22,31.45,12.85,0.52,54.06,0.27,0.97,NA,NA,NA,NA,28.43,39.76,1.39,298.89,0.00,0.00,144.44,982.62,NA
2025-03-29 00:00:00,23.17,136.25,8.62,41.01,28.83,24.54,13.91,0.23,65.81,0.14,0.52,NA,NA,NA,NA,26.98,36.23,1.38,249.57,0.00,0.00,138.12,982.89,NA
2025-03-30 00:00:00,28.75,113.08,12.16,48.05,35.46,25.29,14.08,0.40,62.23,0.18,0.59,NA,NA,NA,NA,27.82,37.78,1.43,267.54,0.00,0.00,154.74,983.81,NA
2025-03-31 00:00:00,48.94,131.34,12.18,58.64,41.12,33.64,16.72,0.54,46.12,0.27,0.76,NA,NA,NA,NA,28.64,39.44,1.48,291.06,0.00,0.00,154.55,982.52,NA
2025-04-01 00:00:00,39.31,148.95,17.09,76.26,53.85,60.15,11.14,0.59,50.31,0.32,0.93,NA,NA,NA,NA,28.93,37.59,1.03,277.02,0.00,0.00,157.73,981.75,NA
2025-04-02 00:00:00,58.88,203.33,70.29,94.31,103.57,65.13,11.18,1.19,40.47,0.52,1.90,NA,NA,NA,NA,29.15,41.72,1.19,220.72,0.00,0.00,152.73,982.31,NA
2025-04-03 00:00:00,46.92,184.42,81.03,98.52,116.89,66.92,5.71,1.32,36.38,0.51,2.31,NA,NA,NA,NA,30.83,39.23,1.42,172.97,0.00,0.00,155.72,982.46,NA
2025-04-04 00:00:00,40.67,192.10,62.69,107.33,99.80,68.10,11.91,1.39,34.81,0.49,2.23,NA,NA,NA,NA,30.42,38.54,1.44,253.56,0.00,0.00,111.95,982.25,NA
2025-04-05 00:00:00,39.29,154.12,23.27,114.88,77.84,70.47,8.61,1.28,54.33,0.28,1.17,NA,NA,NA,NA,30.19,39.95,1.25,244.42,0.00,0.00,166.38,980.05,NA
2025-04-06 00:00:00,57.00,192.17,87.37,138.20,139.11,77.32,11.10,1.81,45.94,0.41,1.66,NA,NA,NA,NA,31.08,41.77,0.98,215.35,0.00,0.00,163.98,978.30,NA
2025-04-07 00:00:00,74.83,238.17,150.56,117.76,184.24,80.20,13.98,2.77,35.95,0.73,2.50,NA,NA,NA,NA,32.64,44.00,0.95,157.54,0.00,0.00,152.16,978.46,NA
2025-04-08 00:00:00,67.46,243.04,26.69,97.22,71.01,84.90,11.91,1.69,42.14,0.41,1.17,NA,NA,NA,NA,33.40,40.86,1.23,198.43,0.00,0.00,147.44,982.28,NA
2025-04-09 00:00:00,71.42,247.54,18.83,84.89,56.87,71.89,10.99,1.70,41.09,0.35,1.04,NA,NA,NA,NA,34.34,43.38,1.24,259.27,0.00,0.00,141.18,980.09,NA
2025-04-10 00:00:00,50.33,252.27,21.52,73.80,56.73,50.09,10.44,1.30,43.75,0.23,0.77,NA,NA,NA,NA,34.21,41.47,1.46,218.54,0.01,0.50,170.14,976.44,NA
2025-04-11 00:00:00,26.36,148.60,14.01,42.80,34.16,43.54,13.16,1.23,38.69,0.10,0.38,NA,NA,NA,NA,31.22,49.92,1.38,249.23,0.00,0.00,150.79,982.12,NA
2025-04-12 00:00:00,27.21,91.96,16.96,33.92,31.81,40.26,11.33,0.98,43.48,0.14,0.45,NA,NA,NA,NA,30.38,50.16,1.38,222.93,0.00,0.00,147.68,984.80,NA
2025-04-13 00:00:00,34.50,122.75,35.41,57.75,59.50,39.97,14.85,1.24,38.31,0.20,0.62,NA,NA,NA,NA,31.79,43.03,1.51,219.33,0.00,0.00,146.23,986.81,NA
2025-04-14 00:00:00,48.67,179.88,31.28,47.72,50.80,45.23,10.92,1.35,46.85,0.31,0.76,NA,NA,NA,NA,32.20,45.27,1.47,217.45,0.00,0.00,160.02,987.43,NA
2025-04-15 00:00:00,42.04,168.00,23.10,52.71,46.82,43.48,10.48,1.33,45.33,0.26,0.61,NA,NA,NA,NA,32.96,42.45,1.39,181.44,0.00,0.00,144.56,985.90,NA
