Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,148.86,296.19,NA,64.10,NA,NA,20.81,NA,NA,0.00,NA,NA,NA,NA,NA,NA,89.25,0.73,136.39,0.00,0.00,217.78,NA,NA
2025-01-02 00:00:00,122.12,245.69,NA,63.41,NA,NA,17.87,NA,NA,0.00,NA,NA,NA,NA,NA,NA,92.14,0.76,139.32,0.00,0.00,218.03,NA,NA
2025-01-03 00:00:00,190.83,375.22,NA,71.72,NA,NA,23.24,NA,NA,0.00,NA,NA,NA,NA,NA,NA,86.11,0.86,151.45,0.00,0.00,218.16,NA,NA
2025-01-04 00:00:00,195.50,384.31,NA,69.24,NA,NA,23.43,NA,NA,0.00,NA,NA,NA,NA,NA,NA,92.45,0.71,146.15,0.00,0.00,218.17,NA,NA
2025-01-05 00:00:00,145.05,290.61,NA,60.10,NA,NA,18.18,NA,NA,0.00,NA,NA,NA,NA,NA,NA,96.57,0.47,154.10,0.00,0.00,218.08,NA,NA
2025-01-06 00:00:00,147.54,267.65,NA,70.72,NA,NA,19.51,NA,NA,0.00,NA,NA,NA,NA,NA,NA,86.87,0.74,159.10,0.00,0.00,218.38,NA,NA
2025-01-07 00:00:00,120.95,225.35,NA,72.19,NA,NA,21.84,NA,NA,0.00,NA,NA,NA,NA,NA,NA,92.34,0.54,160.03,0.00,0.00,218.23,NA,NA
2025-01-08 00:00:00,104.03,168.71,NA,70.18,NA,NA,22.02,NA,NA,0.00,NA,NA,NA,NA,NA,NA,87.80,0.72,157.98,0.00,0.00,218.04,NA,NA
2025-01-09 00:00:00,153.34,272.59,NA,80.16,NA,NA,21.50,NA,NA,0.00,NA,NA,NA,NA,NA,NA,86.04,0.54,157.17,0.00,0.00,217.97,NA,NA
2025-01-10 00:00:00,149.59,364.80,NA,71.66,NA,NA,15.44,NA,NA,0.00,NA,NA,NA,NA,NA,NA,92.84,0.66,161.66,0.00,0.00,218.10,NA,NA
2025-01-11 00:00:00,94.97,202.44,NA,72.92,NA,NA,18.23,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.51,158.21,0.00,0.00,218.14,NA,NA
2025-01-12 00:00:00,79.87,185.27,NA,68.09,NA,NA,20.50,NA,NA,0.00,NA,NA,NA,NA,NA,NA,93.03,0.61,157.76,0.00,0.00,218.30,NA,NA
2025-01-13 00:00:00,80.84,201.43,NA,67.12,NA,NA,19.96,NA,NA,0.00,NA,NA,NA,NA,NA,NA,91.36,0.75,156.43,0.00,0.00,218.29,NA,NA
2025-01-14 00:00:00,112.77,254.75,NA,73.04,NA,NA,20.51,NA,NA,0.00,NA,NA,NA,NA,NA,NA,86.99,0.77,156.56,0.00,0.00,218.27,NA,NA
2025-01-15 00:00:00,180.02,365.51,NA,72.41,NA,NA,19.29,NA,NA,0.00,NA,NA,NA,NA,NA,NA,94.86,0.61,157.86,0.00,0.00,218.14,NA,NA
2025-01-16 00:00:00,97.92,184.67,NA,77.73,NA,NA,21.19,NA,NA,0.00,NA,NA,NA,NA,NA,NA,93.78,0.64,161.67,0.00,0.00,218.35,NA,NA
2025-01-17 00:00:00,93.22,268.16,NA,83.59,NA,NA,15.61,NA,NA,0.00,NA,NA,NA,NA,NA,NA,86.69,0.64,162.71,0.00,0.00,218.29,NA,NA
2025-01-18 00:00:00,104.34,308.02,NA,86.01,NA,NA,16.09,NA,NA,0.00,NA,NA,NA,NA,NA,NA,85.77,0.71,162.31,0.00,0.00,218.43,NA,NA
2025-01-19 00:00:00,148.00,427.61,NA,86.46,NA,NA,19.48,NA,NA,0.00,NA,NA,NA,NA,NA,NA,82.18,0.68,164.47,0.00,0.00,218.59,NA,NA
2025-01-20 00:00:00,111.34,286.36,NA,82.49,NA,NA,13.74,NA,NA,0.00,NA,NA,NA,NA,NA,NA,82.14,0.43,193.86,0.00,0.00,218.62,NA,NA
2025-01-21 00:00:00,88.06,228.75,NA,85.73,NA,NA,5.37,NA,NA,0.00,NA,NA,NA,NA,NA,NA,52.30,0.47,225.72,0.00,0.00,219.06,NA,NA
2025-01-22 00:00:00,233.92,NA,NA,92.61,NA,NA,13.66,NA,NA,0.00,NA,NA,NA,NA,NA,NA,78.80,0.32,184.79,0.00,0.00,218.59,NA,NA
2025-01-23 00:00:00,79.91,108.15,NA,82.19,NA,NA,21.92,NA,NA,0.00,NA,NA,NA,NA,NA,NA,76.52,0.67,168.66,0.00,0.00,218.57,NA,NA
2025-01-24 00:00:00,72.06,102.14,NA,75.95,NA,NA,38.05,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.49,158.06,0.00,0.00,217.97,NA,NA
2025-01-25 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-26 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-27 00:00:00,111.40,123.38,NA,90.51,NA,NA,12.89,NA,NA,0.00,NA,NA,NA,NA,NA,NA,73.98,0.56,226.76,0.00,0.00,218.62,NA,NA
2025-01-28 00:00:00,97.73,134.34,NA,83.94,NA,NA,26.29,NA,NA,0.00,NA,NA,NA,NA,NA,NA,74.71,0.37,214.55,0.00,0.00,218.24,NA,NA
2025-01-29 00:00:00,147.19,224.44,NA,84.35,NA,NA,29.84,NA,NA,0.00,NA,NA,NA,NA,NA,NA,79.55,0.41,191.17,0.00,0.00,218.41,NA,NA
2025-01-30 00:00:00,146.00,206.70,NA,76.12,NA,NA,23.34,NA,NA,0.00,NA,NA,NA,NA,NA,NA,83.09,0.33,200.89,0.00,0.00,218.55,NA,NA
2025-01-31 00:00:00,151.58,200.82,NA,74.41,NA,NA,19.29,NA,NA,0.00,NA,NA,NA,NA,NA,NA,81.42,0.38,196.08,0.00,0.00,218.65,NA,NA
2025-02-01 00:00:00,132.74,206.03,NA,73.10,NA,NA,20.01,NA,NA,0.00,NA,NA,NA,NA,NA,NA,83.60,0.42,188.93,0.00,0.00,218.63,NA,NA
2025-02-02 00:00:00,64.17,187.56,NA,71.50,NA,NA,17.27,NA,NA,0.00,NA,NA,NA,NA,NA,NA,85.80,0.37,190.98,0.00,0.00,218.55,NA,NA
2025-02-03 00:00:00,50.97,143.87,NA,73.23,NA,NA,18.09,NA,NA,0.00,NA,NA,NA,NA,NA,NA,81.75,0.36,189.04,0.00,0.00,218.42,NA,NA
2025-02-04 00:00:00,84.92,173.06,NA,74.10,NA,NA,19.60,NA,NA,0.00,NA,NA,NA,NA,NA,NA,78.93,0.40,214.82,0.00,0.00,218.70,NA,NA
