Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,202.96,263.25,32.50,49.08,52.52,56.54,9.08,1.60,20.18,1.56,8.06,NA,NA,NA,NA,14.17,77.96,0.79,217.08,0.00,0.00,71.02,993.97,NA
2025-01-02 00:00:00,195.17,255.96,31.04,45.02,48.10,67.98,10.06,1.16,19.73,1.58,6.79,NA,NA,NA,NA,14.32,79.31,0.80,215.89,0.00,0.00,65.36,993.21,NA
2025-01-03 00:00:00,279.88,384.83,97.32,71.48,117.13,86.91,12.25,1.61,19.76,2.55,12.78,NA,NA,NA,NA,15.05,83.40,0.66,178.68,0.00,0.00,60.34,993.05,NA
2025-01-04 00:00:00,279.59,337.04,51.21,67.60,77.57,96.98,8.36,0.72,17.99,2.87,12.64,NA,NA,NA,NA,15.08,84.34,0.92,152.14,0.00,0.00,56.45,991.33,NA
2025-01-05 00:00:00,189.21,240.79,21.29,42.11,39.71,75.90,5.79,0.83,12.21,1.68,4.11,NA,NA,NA,NA,14.57,81.27,1.03,156.01,0.00,0.00,70.16,991.21,NA
2025-01-06 00:00:00,200.68,251.45,24.76,48.63,45.72,72.72,7.65,0.73,18.12,1.65,5.35,NA,NA,NA,NA,15.36,80.34,0.84,191.19,0.00,0.00,60.56,992.15,NA
2025-01-07 00:00:00,175.00,234.75,29.41,36.26,43.20,82.64,10.30,0.99,26.80,1.39,6.21,NA,NA,NA,NA,14.79,81.15,0.84,218.78,0.00,0.00,34.82,992.93,NA
2025-01-08 00:00:00,150.46,218.75,60.14,58.93,80.24,68.61,12.64,1.30,30.40,1.67,8.81,NA,NA,NA,NA,15.31,73.69,0.78,219.98,0.00,0.00,88.03,990.68,NA
2025-01-09 00:00:00,276.67,366.37,149.35,85.33,189.45,83.28,14.74,2.00,27.28,2.34,11.31,NA,NA,NA,NA,14.91,77.30,0.61,178.07,0.00,0.00,65.77,993.03,NA
2025-01-10 00:00:00,271.58,342.54,128.35,54.13,133.11,79.94,10.27,1.40,16.40,2.23,9.07,NA,NA,NA,NA,14.12,85.26,0.74,149.23,0.00,0.00,59.96,994.93,NA
