Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,171.52,222.91,14.36,70.09,48.96,57.55,3.26,1.10,38.70,NA,NA,NA,NA,NA,NA,12.38,86.51,0.66,258.62,NA,0.00,25.43,986.00,-0.02
2025-01-02 00:00:00,175.56,223.79,16.14,73.54,52.23,73.86,3.59,1.69,37.45,NA,NA,NA,NA,NA,NA,12.52,87.49,0.77,250.28,NA,0.00,23.97,986.00,-0.02
2025-01-03 00:00:00,261.76,331.95,34.82,120.61,92.46,84.28,6.76,2.58,47.35,NA,NA,NA,NA,NA,NA,13.95,87.88,0.35,239.62,NA,0.00,24.26,986.00,-0.02
2025-01-04 00:00:00,277.09,331.33,38.18,149.39,110.51,86.37,7.33,2.40,43.16,NA,NA,NA,NA,NA,NA,14.66,89.29,0.90,157.10,NA,0.00,24.40,986.00,-0.02
2025-01-05 00:00:00,174.28,225.92,17.63,90.14,61.92,70.89,5.29,1.28,23.32,NA,NA,NA,NA,NA,NA,13.68,87.90,1.17,129.47,NA,0.00,26.91,986.00,-0.02
2025-01-06 00:00:00,171.00,213.39,12.52,79.39,52.41,65.62,3.59,1.93,28.75,NA,NA,NA,NA,NA,NA,14.54,88.88,0.90,222.25,NA,0.00,22.03,986.00,-0.02
2025-01-07 00:00:00,167.41,213.25,11.44,65.61,43.19,74.81,6.26,2.67,28.96,NA,NA,NA,NA,NA,NA,13.49,88.97,1.07,243.00,NA,0.00,13.34,986.00,-0.02
2025-01-08 00:00:00,142.30,183.62,14.56,83.29,56.16,63.86,6.42,1.51,48.09,NA,NA,NA,NA,NA,NA,14.53,79.32,0.77,248.20,NA,0.00,29.33,986.00,-0.02
2025-01-09 00:00:00,258.53,305.04,44.35,170.69,126.85,70.87,7.47,2.41,74.87,NA,NA,NA,NA,NA,NA,13.33,83.16,0.33,219.50,NA,0.00,21.90,986.00,-0.02
2025-01-10 00:00:00,280.32,331.26,59.45,131.53,118.24,59.32,5.12,1.34,43.78,0.14,1.02,NA,NA,NA,NA,12.13,89.80,0.58,192.54,NA,0.00,16.99,986.30,-0.02
2025-01-11 00:00:00,158.35,210.25,27.87,76.67,63.44,62.79,10.34,0.34,16.68,0.14,0.81,NA,NA,NA,NA,13.53,90.94,1.03,161.52,NA,0.00,17.50,986.09,-0.02
2025-01-12 00:00:00,142.81,185.40,64.23,80.13,94.85,59.48,11.65,1.42,23.39,0.19,1.59,NA,NA,NA,NA,14.34,90.10,0.57,252.03,NA,0.00,11.68,986.00,-0.02
2025-01-13 00:00:00,132.59,167.63,26.81,77.97,63.26,57.25,8.95,1.70,29.06,0.13,0.97,NA,NA,NA,NA,15.04,88.24,0.95,237.53,NA,0.00,20.62,986.00,-0.02
2025-01-14 00:00:00,167.91,214.49,37.49,83.04,74.65,57.03,13.39,2.34,42.33,0.19,1.36,NA,NA,NA,NA,14.80,85.02,0.72,245.71,NA,0.00,21.11,986.00,-0.02
2025-01-15 00:00:00,276.31,361.07,131.57,85.29,152.33,53.22,11.83,3.15,12.54,0.42,4.19,NA,NA,NA,NA,12.91,91.31,0.71,172.27,NA,0.00,12.48,986.00,-0.02
2025-01-16 00:00:00,126.20,166.22,58.00,78.01,88.66,52.48,11.82,2.05,21.57,0.20,1.38,NA,NA,NA,NA,14.96,87.44,0.44,215.68,NA,0.00,14.69,986.00,-0.02
2025-01-17 00:00:00,124.07,157.70,28.84,70.81,61.11,49.69,9.03,1.82,33.47,0.25,1.74,NA,NA,NA,NA,14.13,88.61,1.00,245.22,NA,0.00,20.64,986.00,-0.02
2025-01-18 00:00:00,148.21,196.75,28.45,77.96,64.60,51.22,11.34,1.84,40.44,0.19,1.24,NA,NA,NA,NA,15.63,84.92,0.74,240.83,NA,0.00,22.11,986.00,-0.02
2025-01-19 00:00:00,218.08,271.42,116.68,86.28,140.76,53.03,13.27,3.23,36.49,0.32,2.57,NA,NA,NA,NA,18.26,81.93,0.42,250.10,NA,0.00,20.52,986.00,-0.02
2025-01-20 00:00:00,150.38,193.25,38.04,87.85,77.65,53.20,9.81,1.93,35.47,0.17,1.38,NA,NA,NA,NA,19.22,79.54,0.82,237.59,NA,0.00,23.49,986.00,-0.02
2025-01-21 00:00:00,125.33,172.58,19.54,89.83,63.67,52.18,12.47,1.70,47.20,0.14,1.04,NA,NA,NA,NA,19.09,73.77,1.00,244.08,NA,0.00,24.29,986.00,-0.02
2025-01-22 00:00:00,114.41,150.14,52.92,91.80,91.84,71.06,12.17,2.14,19.18,0.17,0.91,NA,NA,NA,NA,16.40,83.45,0.44,254.46,NA,0.00,7.32,984.46,-0.02
2025-01-23 00:00:00,101.66,140.13,82.23,110.11,125.42,94.82,8.77,1.05,9.78,NA,NA,NA,NA,NA,NA,19.62,73.09,0.69,239.93,NA,0.00,23.23,983.21,-0.02
2025-01-24 00:00:00,84.63,126.62,40.03,112.98,92.64,52.50,9.55,1.07,6.48,NA,NA,NA,NA,NA,NA,18.84,64.88,0.97,237.73,NA,0.00,23.89,985.98,-0.02
2025-01-25 00:00:00,75.10,124.54,34.51,108.52,85.78,40.38,10.09,1.41,10.20,NA,NA,NA,NA,NA,NA,17.34,62.55,0.92,210.88,NA,0.00,22.01,986.00,-0.02
2025-01-26 00:00:00,94.63,137.92,44.46,118.19,99.02,39.99,11.46,1.67,4.78,NA,NA,NA,NA,NA,NA,15.53,69.70,0.78,246.17,NA,0.00,22.19,986.01,-0.02
2025-01-27 00:00:00,112.71,162.12,53.04,120.16,107.04,39.97,12.30,1.70,4.92,NA,NA,NA,NA,NA,NA,15.25,73.06,0.77,224.64,NA,0.00,22.86,986.00,-0.02
2025-01-28 00:00:00,112.41,167.04,47.85,125.43,105.62,41.12,11.37,1.36,5.20,NA,NA,NA,NA,NA,NA,15.56,73.73,0.60,223.74,NA,0.00,22.87,986.00,-0.02
2025-01-29 00:00:00,248.87,312.50,116.94,132.31,165.45,42.54,10.90,2.59,5.22,NA,NA,NA,NA,NA,NA,16.72,78.15,0.72,165.46,NA,0.00,21.38,986.00,-0.02
2025-01-30 00:00:00,179.54,229.60,72.03,129.01,127.18,44.86,12.82,1.78,5.87,NA,NA,NA,NA,NA,NA,18.17,80.40,0.70,217.99,NA,0.00,20.06,986.00,-0.02
2025-01-31 00:00:00,191.23,238.75,117.63,134.12,166.97,46.60,12.14,2.40,5.99,NA,NA,NA,NA,NA,NA,18.90,82.03,0.44,238.09,NA,0.00,21.19,986.00,-0.02
2025-02-01 00:00:00,208.32,269.65,109.16,133.32,159.67,47.03,8.22,2.58,6.00,NA,NA,NA,NA,NA,NA,18.87,84.33,0.32,252.33,NA,0.00,18.00,986.00,-0.02
2025-02-02 00:00:00,160.22,209.96,77.15,127.65,130.63,46.95,10.42,1.56,5.84,NA,NA,NA,NA,NA,NA,18.02,83.67,0.59,242.20,NA,0.00,20.23,986.00,-0.02
2025-02-03 00:00:00,104.82,157.04,55.84,111.95,104.29,43.27,6.04,1.28,8.83,NA,NA,NA,NA,NA,NA,18.05,74.93,0.54,249.89,NA,0.00,24.33,986.00,-0.02
2025-02-04 00:00:00,154.92,216.71,103.44,117.82,146.79,47.05,6.53,1.81,5.19,NA,NA,NA,NA,NA,NA,19.72,74.99,0.48,213.33,NA,0.00,20.66,986.00,-0.02
2025-02-05 00:00:00,101.50,136.67,66.91,115.69,115.95,49.11,4.98,1.25,4.74,NA,NA,NA,NA,NA,NA,18.67,69.66,0.88,248.14,NA,0.00,26.30,986.00,-0.02
2025-02-06 00:00:00,79.29,129.91,40.11,115.63,94.13,41.54,5.65,1.06,4.18,NA,NA,NA,NA,NA,NA,19.43,60.77,1.55,259.03,NA,0.00,28.17,986.00,-0.02
2025-02-07 00:00:00,67.25,120.62,29.74,114.55,85.10,37.03,6.10,0.97,4.11,NA,NA,NA,NA,NA,NA,18.98,54.73,1.66,235.31,NA,0.00,26.35,986.00,-0.02
2025-02-08 00:00:00,75.17,128.25,43.18,122.44,100.22,37.24,5.45,1.15,3.85,NA,NA,NA,NA,NA,NA,19.34,58.47,1.10,245.25,NA,0.00,22.83,986.00,-0.02
2025-02-09 00:00:00,104.54,159.00,76.52,131.94,132.40,40.61,4.64,1.58,4.02,NA,NA,NA,NA,NA,NA,18.54,69.51,0.60,258.09,NA,0.00,24.75,986.00,-0.02
2025-02-10 00:00:00,120.75,183.25,102.23,137.99,156.52,42.55,6.33,2.03,4.29,NA,NA,NA,NA,NA,NA,19.48,71.02,0.54,233.02,NA,0.00,25.30,986.00,-0.02
2025-02-11 00:00:00,111.96,169.79,93.88,135.28,148.28,45.14,5.75,2.12,5.90,NA,NA,NA,NA,NA,NA,20.88,69.98,0.55,232.35,NA,0.00,25.06,986.15,-0.02
2025-02-12 00:00:00,73.58,129.04,81.60,128.08,134.47,41.18,6.07,1.70,4.40,NA,NA,NA,NA,NA,NA,21.72,62.09,1.51,249.99,NA,0.00,27.76,987.00,-0.02
2025-02-13 00:00:00,50.54,113.79,32.35,127.42,94.07,37.93,5.46,1.15,4.43,NA,NA,NA,NA,NA,NA,21.58,54.26,1.87,236.09,NA,0.00,28.21,987.00,-0.02
2025-02-14 00:00:00,57.76,127.66,37.34,126.86,97.83,35.02,4.50,1.21,4.24,NA,NA,NA,NA,NA,NA,20.99,53.60,1.27,225.17,NA,0.00,27.56,987.00,-0.02
2025-02-15 00:00:00,83.58,138.83,75.29,138.48,134.86,36.25,5.04,1.65,3.93,NA,NA,NA,NA,NA,NA,20.41,63.88,0.50,218.59,NA,0.00,28.65,987.00,-0.02
2025-02-16 00:00:00,142.76,198.68,98.08,144.47,156.60,39.50,4.48,2.19,4.04,NA,NA,NA,NA,NA,NA,20.89,68.86,0.44,175.80,NA,0.00,26.63,987.00,-0.02
2025-02-17 00:00:00,85.48,133.05,62.60,129.26,119.66,40.22,13.61,1.68,5.25,NA,NA,NA,NA,NA,NA,21.00,70.03,0.51,228.45,NA,0.00,28.38,986.69,-0.02
