Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,198.55,349.19,25.96,37.07,40.83,32.31,7.58,1.13,18.40,1.60,26.48,NA,NA,NA,NA,12.12,86.84,0.73,63.15,0.00,0.00,49.72,979.57,NA
2025-01-02 00:00:00,195.00,349.71,12.84,36.76,29.99,44.34,7.96,1.32,17.48,1.65,19.65,NA,NA,NA,NA,12.32,88.19,0.70,84.09,0.00,0.00,48.73,979.58,NA
2025-01-03 00:00:00,212.33,363.52,40.41,42.21,54.95,61.34,8.76,1.87,14.07,2.49,54.60,NA,NA,NA,NA,13.12,89.49,0.80,97.65,0.00,0.00,58.73,979.68,NA
2025-01-04 00:00:00,302.58,455.04,23.79,74.47,58.95,69.95,7.84,2.28,20.96,3.61,67.95,NA,NA,NA,NA,14.07,86.58,0.71,119.04,0.00,0.00,61.19,979.68,NA
2025-01-05 00:00:00,208.42,388.21,13.49,50.77,37.97,52.12,4.69,1.42,17.82,1.87,21.56,NA,NA,NA,NA,13.85,82.64,0.71,126.95,0.00,0.00,73.73,979.55,NA
2025-01-06 00:00:00,167.33,280.38,9.37,36.31,26.84,46.10,7.28,1.17,19.51,1.70,17.17,NA,NA,NA,NA,13.62,86.84,0.72,88.31,0.05,5.00,36.90,979.54,NA
2025-01-07 00:00:00,180.54,327.58,21.79,35.19,36.43,49.58,5.05,1.23,27.80,1.60,31.15,NA,NA,NA,NA,13.27,87.62,0.76,80.09,0.00,0.00,38.30,979.43,NA
2025-01-08 00:00:00,163.54,312.05,33.44,55.53,55.23,49.81,2.82,1.24,27.01,2.07,56.13,NA,NA,NA,NA,13.94,77.56,0.68,77.65,0.00,0.00,88.40,979.03,NA
2025-01-09 00:00:00,318.73,551.00,103.10,77.49,125.04,59.80,7.18,2.63,27.74,4.75,102.97,NA,NA,NA,NA,14.11,78.31,0.74,74.88,0.00,0.00,72.60,978.78,NA
2025-01-10 00:00:00,364.22,490.11,78.87,81.52,106.01,89.29,9.07,1.86,21.35,5.71,81.70,NA,NA,NA,NA,13.49,86.11,0.75,87.89,0.00,0.00,69.81,975.81,NA
2025-01-11 00:00:00,205.37,330.41,23.68,61.34,50.57,55.40,4.91,0.85,22.41,2.57,68.79,NA,NA,NA,NA,14.14,83.31,0.74,86.31,0.13,7.00,57.96,978.56,NA
2025-01-12 00:00:00,149.25,221.67,14.25,41.52,33.67,34.02,1.88,1.03,20.83,1.51,46.32,NA,NA,NA,NA,13.66,87.06,0.75,67.77,0.00,0.00,40.00,979.28,NA
2025-01-13 00:00:00,128.92,244.08,11.59,40.48,30.95,35.32,4.47,0.72,20.41,1.20,32.74,NA,NA,NA,NA,13.78,87.57,0.73,78.06,0.00,0.00,64.45,979.21,NA
2025-01-14 00:00:00,183.83,263.10,51.03,45.42,65.19,39.40,6.47,1.80,27.42,1.93,53.44,NA,NA,NA,NA,13.68,85.35,0.82,71.31,0.00,0.00,78.79,978.90,NA
2025-01-15 00:00:00,326.79,473.25,84.80,80.42,111.71,55.91,5.11,1.64,15.79,2.60,33.16,NA,NA,NA,NA,13.58,87.74,0.77,92.48,0.00,0.00,57.00,976.12,NA
2025-01-16 00:00:00,173.71,283.21,12.55,56.86,40.45,36.12,3.42,0.93,30.90,0.00,0.00,NA,NA,NA,NA,14.66,79.50,0.66,111.02,0.02,2.00,69.32,979.15,NA
2025-01-17 00:00:00,137.25,234.12,5.50,37.35,24.33,31.40,0.95,0.60,31.10,0.00,0.00,NA,NA,NA,NA,13.27,87.03,0.72,75.77,0.00,0.00,75.16,978.86,NA
2025-01-18 00:00:00,175.88,333.88,14.12,45.10,35.47,32.73,4.12,0.93,30.73,0.00,0.00,NA,NA,NA,NA,14.31,82.39,0.67,85.15,0.00,0.00,75.12,978.53,NA
2025-01-19 00:00:00,284.38,547.46,67.60,53.09,83.19,42.36,4.21,1.39,32.83,0.00,0.00,NA,NA,NA,NA,16.34,78.78,0.75,74.28,0.00,0.00,80.86,978.18,NA
2025-01-20 00:00:00,184.84,387.09,18.12,50.77,41.73,44.39,4.12,0.65,33.51,0.44,15.35,NA,NA,NA,NA,16.35,77.81,0.72,86.03,0.00,0.00,89.45,977.96,NA
2025-01-21 00:00:00,167.50,374.61,16.86,54.31,42.59,38.29,8.12,0.68,37.11,1.32,45.30,NA,NA,NA,NA,15.93,73.76,0.70,89.42,0.00,0.00,89.79,978.12,NA
2025-01-22 00:00:00,156.33,300.33,19.45,55.03,45.08,39.62,7.25,0.67,30.34,1.18,27.21,NA,NA,NA,NA,15.99,76.41,0.75,85.90,0.00,0.00,86.48,978.06,NA
2025-01-23 00:00:00,141.38,278.67,11.89,49.88,36.20,42.39,7.93,0.53,36.07,1.18,29.26,NA,NA,NA,NA,16.76,69.49,0.67,79.49,0.00,0.00,92.90,976.71,NA
2025-01-24 00:00:00,101.31,234.14,12.34,49.64,35.64,57.78,7.34,0.49,40.01,1.37,28.83,NA,NA,NA,NA,17.87,52.93,0.72,75.65,0.00,0.00,136.80,974.56,NA
2025-01-25 00:00:00,103.21,309.71,18.34,42.78,37.66,26.40,6.01,0.75,38.39,0.81,45.62,NA,NA,NA,NA,15.28,62.21,0.74,84.09,0.00,0.00,96.26,977.95,NA
2025-01-26 00:00:00,115.04,287.58,15.83,43.79,36.17,30.45,4.31,0.45,40.36,0.92,32.91,NA,NA,NA,NA,14.75,63.95,0.70,81.72,0.00,0.00,94.99,978.32,NA
2025-01-27 00:00:00,147.67,356.33,24.07,50.48,46.42,37.66,3.50,0.66,42.99,0.06,4.04,NA,NA,NA,NA,14.76,67.23,0.69,77.43,0.00,0.00,90.43,978.11,NA
2025-01-28 00:00:00,189.92,382.95,59.72,55.98,78.34,41.71,8.71,1.12,40.81,0.00,0.00,NA,NA,NA,NA,15.02,68.47,0.64,86.26,0.00,0.00,89.58,978.30,NA
2025-01-29 00:00:00,312.67,596.59,67.16,74.78,94.37,50.48,5.30,1.41,43.69,0.47,12.39,NA,NA,NA,NA,16.47,69.42,0.73,110.53,0.00,0.00,77.67,977.88,NA
2025-01-30 00:00:00,238.71,524.31,29.83,65.45,58.09,50.75,9.35,1.32,42.15,2.03,53.04,NA,NA,NA,NA,17.73,68.08,0.73,81.08,0.00,0.00,82.59,976.38,NA
2025-01-31 00:00:00,236.25,442.92,48.07,46.36,63.74,54.49,2.58,0.92,32.97,1.05,34.06,NA,NA,NA,NA,16.64,80.28,0.65,126.22,0.00,0.00,75.32,977.46,NA
2025-02-01 00:00:00,176.44,306.59,11.09,42.33,31.52,47.24,6.28,0.94,25.49,0.11,2.67,NA,NA,NA,NA,15.74,85.65,0.72,77.29,0.00,0.00,53.83,977.95,NA
2025-02-02 00:00:00,190.25,320.12,4.20,45.51,27.58,42.92,8.11,0.61,32.64,NA,NA,NA,NA,NA,NA,15.52,82.74,0.72,80.20,0.00,0.00,74.53,978.60,NA
2025-02-03 00:00:00,138.17,291.62,8.04,53.58,35.03,36.12,7.44,0.70,34.56,NA,NA,NA,NA,NA,NA,15.59,73.55,0.78,88.42,0.00,0.00,98.42,978.72,NA
2025-02-04 00:00:00,211.85,430.72,20.78,76.08,57.35,43.02,7.97,1.03,25.37,0.44,12.06,NA,NA,NA,NA,16.68,70.98,0.70,96.92,0.00,0.00,49.38,977.99,NA
2025-02-05 00:00:00,146.92,307.62,16.13,50.48,39.69,39.25,8.83,0.61,38.91,0.00,0.00,NA,NA,NA,NA,16.01,70.52,0.72,86.00,0.00,0.00,102.83,977.16,NA
2025-02-06 00:00:00,126.58,283.12,4.71,49.03,29.86,33.57,8.65,0.49,48.81,0.00,0.00,NA,NA,NA,NA,15.50,66.70,0.71,82.62,0.00,0.00,105.30,977.44,NA
2025-02-07 00:00:00,104.89,267.04,4.20,49.07,29.51,30.42,8.62,0.45,54.60,0.40,12.69,NA,NA,NA,NA,15.78,57.33,0.72,92.93,0.00,0.00,105.85,977.38,NA
