Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,101.57,128.01,10.08,39.41,29.08,48.45,10.28,1.23,29.88,0.77,0.82,NA,NA,NA,NA,13.82,81.95,0.43,262.21,0.00,0.00,28.76,995.79,NA
2025-01-02 00:00:00,115.68,150.41,10.28,38.84,29.03,70.64,10.53,1.48,26.92,0.92,1.40,NA,NA,NA,NA,13.79,82.96,0.47,255.06,0.00,0.00,24.33,995.02,NA
2025-01-03 00:00:00,151.00,183.63,15.33,44.40,36.08,77.06,11.20,2.04,25.83,0.94,2.71,NA,NA,NA,NA,14.38,83.16,0.40,215.81,0.00,0.00,25.07,994.82,NA
2025-01-04 00:00:00,232.84,268.08,14.25,71.12,49.73,90.08,11.27,3.08,53.70,0.81,2.49,NA,NA,NA,NA,15.65,80.53,0.55,198.06,0.00,0.00,28.61,992.70,NA
2025-01-05 00:00:00,151.64,194.24,8.16,46.85,31.48,74.63,10.38,1.74,31.79,0.74,1.40,NA,NA,NA,NA,15.57,78.53,0.71,195.48,0.00,0.00,26.06,992.51,NA
2025-01-06 00:00:00,124.11,164.10,5.76,37.77,24.78,71.62,9.92,1.43,43.29,0.34,0.34,NA,NA,NA,NA,15.86,80.40,0.62,237.01,0.00,0.00,20.70,993.90,NA
2025-01-07 00:00:00,147.33,190.01,5.09,34.72,22.48,83.20,8.90,1.29,53.18,0.09,0.12,NA,NA,NA,NA,15.65,79.64,0.64,223.49,0.00,0.00,24.04,994.66,NA
2025-01-08 00:00:00,79.25,107.41,10.48,38.38,28.93,72.30,11.92,1.16,54.09,0.20,0.21,NA,NA,NA,NA,14.98,74.46,0.46,264.65,0.00,0.00,23.72,992.33,NA
2025-01-09 00:00:00,211.01,261.29,32.20,70.96,63.93,75.21,9.92,2.14,56.98,0.67,1.91,NA,NA,NA,NA,15.47,73.91,0.50,186.62,0.00,0.00,26.45,994.56,NA
2025-01-10 00:00:00,246.84,299.78,46.89,59.48,69.77,77.06,10.41,2.56,52.48,0.79,2.44,NA,NA,NA,NA,15.49,81.87,0.57,189.49,0.00,0.00,38.81,996.67,NA
