Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,244.46,341.13,26.68,39.04,42.46,65.98,10.03,1.62,24.98,0.24,1.42,NA,NA,NA,NA,11.04,79.90,0.30,224.54,0.00,0.00,71.20,992.88,NA
2025-01-02 00:00:00,233.29,328.62,25.64,39.59,41.90,83.57,9.28,1.75,26.87,0.22,1.23,NA,NA,NA,NA,11.21,83.51,0.30,295.55,0.00,0.00,65.43,992.10,NA
2025-01-03 00:00:00,354.46,483.43,73.56,56.59,89.90,98.81,11.05,2.22,25.36,0.37,2.07,NA,NA,NA,NA,12.24,75.60,0.30,308.32,0.00,0.00,59.15,992.05,NA
2025-01-04 00:00:00,291.96,398.12,77.34,58.47,93.98,88.71,6.21,1.48,18.56,0.37,2.15,NA,NA,NA,NA,11.78,83.56,0.30,180.85,0.00,0.00,56.88,990.35,NA
2025-01-05 00:00:00,187.46,288.46,22.33,38.27,38.51,59.36,6.98,1.36,16.87,0.22,0.93,NA,NA,NA,NA,11.04,87.26,0.30,129.96,0.00,0.00,61.53,990.23,NA
2025-01-06 00:00:00,209.38,300.96,20.30,36.36,35.84,59.37,6.90,1.52,22.26,0.22,1.08,NA,NA,NA,NA,12.73,80.25,0.30,220.14,0.01,1.00,70.58,991.10,NA
2025-01-07 00:00:00,208.38,302.83,19.13,26.74,29.77,73.93,7.29,1.84,35.72,0.20,1.18,NA,NA,NA,NA,11.93,83.52,0.30,304.42,0.00,0.00,25.43,991.85,NA
2025-01-08 00:00:00,218.75,316.67,57.89,45.01,71.01,77.13,11.13,1.90,38.72,0.26,1.48,NA,NA,NA,NA,12.92,74.70,0.30,243.63,0.00,0.00,59.56,989.59,NA
2025-01-09 00:00:00,336.48,460.29,142.55,67.23,151.66,84.88,17.33,1.73,50.35,0.33,1.81,NA,NA,NA,NA,12.31,77.92,0.30,103.86,0.02,1.50,52.46,991.03,NA
2025-01-10 00:00:00,267.14,391.93,68.77,50.49,82.75,74.11,12.62,0.63,32.25,0.26,1.36,NA,NA,NA,NA,10.46,89.34,0.41,152.65,0.04,3.50,38.45,992.29,NA
2025-01-11 00:00:00,173.12,247.12,11.62,43.71,32.70,56.14,10.45,0.48,38.05,0.20,0.97,NA,NA,NA,NA,11.08,88.59,2.21,178.27,0.00,0.00,35.61,990.98,NA
