Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,137.60,240.22,16.02,29.73,28.84,NA,NA,0.76,21.30,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,167.31,293.64,25.22,26.38,34.54,NA,NA,1.07,20.55,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,218.68,402.08,58.86,38.05,68.08,NA,NA,1.81,18.39,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,267.42,429.89,49.87,55.58,70.12,NA,NA,1.96,25.47,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,156.21,258.94,17.36,38.06,34.35,NA,NA,0.83,15.09,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,164.00,265.12,13.79,34.11,29.36,NA,NA,0.65,20.93,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,139.65,238.21,10.32,18.02,17.98,NA,NA,0.41,27.29,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-08 00:00:00,136.41,257.65,48.11,33.79,57.08,NA,NA,0.90,26.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-09 00:00:00,317.48,485.68,126.99,57.39,133.77,NA,NA,3.21,31.71,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-10 00:00:00,258.07,408.38,105.61,52.52,113.81,NA,NA,3.01,26.06,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-11 00:00:00,145.38,226.33,14.21,44.38,35.13,NA,NA,1.26,20.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-12 00:00:00,134.38,206.12,29.87,40.49,45.82,NA,NA,1.30,17.28,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-13 00:00:00,107.72,155.66,6.66,35.47,24.28,NA,NA,0.72,16.50,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-14 00:00:00,136.32,347.35,30.41,39.01,45.47,NA,NA,1.42,25.38,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-15 00:00:00,291.56,457.79,125.61,53.72,130.69,NA,NA,4.13,17.65,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-16 00:00:00,159.56,258.47,48.10,45.69,63.41,NA,NA,1.85,19.97,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-17 00:00:00,117.25,202.92,12.19,29.09,25.38,NA,NA,0.84,20.09,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-18 00:00:00,136.61,249.87,26.80,31.57,38.59,NA,NA,1.00,23.79,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-19 00:00:00,180.57,315.98,80.91,36.84,85.38,NA,NA,2.34,28.40,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
