Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,88.87,199.83,23.57,41.60,41.28,42.82,13.47,1.12,15.16,2.61,4.37,NA,NA,2.31,2.22,NA,88.35,0.35,280.39,NA,NA,13.47,NA,-0.00
2025-01-02 00:00:00,90.03,214.54,23.63,40.42,40.71,41.94,12.46,0.95,15.74,2.62,4.38,NA,NA,2.31,2.23,NA,90.43,0.44,276.82,NA,NA,15.38,NA,0.06
2025-01-03 00:00:00,118.84,283.92,25.51,53.49,49.19,53.56,12.98,0.90,15.59,2.61,4.36,NA,NA,2.32,2.21,NA,89.41,0.24,191.94,NA,NA,19.65,NA,-0.00
2025-01-04 00:00:00,102.74,230.93,23.71,48.70,45.17,46.89,14.89,1.33,18.71,2.61,4.40,NA,NA,2.31,2.21,NA,86.26,0.48,148.59,NA,NA,22.31,NA,0.06
2025-01-05 00:00:00,89.82,193.93,23.26,42.64,41.58,42.01,12.83,1.10,15.93,2.58,4.35,NA,NA,2.30,2.19,NA,85.92,0.84,157.99,NA,NA,39.60,NA,0.04
2025-01-06 00:00:00,75.66,169.51,18.08,35.13,33.33,43.60,13.31,1.07,15.33,2.28,4.82,NA,NA,2.30,1.84,NA,91.51,0.57,250.14,NA,NA,13.55,NA,0.09
2025-01-07 00:00:00,88.98,196.21,11.58,27.49,24.00,51.29,12.93,0.51,18.25,2.47,4.36,NA,NA,1.87,2.10,NA,89.92,0.61,280.21,NA,NA,15.24,NA,0.10
2025-01-08 00:00:00,78.83,203.61,12.11,30.77,26.20,53.12,13.31,0.72,19.02,2.46,4.36,NA,NA,1.87,2.09,NA,76.57,0.43,256.15,NA,NA,40.89,NA,0.07
2025-01-09 00:00:00,123.88,312.30,12.65,35.04,28.90,61.04,14.29,0.63,21.22,2.46,4.34,NA,NA,1.88,2.09,NA,78.42,0.23,153.72,NA,NA,29.50,NA,0.02
2025-01-10 00:00:00,127.29,255.80,12.14,28.90,25.19,57.05,12.05,0.82,18.22,2.46,4.37,NA,NA,1.88,2.10,NA,86.71,0.53,153.92,NA,NA,26.75,NA,0.05
2025-01-11 00:00:00,77.77,176.82,10.97,21.89,20.45,50.42,14.15,1.12,19.63,2.46,4.37,NA,NA,1.88,2.10,NA,90.43,0.84,171.56,NA,NA,15.76,NA,0.09
2025-01-12 00:00:00,50.83,123.18,11.08,23.84,21.61,50.19,12.12,0.48,16.57,2.47,4.36,NA,NA,1.88,2.08,NA,89.06,0.35,258.28,NA,NA,14.95,NA,-0.13
2025-01-13 00:00:00,59.16,143.25,11.21,23.82,21.73,49.53,12.86,0.67,15.31,2.47,4.36,NA,NA,1.88,2.09,NA,90.09,0.50,287.45,NA,NA,24.36,NA,0.05
2025-01-14 00:00:00,87.02,225.93,13.46,35.79,29.87,62.98,12.59,0.76,18.32,2.48,4.36,NA,NA,1.87,2.09,NA,85.90,0.38,262.41,NA,NA,31.90,NA,0.13
2025-01-15 00:00:00,142.20,258.72,12.17,31.46,26.59,50.23,14.68,1.92,13.89,2.47,4.36,NA,NA,1.88,2.10,NA,89.62,0.47,164.80,NA,NA,25.41,NA,0.12
2025-01-16 00:00:00,96.70,168.39,11.73,30.84,25.92,70.14,13.82,1.30,12.54,2.53,4.47,NA,NA,1.93,2.16,NA,83.14,0.37,192.71,NA,NA,32.06,NA,0.13
