Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,215.66,311.79,35.62,46.63,54.16,61.57,6.72,0.85,19.97,2.56,15.24,NA,NA,NA,NA,14.56,77.13,0.33,191.49,0.00,0.00,46.42,991.00,NA
2025-01-02 00:00:00,213.92,307.38,35.86,45.43,53.32,74.38,9.30,1.73,23.70,2.76,13.63,NA,NA,NA,NA,14.61,78.79,0.35,241.26,0.00,0.00,42.30,991.00,NA
2025-01-03 00:00:00,332.83,478.79,123.43,67.52,136.28,85.38,11.12,2.07,14.31,5.38,35.34,NA,NA,NA,NA,15.74,80.70,0.32,258.01,0.00,0.00,43.64,991.00,NA
2025-01-04 00:00:00,293.77,387.12,71.86,45.82,82.28,82.49,6.99,1.42,20.23,5.76,39.62,NA,NA,NA,NA,15.10,84.55,0.33,183.84,0.00,0.00,46.41,991.00,NA
2025-01-05 00:00:00,191.96,277.83,24.04,29.45,35.09,63.16,7.53,1.44,18.25,2.98,7.74,NA,NA,NA,NA,14.57,83.49,0.37,117.18,0.00,0.00,48.27,991.00,NA
2025-01-06 00:00:00,208.08,291.92,23.98,40.99,41.28,60.61,7.47,1.32,18.45,2.81,11.05,NA,NA,NA,NA,15.63,80.01,0.38,171.74,0.00,0.00,38.38,991.00,NA
2025-01-07 00:00:00,213.72,323.72,63.96,44.09,75.45,71.07,11.27,1.44,14.95,2.70,18.44,NA,NA,NA,NA,15.54,80.81,0.37,235.09,0.00,0.00,27.98,991.87,NA
2025-01-08 00:00:00,162.83,253.54,59.68,54.58,77.52,69.48,12.00,1.22,22.17,2.66,14.53,NA,NA,NA,NA,15.95,70.98,0.46,249.72,0.00,0.00,59.41,990.57,NA
2025-01-09 00:00:00,291.25,412.35,129.83,67.66,141.62,76.40,13.61,1.81,19.37,4.23,51.11,NA,NA,NA,NA,15.38,71.19,0.35,219.81,0.01,0.50,39.73,992.98,NA
2025-01-10 00:00:00,272.88,377.96,73.59,42.18,82.25,77.08,8.08,2.16,18.98,3.62,21.53,NA,NA,NA,NA,13.75,89.54,0.33,145.48,0.00,0.00,34.21,994.97,NA
2025-01-11 00:00:00,165.67,221.12,17.99,35.38,33.46,62.33,6.71,1.23,31.04,2.41,16.31,NA,NA,NA,NA,14.09,88.98,0.34,148.07,0.02,2.00,26.02,993.67,NA
2025-01-12 00:00:00,162.50,216.33,64.74,41.74,74.84,56.63,8.39,2.13,18.93,2.94,19.01,NA,NA,NA,NA,15.04,87.62,0.32,256.72,0.00,0.00,23.50,994.40,NA
2025-01-13 00:00:00,132.17,190.04,23.43,39.64,40.14,52.49,7.98,1.20,19.05,1.85,7.46,NA,NA,NA,NA,15.46,83.96,0.39,232.03,0.00,0.00,56.03,993.68,NA
2025-01-14 00:00:00,171.96,262.71,69.26,52.42,83.65,47.05,10.12,1.70,18.58,2.75,18.10,NA,NA,NA,NA,15.46,80.64,0.36,237.71,0.00,0.00,56.98,993.77,NA
2025-01-15 00:00:00,243.92,340.88,118.95,35.93,119.41,51.00,10.13,1.66,15.80,4.28,32.77,NA,NA,NA,NA,14.11,90.20,0.34,178.84,0.00,0.00,26.36,995.32,NA
2025-01-16 00:00:00,183.50,249.25,74.69,39.42,81.65,46.22,9.46,1.76,25.54,3.30,22.69,NA,NA,NA,NA,15.22,84.57,0.31,144.38,0.04,3.50,39.33,996.02,NA
2025-01-17 00:00:00,161.79,238.53,37.24,39.28,51.11,42.51,8.17,0.70,22.71,2.75,16.60,NA,NA,NA,NA,14.90,84.77,0.47,253.95,0.00,0.00,60.15,995.56,NA
2025-01-18 00:00:00,184.58,388.64,38.53,39.54,52.35,43.99,9.15,1.82,24.53,2.42,17.13,NA,NA,NA,NA,15.80,78.19,0.37,219.78,0.00,0.00,53.84,993.51,NA
2025-01-19 00:00:00,207.83,323.92,88.90,51.63,99.85,54.01,13.03,2.13,19.12,3.45,27.08,NA,NA,NA,NA,17.67,76.69,0.35,205.32,0.00,0.00,49.86,991.98,NA
2025-01-20 00:00:00,166.67,256.83,30.35,47.07,48.75,54.06,9.49,1.42,18.12,2.09,13.20,NA,NA,NA,NA,18.02,73.56,0.53,271.11,0.00,0.00,57.04,990.42,NA
2025-01-21 00:00:00,137.88,225.58,18.63,53.88,43.79,49.34,9.14,1.40,24.61,1.68,7.55,NA,NA,NA,NA,17.77,67.44,0.52,232.26,0.00,0.00,59.77,989.13,NA
2025-01-22 00:00:00,135.00,241.21,67.19,58.06,84.35,40.72,11.24,1.91,15.79,2.58,21.28,NA,NA,NA,NA,17.91,68.98,0.41,229.62,0.00,0.00,55.74,988.92,NA
2025-01-23 00:00:00,109.38,188.29,57.77,53.59,75.50,45.77,9.93,1.05,18.88,2.93,28.17,NA,NA,NA,NA,17.98,69.39,0.62,219.48,0.01,0.50,56.10,990.18,NA
2025-01-24 00:00:00,90.21,173.08,21.03,49.04,43.27,37.71,8.66,1.71,23.06,1.46,8.67,NA,NA,NA,NA,17.34,60.51,0.62,235.94,0.00,0.00,59.10,990.32,NA
2025-01-25 00:00:00,72.88,160.21,17.75,47.10,39.49,31.10,8.06,1.53,31.60,1.31,6.29,NA,NA,NA,NA,16.88,54.68,0.63,234.77,0.00,0.00,61.73,989.88,NA
2025-01-26 00:00:00,95.50,180.88,17.25,47.99,39.60,33.47,10.48,1.43,32.22,1.58,6.33,NA,NA,NA,NA,16.80,54.18,0.54,260.13,0.00,0.00,60.68,989.68,NA
2025-01-27 00:00:00,121.79,235.04,32.58,58.76,57.74,34.84,11.95,1.47,17.94,1.93,10.02,NA,NA,NA,NA,16.35,60.54,0.59,254.24,0.00,0.00,56.94,988.35,NA
2025-01-28 00:00:00,138.52,261.83,50.63,68.95,77.89,38.52,12.52,1.59,18.49,2.28,12.03,NA,NA,NA,NA,16.60,60.17,0.48,238.93,0.19,18.00,58.83,988.03,NA
2025-01-29 00:00:00,273.12,464.96,114.41,55.35,162.58,50.86,18.19,2.01,66.46,5.03,49.11,NA,NA,NA,NA,17.02,70.86,0.49,148.75,0.00,0.00,64.46,989.47,NA
