Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,210.66,314.63,7.68,39.92,27.49,18.37,1.29,0.77,26.08,0.51,2.14,NA,NA,NA,NA,13.07,76.68,1.63,25.28,0.00,0.00,78.54,987.16,NA
2025-01-02 00:00:00,203.08,316.04,18.55,42.14,37.47,21.01,2.31,1.04,22.53,0.57,2.75,NA,NA,NA,NA,13.10,79.16,1.70,22.86,0.00,0.00,70.61,987.18,NA
2025-01-03 00:00:00,322.04,512.08,67.69,64.00,89.09,26.00,1.64,2.28,20.63,1.12,6.37,NA,NA,NA,NA,13.86,81.20,0.85,23.65,0.00,0.00,73.28,987.03,NA
2025-01-04 00:00:00,309.12,443.29,37.19,57.38,60.78,26.79,5.89,1.57,20.73,1.13,6.35,NA,NA,NA,NA,13.79,82.89,2.26,23.47,0.00,0.00,72.56,987.01,NA
2025-01-05 00:00:00,184.50,280.29,12.46,37.26,29.95,22.89,10.74,1.02,13.73,0.49,1.61,NA,NA,NA,NA,13.34,80.31,2.07,25.52,0.00,0.00,79.38,987.16,NA
2025-01-06 00:00:00,215.67,312.60,10.56,47.22,33.70,21.23,13.48,1.02,17.72,0.51,1.83,NA,NA,NA,NA,14.08,80.07,2.05,21.16,0.00,0.00,64.93,986.97,NA
2025-01-07 00:00:00,180.71,286.83,20.43,34.53,35.00,19.92,13.47,1.02,27.22,0.46,2.11,NA,NA,NA,NA,13.54,81.82,1.89,15.26,0.00,0.00,45.55,987.26,NA
2025-01-08 00:00:00,165.33,293.33,53.56,58.29,75.64,20.22,11.86,1.32,33.67,0.57,3.12,NA,NA,NA,NA,14.20,70.38,1.45,26.24,0.00,0.00,81.71,987.04,NA
2025-01-09 00:00:00,334.04,506.58,122.49,88.77,146.83,26.04,7.80,2.46,22.31,0.96,6.14,NA,NA,NA,NA,13.55,76.55,1.14,20.71,0.00,0.00,63.48,987.34,NA
2025-01-10 00:00:00,277.12,397.92,49.31,53.21,68.42,37.50,6.55,2.04,16.14,0.72,4.40,NA,NA,NA,NA,12.91,87.47,1.43,22.50,0.00,0.00,66.10,986.69,NA
2025-01-11 00:00:00,179.83,252.04,8.00,46.31,31.14,35.51,8.05,1.70,24.99,0.48,1.95,NA,NA,NA,NA,13.33,87.89,2.24,17.93,0.05,4.50,50.53,986.07,NA
2025-01-12 00:00:00,178.75,252.71,48.03,52.67,66.28,32.95,8.09,1.90,13.62,0.68,3.82,NA,NA,NA,NA,14.11,86.56,1.08,17.01,0.00,0.00,47.30,986.28,NA
2025-01-13 00:00:00,150.25,229.79,20.35,48.59,42.37,31.74,6.96,1.48,15.45,0.50,2.62,NA,NA,NA,NA,14.40,84.08,1.67,26.14,0.00,0.00,77.50,986.10,NA
2025-01-14 00:00:00,201.21,319.38,42.28,52.39,62.21,30.87,10.47,1.99,31.86,0.71,3.50,NA,NA,NA,NA,14.34,81.52,1.24,25.91,0.00,0.00,76.76,986.14,NA
2025-01-15 00:00:00,279.04,393.17,103.85,48.66,110.33,30.76,6.01,1.92,10.52,0.96,5.51,NA,NA,NA,NA,13.28,89.89,1.56,18.19,0.00,0.00,51.30,986.07,NA
