Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,200.47,289.21,16.25,45.31,37.31,27.90,20.44,1.54,12.58,NA,NA,NA,NA,NA,NA,14.36,82.44,0.56,197.47,NA,0.00,53.71,NA,-0.00
2025-01-02 00:00:00,203.98,285.67,12.27,42.38,32.51,32.45,16.80,1.83,12.27,NA,NA,NA,NA,NA,NA,14.41,85.05,0.68,191.49,NA,0.00,46.75,NA,-0.01
2025-01-03 00:00:00,278.12,393.42,29.11,51.44,51.03,40.17,17.87,3.50,11.05,NA,NA,NA,NA,NA,NA,15.44,83.59,0.36,190.08,NA,0.00,57.04,NA,-0.01
2025-01-04 00:00:00,307.83,510.92,21.62,62.98,51.07,44.51,30.33,2.92,11.76,NA,NA,NA,NA,NA,NA,15.87,83.54,0.37,174.25,NA,0.00,55.65,NA,-0.01
2025-01-05 00:00:00,192.75,273.08,12.18,44.33,33.49,36.36,19.25,1.71,8.40,NA,NA,NA,NA,NA,NA,14.75,81.14,0.55,157.53,NA,0.00,66.66,NA,0.00
2025-01-06 00:00:00,174.62,237.92,8.58,40.46,28.50,34.18,14.66,1.63,11.69,NA,NA,NA,NA,NA,NA,15.40,85.28,0.72,185.05,NA,0.00,34.86,NA,-0.01
2025-01-07 00:00:00,174.48,254.78,13.45,36.34,30.27,36.76,23.26,1.60,61.64,NA,NA,NA,NA,NA,NA,15.03,87.92,0.69,189.22,NA,0.00,16.05,NA,-0.01
2025-01-08 00:00:00,166.51,260.01,20.31,46.35,41.17,37.43,9.20,1.49,284.57,NA,NA,NA,NA,NA,NA,15.92,74.41,0.66,179.65,NA,0.00,79.14,NA,-0.01
2025-01-09 00:00:00,316.67,488.22,84.42,64.93,103.18,43.57,9.20,2.92,167.02,NA,NA,NA,NA,NA,NA,15.83,78.15,0.33,163.38,NA,0.00,60.19,NA,-0.01
2025-01-10 00:00:00,279.14,415.62,49.94,57.29,71.08,42.51,9.20,2.10,184.64,NA,NA,NA,NA,NA,NA,15.55,82.47,0.39,158.42,NA,0.00,58.02,NA,-0.00
2025-01-11 00:00:00,175.38,232.83,9.51,49.14,33.87,37.17,9.20,1.08,225.71,NA,NA,NA,NA,NA,NA,15.40,86.22,0.65,157.24,NA,0.00,40.27,NA,0.00
2025-01-12 00:00:00,162.47,217.35,17.50,44.65,37.97,35.62,9.20,1.40,145.51,NA,NA,NA,NA,NA,NA,15.73,85.06,0.42,185.44,NA,0.00,34.96,NA,-0.01
2025-01-13 00:00:00,134.64,192.97,7.55,41.28,28.09,33.22,9.20,1.10,167.93,NA,NA,NA,NA,NA,NA,15.96,84.06,0.71,184.05,NA,0.00,61.71,NA,-0.01
2025-01-14 00:00:00,175.70,255.67,30.77,42.72,47.74,33.57,9.20,1.77,272.22,NA,NA,NA,NA,NA,NA,15.96,81.47,0.68,178.98,NA,0.00,75.69,NA,-0.01
2025-01-15 00:00:00,344.34,480.29,93.26,51.45,103.11,38.94,9.20,3.01,104.22,NA,NA,NA,NA,NA,NA,15.59,85.70,0.44,160.20,NA,0.00,48.53,NA,-0.00
2025-01-16 00:00:00,164.29,221.21,32.28,51.57,53.68,33.35,9.20,1.80,143.76,NA,NA,NA,NA,NA,NA,16.22,82.27,0.37,172.84,NA,0.00,46.55,NA,-0.01
2025-01-17 00:00:00,142.12,212.62,7.59,41.14,28.05,30.34,9.20,1.13,194.78,NA,NA,NA,NA,NA,NA,15.48,83.99,0.76,196.93,NA,0.00,72.01,NA,-0.01
2025-01-18 00:00:00,166.42,264.29,15.05,45.15,36.25,31.07,9.20,1.43,243.98,NA,NA,NA,NA,NA,NA,16.31,80.94,0.46,189.86,NA,0.00,65.77,NA,-0.01
2025-01-19 00:00:00,276.16,433.33,136.97,37.02,104.65,39.20,9.20,3.28,212.63,NA,NA,NA,NA,NA,NA,18.09,77.42,0.33,188.96,NA,0.00,71.56,NA,-0.01
2025-01-20 00:00:00,176.23,263.88,NA,NA,NA,NA,9.20,1.48,264.77,NA,NA,NA,NA,NA,NA,18.26,74.51,0.65,186.88,NA,0.00,79.66,NA,-0.01
2025-01-21 00:00:00,146.38,245.79,NA,NA,NA,NA,9.20,1.26,344.29,NA,NA,NA,NA,NA,NA,18.00,69.69,0.66,185.58,NA,0.00,82.06,NA,-0.01
2025-01-22 00:00:00,134.69,230.88,NA,NA,0.00,NA,9.10,1.62,213.20,NA,NA,NA,NA,NA,NA,18.11,73.02,0.45,184.00,NA,0.00,78.03,NA,-0.01
2025-01-23 00:00:00,132.69,228.64,NA,NA,NA,NA,26.10,1.31,89.45,NA,NA,NA,NA,NA,NA,18.08,67.54,0.55,187.86,NA,0.00,80.27,NA,-0.01
2025-01-24 00:00:00,102.52,186.50,8.17,130.28,67.48,73.34,43.22,0.99,34.24,NA,NA,NA,NA,NA,NA,16.21,60.29,0.94,194.60,NA,0.00,86.61,NA,-0.01
2025-01-25 00:00:00,91.00,182.90,6.91,84.29,50.30,39.71,26.56,0.92,36.31,NA,NA,NA,NA,NA,NA,16.25,55.75,1.07,179.47,NA,0.00,82.29,NA,-0.02
2025-01-26 00:00:00,115.54,195.62,12.80,81.79,53.90,41.81,18.09,1.15,36.24,NA,NA,NA,NA,NA,NA,17.05,58.39,0.58,182.00,NA,0.00,88.94,NA,-0.01
2025-01-27 00:00:00,132.36,231.04,11.60,91.85,58.28,45.66,16.67,1.26,35.13,NA,NA,NA,NA,NA,NA,17.16,61.53,0.62,180.11,NA,0.00,88.18,NA,-0.01
2025-01-28 00:00:00,158.12,286.71,48.99,96.44,90.92,48.94,37.02,1.64,35.58,NA,NA,NA,NA,NA,NA,17.21,64.08,0.47,175.31,NA,0.00,87.34,NA,-0.01
2025-01-29 00:00:00,264.17,424.42,86.70,129.82,139.47,60.31,30.18,1.28,29.27,NA,NA,NA,NA,NA,NA,18.09,69.44,0.37,171.61,NA,0.00,77.22,NA,-0.00
2025-01-30 00:00:00,202.29,313.92,35.55,95.08,79.48,55.33,26.18,1.39,29.17,NA,NA,NA,NA,NA,NA,18.78,70.75,0.49,168.71,NA,0.00,77.00,NA,-0.00
2025-01-31 00:00:00,227.04,347.54,60.46,51.11,73.70,46.56,24.96,1.70,13.94,NA,NA,NA,NA,NA,NA,18.91,77.72,0.45,183.80,NA,0.00,77.07,NA,-0.01
2025-02-01 00:00:00,228.65,341.52,25.82,64.23,55.16,46.89,15.20,2.05,12.06,NA,NA,NA,NA,NA,NA,18.58,80.19,0.32,204.58,NA,0.00,54.62,NA,-0.01
2025-02-02 00:00:00,180.96,251.79,9.26,44.89,31.41,38.28,16.55,0.81,17.16,NA,NA,NA,NA,NA,NA,17.91,79.89,0.59,201.62,NA,0.00,62.64,NA,-0.01
2025-02-03 00:00:00,133.17,222.42,15.77,49.51,39.16,31.48,15.32,1.95,23.02,NA,NA,NA,NA,NA,NA,18.41,70.53,0.51,195.79,NA,0.00,88.53,NA,-0.01
2025-02-04 00:00:00,172.88,315.46,24.47,65.40,54.68,35.49,31.52,1.57,16.42,NA,NA,NA,NA,NA,NA,19.55,65.85,0.39,190.01,NA,0.00,41.60,NA,-0.01
2025-02-05 00:00:00,120.21,189.08,5.50,44.40,28.09,29.75,10.76,1.10,30.61,NA,NA,NA,NA,NA,NA,18.83,66.71,0.73,196.78,NA,0.00,92.34,NA,-0.01
2025-02-06 00:00:00,100.67,182.38,4.35,45.42,27.70,24.40,16.23,1.15,38.08,NA,NA,NA,NA,NA,NA,18.62,60.90,0.98,198.31,NA,0.00,94.08,NA,0.01
2025-02-07 00:00:00,80.20,168.62,3.75,39.61,24.11,22.79,23.41,1.24,38.77,NA,NA,NA,NA,NA,NA,18.45,52.77,1.20,195.96,NA,0.00,95.56,NA,-0.02
2025-02-08 00:00:00,91.54,179.75,5.44,42.95,27.25,24.48,13.82,1.50,35.82,NA,NA,NA,NA,NA,NA,18.80,53.53,0.69,188.93,NA,0.00,94.84,NA,-0.01
2025-02-09 00:00:00,121.21,220.25,20.38,50.55,43.45,28.96,31.26,1.53,32.03,NA,NA,NA,NA,NA,NA,18.96,61.72,0.43,178.10,NA,0.00,92.43,NA,-0.01
2025-02-10 00:00:00,147.54,272.38,45.64,54.75,66.22,33.72,24.04,2.56,27.88,NA,NA,NA,NA,NA,NA,19.44,63.83,0.46,174.67,NA,0.00,80.17,NA,-0.01
2025-02-11 00:00:00,174.71,325.42,72.76,53.25,87.47,38.21,15.72,1.14,32.48,NA,NA,NA,NA,NA,NA,20.19,63.96,0.39,179.75,NA,0.00,87.24,NA,-0.01
2025-02-12 00:00:00,92.62,189.00,18.77,31.65,31.90,32.14,28.26,0.54,28.19,NA,NA,NA,NA,NA,NA,19.94,58.42,0.93,196.65,NA,0.00,92.89,NA,0.00
2025-02-13 00:00:00,65.85,150.12,1.55,20.79,12.32,31.12,20.18,1.13,38.71,NA,NA,NA,NA,NA,NA,19.44,53.62,1.45,199.16,NA,0.00,94.57,NA,-0.02
2025-02-14 00:00:00,67.24,151.62,1.87,23.71,14.13,29.33,26.14,1.17,33.78,NA,NA,NA,NA,NA,NA,19.49,50.40,0.94,190.72,NA,0.00,93.19,NA,-0.02
2025-02-15 00:00:00,107.24,224.75,27.12,38.13,42.32,40.51,15.29,1.58,28.43,NA,NA,NA,NA,NA,NA,19.68,53.84,0.45,181.33,NA,0.00,81.47,NA,-0.00
2025-02-16 00:00:00,166.42,281.67,31.32,47.76,50.04,52.16,25.15,1.25,35.09,NA,NA,NA,NA,NA,NA,19.98,59.56,0.42,178.39,NA,0.00,79.17,NA,-0.01
