Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,180.39,321.27,77.07,56.91,91.91,66.59,8.45,1.22,5.25,4.34,20.19,NA,NA,NA,NA,13.04,81.56,0.30,270.61,0.00,0.00,64.85,985.40,NA
2025-01-02 00:00:00,174.54,305.42,62.35,45.51,73.80,81.26,9.14,1.32,5.46,4.26,18.90,NA,NA,NA,NA,13.16,83.20,0.30,254.18,0.00,0.00,60.84,985.14,NA
2025-01-03 00:00:00,156.71,272.60,61.20,21.05,59.69,91.45,6.85,0.73,4.82,5.14,19.18,NA,NA,NA,NA,11.49,95.00,0.30,165.17,0.00,0.00,6.77,984.34,NA
2025-01-04 00:00:00,304.33,420.41,8.46,89.42,53.43,116.14,10.44,0.82,23.04,5.66,24.44,NA,NA,NA,NA,15.14,81.37,0.30,171.67,0.00,0.00,93.51,984.35,NA
2025-01-05 00:00:00,141.62,247.79,13.69,43.59,33.37,84.63,10.14,0.77,8.95,2.96,6.92,NA,NA,NA,NA,13.46,85.70,0.30,175.77,0.00,0.00,75.43,984.15,NA
2025-01-06 00:00:00,153.33,263.88,58.87,56.64,76.89,80.31,10.74,0.84,5.94,3.22,11.26,NA,NA,NA,NA,14.13,84.32,0.96,251.32,0.00,0.00,51.91,984.77,NA
2025-01-07 00:00:00,160.83,295.71,72.06,48.04,83.20,84.26,11.58,1.00,8.20,3.58,17.45,NA,NA,NA,NA,13.86,84.95,2.31,283.06,0.00,0.00,39.07,984.97,NA
2025-01-08 00:00:00,146.50,259.58,83.19,68.87,103.29,83.10,10.52,1.13,8.24,3.91,22.66,NA,NA,NA,NA,14.12,76.28,1.57,284.95,0.00,0.00,91.27,984.10,NA
2025-01-09 00:00:00,244.58,330.75,98.73,66.98,115.37,82.30,10.26,1.13,11.27,4.46,20.38,NA,NA,NA,NA,13.13,81.60,0.81,208.51,0.00,0.00,76.78,984.97,NA
2025-01-10 00:00:00,195.27,276.56,58.89,52.48,74.03,80.86,9.34,1.06,10.89,3.57,16.22,NA,NA,NA,NA,12.69,88.54,1.42,195.98,0.00,0.00,68.53,985.83,NA
2025-01-11 00:00:00,143.79,217.29,38.30,56.53,60.33,75.19,9.90,0.94,13.56,3.06,12.05,NA,NA,NA,NA,13.67,88.25,2.72,207.51,0.00,0.00,51.10,985.41,NA
2025-01-12 00:00:00,152.33,246.50,83.21,59.72,98.37,71.35,10.11,0.95,6.51,4.33,25.24,NA,NA,NA,NA,14.09,86.06,1.02,238.79,0.00,0.00,46.09,985.86,NA
2025-01-13 00:00:00,134.29,237.41,68.28,58.92,85.73,74.82,9.75,1.02,6.77,2.74,16.06,NA,NA,NA,NA,14.49,84.47,2.13,294.69,0.00,0.00,77.67,985.62,NA
2025-01-14 00:00:00,160.67,273.79,67.91,65.24,88.92,75.99,10.39,1.10,8.96,3.92,18.09,NA,NA,NA,NA,14.26,82.10,1.53,281.90,0.00,0.00,89.98,985.67,NA
2025-01-15 00:00:00,220.71,300.83,94.17,58.24,106.53,81.02,9.46,1.04,8.72,6.06,24.49,NA,NA,NA,NA,12.91,90.28,1.56,186.78,0.00,0.00,54.36,985.90,NA
2025-01-16 00:00:00,127.95,214.40,64.80,60.10,84.29,69.25,10.40,1.15,9.62,3.46,14.27,NA,NA,NA,NA,14.29,85.21,0.90,185.27,0.00,0.00,60.76,986.66,NA
2025-01-17 00:00:00,137.42,260.62,61.63,54.58,78.13,74.44,9.24,0.67,7.83,4.33,19.84,NA,NA,NA,NA,13.96,85.06,2.31,286.64,0.00,0.00,87.82,986.48,NA
2025-01-18 00:00:00,130.17,244.92,32.24,52.97,53.52,76.92,9.96,0.73,14.01,3.03,16.11,NA,NA,NA,NA,14.86,80.73,1.41,218.90,0.00,0.00,87.24,985.65,NA
