Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,138.97,236.89,17.11,28.73,29.20,NA,NA,1.97,24.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,154.32,249.67,23.05,27.23,33.22,NA,NA,2.14,24.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,232.79,392.85,65.80,55.45,83.00,NA,NA,3.20,27.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,220.20,327.10,47.29,67.51,74.35,NA,NA,3.39,28.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,134.44,229.76,13.81,38.14,31.51,NA,NA,2.15,18.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,131.30,203.95,14.41,29.36,27.33,NA,NA,2.08,23.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,127.72,206.89,9.18,12.45,14.09,NA,NA,1.90,29.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-08 00:00:00,132.61,233.82,60.94,44.95,73.45,NA,NA,2.37,32.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-09 00:00:00,226.90,353.25,125.94,86.15,148.21,NA,NA,3.17,26.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-10 00:00:00,190.33,305.34,73.69,55.67,89.57,NA,NA,3.07,23.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
