Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,205.88,281.68,26.30,44.99,44.00,25.32,24.23,1.45,12.72,0.07,0.49,NA,NA,NA,NA,12.31,83.97,0.76,193.65,NA,0.00,40.24,NA,-0.07
2025-01-02 00:00:00,205.92,289.21,29.26,42.00,43.74,33.74,19.39,1.69,12.93,0.00,0.12,NA,NA,NA,NA,12.42,85.34,0.69,193.24,NA,0.00,40.52,NA,-0.09
2025-01-03 00:00:00,289.75,384.37,72.57,53.40,86.05,40.80,25.51,2.92,14.02,0.01,0.18,NA,NA,NA,NA,14.07,83.85,0.34,188.89,NA,0.00,40.93,767.20,-0.03
2025-01-04 00:00:00,278.92,359.71,41.68,57.14,63.09,40.96,23.31,2.71,13.66,0.01,0.19,NA,NA,NA,NA,14.18,86.27,0.66,174.42,NA,0.00,43.00,770.21,0.13
2025-01-05 00:00:00,174.17,245.00,7.24,39.55,26.61,32.12,12.16,1.24,12.61,0.00,0.10,NA,NA,NA,NA,13.61,84.45,0.80,169.90,NA,0.00,48.34,749.45,0.02
2025-01-06 00:00:00,174.79,237.92,7.27,40.11,26.77,29.01,11.44,1.20,12.60,0.01,0.12,NA,NA,NA,NA,14.41,84.77,0.84,184.05,NA,0.00,40.47,749.30,-0.21
2025-01-07 00:00:00,180.58,260.08,24.15,35.06,34.47,32.86,10.09,1.34,14.83,0.00,0.07,NA,NA,NA,NA,13.83,85.77,0.90,198.47,NA,0.00,21.21,749.22,-0.57
2025-01-08 00:00:00,176.81,246.17,38.44,50.06,56.43,32.05,13.32,1.62,16.63,0.00,0.08,NA,NA,NA,NA,14.63,75.16,0.75,195.65,NA,0.00,53.24,750.12,-0.48
2025-01-09 00:00:00,318.56,365.78,121.19,60.50,128.59,32.27,19.04,3.21,14.60,0.00,0.14,NA,NA,NA,NA,14.34,77.01,0.47,176.83,NA,0.00,50.41,747.15,-0.51
2025-01-10 00:00:00,270.75,357.00,69.23,44.96,77.08,33.92,9.77,2.11,12.70,0.01,0.16,NA,NA,NA,NA,13.06,87.75,0.70,182.33,NA,0.00,43.77,754.00,0.06
