Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,194.44,271.65,13.79,44.81,35.25,24.87,4.60,1.36,23.21,0.15,8.05,NA,NA,NA,NA,12.34,84.87,1.38,259.45,0.00,0.00,61.00,988.46,NA
2025-01-02 00:00:00,196.67,280.42,18.04,38.61,35.22,61.29,6.57,1.60,21.11,0.15,26.16,NA,NA,NA,NA,12.44,87.36,1.46,237.36,0.00,0.00,52.35,987.33,NA
2025-01-03 00:00:00,255.46,362.33,58.68,41.65,70.01,120.25,5.05,2.57,15.96,0.21,13.41,NA,NA,NA,NA,14.16,88.98,1.14,230.79,0.00,0.00,60.92,987.70,NA
2025-01-04 00:00:00,278.57,372.43,26.22,64.15,55.44,119.26,2.63,2.41,16.11,0.27,13.00,NA,NA,NA,NA,13.99,91.27,1.46,118.81,0.00,0.00,57.43,986.27,NA
2025-01-05 00:00:00,193.29,286.38,17.15,53.60,42.55,93.04,5.77,1.63,15.49,0.09,9.17,NA,NA,NA,NA,14.46,83.00,1.32,110.67,0.00,0.00,61.66,986.19,NA
2025-01-06 00:00:00,180.88,249.88,8.41,38.76,27.35,88.06,4.92,1.27,22.28,0.11,7.97,NA,NA,NA,NA,14.33,87.83,1.53,184.73,0.04,4.00,39.62,989.97,NA
2025-01-07 00:00:00,175.75,256.08,12.93,28.15,25.37,100.82,4.81,1.19,29.93,0.06,6.84,NA,NA,NA,NA,13.75,88.79,1.47,248.25,0.00,0.00,32.92,989.93,NA
2025-01-08 00:00:00,164.83,267.12,70.69,45.97,81.91,95.53,8.56,1.84,31.97,0.15,7.19,NA,NA,NA,NA,14.71,79.41,1.48,224.38,0.00,0.00,63.98,987.04,NA
2025-01-09 00:00:00,354.71,514.62,119.20,72.35,135.17,125.55,5.08,3.30,25.78,0.39,15.34,NA,NA,NA,NA,14.52,83.55,1.31,157.07,0.00,0.00,58.21,989.64,NA
2025-01-10 00:00:00,354.08,478.00,53.06,68.46,79.48,127.52,2.34,2.41,16.19,0.35,13.61,NA,NA,NA,NA,13.71,89.16,1.28,102.90,0.00,0.00,56.68,991.40,NA
2025-01-11 00:00:00,192.71,259.46,14.82,52.50,39.99,99.88,2.24,1.46,22.82,0.09,9.55,NA,NA,NA,NA,13.88,89.21,1.57,132.81,0.02,2.00,41.31,989.97,NA
2025-01-12 00:00:00,156.79,201.04,14.92,43.87,35.49,84.69,4.31,1.19,19.29,0.14,8.31,NA,NA,NA,NA,14.39,88.04,1.33,231.45,0.00,0.00,41.18,991.03,NA
2025-01-13 00:00:00,128.04,172.04,7.21,37.30,25.70,76.53,4.50,0.96,18.07,0.12,6.21,NA,NA,NA,NA,14.42,89.44,1.77,217.36,0.00,0.00,65.95,990.74,NA
2025-01-14 00:00:00,200.50,274.62,60.37,44.51,72.75,87.65,6.93,1.97,28.23,0.10,7.42,NA,NA,NA,NA,14.54,86.30,1.57,217.24,0.00,0.00,68.76,990.71,NA
2025-01-15 00:00:00,381.08,504.83,106.06,66.44,121.53,114.85,4.17,3.26,10.91,0.61,15.17,NA,NA,NA,NA,13.41,92.69,1.33,138.34,0.00,0.00,47.52,992.28,NA
2025-01-16 00:00:00,197.12,262.42,23.15,64.69,53.21,91.54,6.16,1.61,20.12,0.13,8.67,NA,NA,NA,NA,15.37,85.39,1.27,168.59,0.02,2.00,58.52,993.15,NA
2025-01-17 00:00:00,133.96,177.00,6.41,33.72,23.14,79.98,3.60,0.99,22.66,0.07,6.28,NA,NA,NA,NA,13.21,90.32,1.58,241.85,0.00,0.00,70.94,992.59,NA
2025-01-18 00:00:00,176.71,267.79,23.16,44.17,42.51,86.90,5.91,1.39,26.17,0.08,6.70,NA,NA,NA,NA,15.01,85.65,1.47,225.07,0.00,0.00,59.39,990.46,NA
2025-01-19 00:00:00,254.21,397.29,82.23,62.35,99.94,108.82,9.78,2.41,29.99,0.23,13.11,NA,NA,NA,NA,18.58,80.16,1.17,187.99,0.00,0.00,64.39,989.83,NA
2025-01-20 00:00:00,168.08,226.17,7.83,49.66,32.79,101.18,5.10,1.09,32.68,0.10,6.72,NA,NA,NA,NA,18.88,75.99,1.45,223.38,0.00,0.00,65.84,988.10,NA
2025-01-21 00:00:00,155.62,218.75,6.05,52.36,32.76,86.13,10.36,0.99,42.04,0.06,6.60,NA,NA,NA,NA,18.41,70.92,1.61,216.68,0.00,0.00,70.31,986.80,NA
