Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,139.39,233.33,14.56,60.46,42.67,20.84,11.46,1.13,15.11,2.53,4.20,NA,NA,2.28,2.21,NA,81.05,0.40,256.46,NA,NA,167.71,NA,0.15
2025-01-02 00:00:00,117.96,184.72,14.33,58.74,41.94,14.58,10.49,1.01,10.15,2.08,3.24,NA,NA,1.83,1.76,NA,87.05,0.68,282.94,NA,NA,184.62,NA,0.23
2025-01-03 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-04 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-05 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-06 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-07 00:00:00,176.79,246.10,12.66,67.27,45.16,31.98,19.60,1.04,16.93,2.36,4.62,NA,NA,2.08,1.98,NA,84.40,0.36,233.08,NA,NA,148.70,NA,0.24
2025-01-08 00:00:00,64.67,285.81,13.81,71.09,48.57,25.08,17.99,1.16,18.87,2.07,3.49,NA,NA,1.62,1.60,NA,73.02,0.50,233.30,NA,NA,241.84,NA,0.22
2025-01-09 00:00:00,173.92,390.08,22.19,97.19,69.47,28.21,24.50,1.26,17.75,1.80,2.28,NA,NA,1.32,1.46,NA,73.85,0.21,129.18,NA,NA,152.74,NA,0.23
2025-01-10 00:00:00,187.63,286.87,14.46,74.79,50.70,31.46,8.85,1.19,25.33,2.21,2.98,NA,NA,1.82,1.78,NA,86.76,0.49,134.28,NA,NA,208.28,NA,0.24
2025-01-11 00:00:00,109.88,178.02,10.42,62.69,41.11,30.22,8.27,1.18,23.48,2.21,2.98,NA,NA,1.81,1.78,NA,89.92,0.75,150.15,NA,NA,157.25,NA,0.25
2025-01-12 00:00:00,86.95,159.04,12.89,66.96,45.80,24.49,11.53,1.18,21.86,2.21,3.01,NA,NA,1.84,1.79,NA,87.77,0.32,236.35,NA,NA,216.77,NA,0.25
2025-01-13 00:00:00,127.73,151.65,11.92,63.97,42.49,21.71,16.67,1.19,25.15,2.27,3.13,NA,NA,1.91,1.85,NA,88.25,0.87,257.06,NA,NA,211.46,NA,0.26
2025-01-14 00:00:00,143.10,230.07,14.44,72.14,47.75,22.65,37.13,1.20,27.95,2.17,3.49,NA,NA,1.89,1.67,NA,83.81,0.64,230.72,NA,NA,235.25,NA,0.25
2025-01-15 00:00:00,214.53,330.25,22.30,91.97,64.79,22.82,33.95,1.11,22.85,1.79,2.93,NA,NA,1.43,1.42,NA,90.34,0.47,152.49,NA,NA,198.00,NA,0.24
2025-01-16 00:00:00,91.41,181.96,13.30,68.62,45.05,24.11,18.47,1.09,24.60,1.78,2.91,NA,NA,1.43,1.41,NA,83.82,0.29,135.64,NA,NA,206.16,NA,0.24
2025-01-17 00:00:00,93.71,151.30,12.21,64.16,41.64,19.78,6.93,1.10,19.87,1.79,2.93,NA,NA,1.44,1.42,NA,88.16,0.73,262.14,NA,NA,248.28,NA,0.09
2025-01-18 00:00:00,118.89,191.42,12.83,63.90,42.02,21.52,15.42,1.11,14.00,1.79,2.93,NA,NA,1.44,1.40,NA,82.66,0.43,175.79,NA,NA,199.37,NA,-0.06
2025-01-19 00:00:00,193.43,347.75,18.56,82.74,56.92,29.64,18.13,1.10,19.35,1.80,2.93,NA,NA,1.44,1.43,NA,77.47,0.18,158.47,NA,NA,185.96,NA,-0.08
2025-01-20 00:00:00,124.07,195.69,12.71,65.85,43.03,24.31,16.04,1.09,21.57,1.78,2.79,NA,NA,1.51,1.40,NA,71.41,0.47,261.04,NA,NA,199.19,NA,0.01
