Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,219.70,309.52,22.95,28.55,51.45,69.90,47.85,1.04,22.06,0.27,NA,NA,NA,0.03,0.11,10.87,87.11,1.49,154.72,0.00,0.00,91.52,NA,NA
2025-01-02 00:00:00,219.89,321.44,24.53,29.35,53.91,71.17,47.58,1.13,21.63,0.43,NA,NA,NA,0.24,0.30,10.96,88.80,1.73,155.75,0.00,0.00,85.88,NA,NA
2025-01-03 00:00:00,299.41,456.70,25.46,24.12,49.55,90.53,46.64,2.31,21.59,0.23,NA,NA,NA,0.02,0.10,12.44,88.50,0.75,113.66,0.00,0.00,84.88,NA,NA
2025-01-04 00:00:00,316.88,401.50,22.10,32.27,54.36,77.93,44.69,2.78,20.39,0.25,NA,NA,NA,0.04,0.10,12.27,91.40,0.69,85.49,0.00,0.00,83.17,NA,NA
2025-01-05 00:00:00,217.47,296.21,23.49,32.96,56.45,58.50,44.49,1.07,20.28,0.26,NA,NA,NA,0.03,0.11,11.55,90.33,0.98,97.74,0.00,0.00,84.32,NA,NA
2025-01-06 00:00:00,187.62,249.34,23.56,32.58,53.33,58.66,44.49,0.95,20.34,1.01,NA,NA,NA,0.76,0.86,12.12,89.82,1.69,135.44,0.00,0.00,64.76,NA,NA
2025-01-07 00:00:00,192.66,266.21,24.52,34.15,58.66,60.71,44.83,0.77,20.47,0.24,NA,NA,NA,0.03,0.10,12.07,89.78,2.52,147.36,0.00,0.00,55.48,NA,NA
2025-01-08 00:00:00,172.28,271.36,24.23,34.94,59.18,75.13,44.76,1.17,21.16,0.24,NA,NA,NA,0.04,0.10,12.58,80.06,2.04,155.72,0.00,0.00,75.89,NA,NA
2025-01-09 00:00:00,282.80,414.04,24.22,32.51,56.73,82.46,45.55,2.24,20.32,0.21,NA,NA,NA,0.03,0.12,12.23,82.97,0.51,217.25,0.00,0.00,69.14,NA,NA
2025-01-10 00:00:00,293.08,384.66,24.26,33.29,57.53,64.25,44.82,1.97,20.19,0.22,NA,NA,NA,0.03,0.09,11.32,91.29,0.87,256.22,0.00,0.00,91.12,NA,NA
2025-01-11 00:00:00,178.89,231.71,23.95,34.09,58.03,59.58,44.82,0.94,20.36,0.20,NA,NA,NA,0.03,0.10,11.92,92.37,1.24,173.79,0.00,0.00,66.38,NA,NA
2025-01-12 00:00:00,162.40,200.97,23.73,33.54,57.27,68.28,45.54,1.08,20.30,0.26,NA,NA,NA,0.03,0.11,12.68,91.59,1.05,144.97,0.00,0.00,70.94,NA,NA
2025-01-13 00:00:00,129.46,163.19,23.79,34.20,57.42,57.23,44.96,0.53,20.31,0.89,NA,NA,NA,0.68,0.80,12.71,89.89,2.36,168.23,0.00,0.00,104.06,NA,NA
2025-01-14 00:00:00,170.77,229.65,23.89,33.37,56.63,67.54,45.53,1.08,20.50,0.24,NA,NA,NA,0.03,0.12,12.63,87.32,2.03,145.50,0.00,0.00,97.12,NA,NA
2025-01-15 00:00:00,261.85,323.95,23.72,32.14,55.80,91.47,46.25,2.33,20.46,0.23,NA,NA,NA,0.03,0.10,11.70,92.41,0.80,163.34,0.00,0.00,83.75,NA,NA
2025-01-16 00:00:00,166.49,204.32,23.95,32.77,56.74,68.24,45.34,1.42,20.98,0.75,NA,NA,NA,0.54,0.64,13.02,90.24,0.66,239.41,0.00,0.00,94.52,NA,NA
2025-01-17 00:00:00,171.96,202.04,24.34,32.46,56.79,64.86,44.96,1.17,22.23,0.23,NA,NA,NA,0.02,0.12,12.12,90.17,2.42,161.44,0.00,0.00,103.11,NA,NA
2025-01-18 00:00:00,168.93,218.13,24.01,34.17,58.17,61.05,43.48,0.78,22.44,0.23,NA,NA,NA,0.03,0.10,13.48,84.47,1.42,103.90,0.00,0.00,101.15,NA,NA
2025-01-19 00:00:00,229.57,284.80,23.52,34.14,57.65,93.62,45.45,2.27,22.52,0.27,NA,NA,NA,0.02,0.11,15.84,84.59,0.70,71.78,0.00,0.00,85.67,NA,NA
2025-01-20 00:00:00,175.10,204.71,24.27,35.08,59.35,66.19,43.99,1.11,22.14,0.23,NA,NA,NA,0.03,0.11,16.83,80.20,1.87,160.40,0.00,0.00,86.01,NA,NA
2025-01-21 00:00:00,143.29,192.42,24.83,35.24,60.07,58.05,46.40,0.60,22.62,0.23,NA,NA,NA,0.03,0.12,16.37,74.54,2.17,164.35,0.00,0.00,85.53,NA,NA
2025-01-22 00:00:00,132.19,229.67,24.17,35.24,59.42,73.93,45.79,1.06,19.56,0.21,NA,NA,NA,0.02,0.09,16.33,77.58,1.43,151.29,0.00,0.01,85.19,NA,NA
2025-01-23 00:00:00,111.56,170.78,23.75,35.91,59.65,73.22,47.38,1.18,22.01,0.20,NA,NA,NA,0.03,0.09,16.78,75.82,1.79,139.05,0.00,0.00,101.10,NA,NA
2025-01-24 00:00:00,98.57,168.16,23.77,35.43,59.20,60.02,46.79,0.49,25.89,0.83,NA,NA,NA,0.22,0.32,15.68,67.64,2.34,162.33,0.00,0.00,89.63,NA,NA
2025-01-25 00:00:00,81.46,162.96,25.28,34.71,59.99,69.16,43.58,0.52,111.20,1.36,NA,NA,NA,0.39,0.51,14.74,63.13,1.91,155.07,0.00,0.00,92.28,NA,NA
2025-01-26 00:00:00,102.65,183.25,25.10,34.41,59.51,71.39,43.69,0.67,30.20,1.37,NA,NA,NA,0.47,0.54,14.27,64.22,1.82,149.54,0.00,0.00,93.83,NA,NA
2025-01-27 00:00:00,128.65,225.91,25.08,35.86,60.93,69.47,46.88,0.94,26.05,1.19,NA,NA,NA,0.41,0.58,13.96,70.14,1.68,145.03,0.00,0.00,90.89,NA,NA
2025-01-28 00:00:00,142.15,262.05,24.31,36.63,60.96,70.45,46.63,1.26,25.13,1.46,NA,NA,NA,0.41,0.56,14.15,71.56,1.37,133.18,0.00,0.00,94.74,NA,NA
2025-01-29 00:00:00,261.30,395.25,24.35,33.03,57.37,95.08,43.01,2.59,21.68,1.35,NA,NA,NA,0.50,0.60,14.68,81.02,0.53,61.35,0.00,0.00,94.94,NA,NA
2025-01-30 00:00:00,208.01,316.26,24.64,34.30,58.95,64.55,48.09,1.43,23.92,1.33,NA,NA,NA,0.37,0.58,16.05,83.32,0.69,54.84,0.00,0.00,96.31,NA,NA
