Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,113.73,190.63,16.85,34.32,31.95,33.42,5.21,1.02,26.72,NA,NA,NA,NA,NA,NA,12.76,80.33,0.57,201.28,0.00,0.00,85.37,994.16,NA
2025-01-02 00:00:00,137.74,235.91,32.76,29.74,42.45,55.24,5.62,1.57,24.75,NA,NA,NA,NA,NA,NA,12.94,81.13,0.62,246.14,0.00,0.00,70.80,994.15,NA
2025-01-03 00:00:00,166.46,269.92,36.73,37.60,49.86,67.50,5.12,1.85,18.18,NA,NA,NA,NA,NA,NA,13.43,85.55,0.43,220.68,0.00,0.00,69.33,994.26,NA
2025-01-04 00:00:00,214.21,339.79,39.04,59.11,63.18,66.04,7.95,2.38,18.28,NA,NA,NA,NA,NA,NA,13.98,85.09,0.81,130.96,0.00,0.00,75.16,994.17,NA
2025-01-05 00:00:00,158.88,288.33,25.84,48.45,46.78,52.06,10.07,1.40,20.48,NA,NA,NA,NA,NA,NA,14.13,78.80,1.24,164.82,0.00,0.00,94.29,993.91,NA
2025-01-06 00:00:00,154.04,240.50,19.27,44.97,39.59,46.65,8.52,1.33,18.83,NA,NA,NA,NA,NA,NA,14.52,81.11,0.73,215.35,0.00,0.00,61.57,993.90,NA
2025-01-07 00:00:00,124.04,205.67,22.12,28.23,33.00,51.23,6.81,1.66,36.40,NA,NA,NA,NA,NA,NA,13.58,83.15,0.87,260.96,0.00,0.00,37.94,994.64,NA
2025-01-08 00:00:00,104.92,220.84,45.94,39.68,58.45,71.55,8.01,1.93,20.39,NA,NA,NA,NA,NA,NA,14.31,73.90,0.65,263.83,0.00,0.00,114.81,993.50,NA
2025-01-09 00:00:00,255.71,446.40,148.55,56.99,151.09,92.25,9.82,4.09,22.38,NA,NA,NA,NA,NA,NA,13.07,80.62,0.50,151.39,0.00,0.00,88.74,993.72,NA
2025-01-10 00:00:00,234.50,382.17,61.74,55.29,79.60,85.62,9.22,2.69,18.96,NA,NA,NA,NA,NA,NA,13.02,80.23,0.58,125.86,0.00,0.00,79.00,993.91,NA
2025-01-11 00:00:00,144.96,235.58,22.64,51.75,45.94,87.91,7.58,1.78,25.35,NA,NA,NA,NA,NA,NA,14.03,81.44,1.20,176.12,0.00,0.00,67.62,993.93,NA
2025-01-12 00:00:00,117.19,177.01,36.84,45.22,54.00,73.97,6.64,1.76,17.61,NA,NA,NA,NA,NA,NA,14.21,83.52,0.39,231.20,0.00,0.00,50.11,994.20,NA
2025-01-13 00:00:00,94.12,157.58,20.17,42.52,39.02,67.92,6.93,1.65,14.27,NA,NA,NA,NA,NA,NA,14.64,81.17,0.87,269.98,0.00,0.00,101.20,993.80,NA
2025-01-14 00:00:00,120.17,201.79,28.25,41.56,45.08,71.25,8.34,1.93,21.89,NA,NA,NA,NA,NA,NA,14.45,78.76,0.53,188.38,0.00,0.00,110.28,993.59,NA
2025-01-15 00:00:00,224.33,372.67,90.74,57.30,104.25,68.29,10.08,3.13,11.33,NA,NA,NA,NA,NA,NA,13.23,86.28,0.83,92.86,0.00,0.00,62.43,994.00,NA
2025-01-16 00:00:00,167.49,237.46,26.22,49.71,47.49,73.58,12.27,1.68,13.17,NA,NA,NA,NA,NA,NA,14.38,82.61,0.41,127.16,0.00,0.00,63.23,994.05,NA
