Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,146.25,243.32,20.71,29.59,32.58,39.43,35.93,1.45,21.43,NA,NA,NA,NA,NA,NA,13.55,81.16,1.54,78.02,0.00,0.00,74.06,989.09,NA
2025-01-02 00:00:00,159.70,260.28,16.22,30.42,29.37,59.09,40.81,1.68,23.10,0.37,2.92,NA,NA,NA,NA,13.83,81.16,1.68,82.25,0.00,0.00,68.46,988.78,NA
2025-01-03 00:00:00,193.67,330.29,60.60,41.66,71.43,59.97,51.32,2.47,31.25,0.41,3.04,NA,NA,NA,NA,14.30,79.53,1.02,92.38,0.00,0.00,67.90,988.69,NA
2025-01-04 00:00:00,186.56,336.50,52.56,62.64,76.05,70.98,50.94,2.99,26.70,0.52,4.85,NA,NA,NA,NA,15.12,80.80,1.24,179.97,0.00,0.00,61.58,987.91,NA
2025-01-05 00:00:00,115.80,233.21,15.06,34.57,30.63,56.55,44.69,1.58,19.73,0.24,1.13,NA,NA,NA,NA,14.79,78.41,1.34,203.95,0.00,0.00,64.96,987.83,NA
2025-01-06 00:00:00,109.21,223.38,10.14,35.27,27.00,51.84,44.46,1.43,24.97,0.22,1.04,NA,NA,NA,NA,15.61,78.46,1.82,112.38,0.00,0.00,71.56,988.31,NA
2025-01-07 00:00:00,110.21,213.50,12.90,20.08,21.17,62.94,42.19,1.32,37.55,0.18,1.07,NA,NA,NA,NA,14.82,80.97,2.21,83.65,0.00,0.00,48.23,988.73,NA
2025-01-08 00:00:00,88.83,186.00,14.99,35.91,31.29,49.71,44.48,1.29,42.91,0.19,1.25,NA,NA,NA,NA,14.83,72.70,1.88,71.20,0.00,0.00,86.36,987.54,NA
2025-01-09 00:00:00,155.21,311.83,67.94,46.06,79.74,54.21,52.64,2.32,37.00,0.28,2.08,NA,NA,NA,NA,14.43,74.44,0.93,111.88,0.00,0.00,83.60,988.68,NA
2025-01-10 00:00:00,166.25,331.14,52.77,33.49,60.72,55.82,50.57,2.14,24.31,0.34,2.35,NA,NA,NA,NA,13.95,89.75,1.11,169.36,0.00,0.00,69.21,989.65,NA
2025-01-11 00:00:00,97.90,213.31,8.15,36.17,25.87,52.38,44.47,1.47,37.80,0.21,1.05,NA,NA,NA,NA,15.19,87.57,1.44,180.07,0.00,0.00,58.08,988.99,NA
2025-01-12 00:00:00,68.00,171.94,27.12,34.73,40.52,46.90,45.06,1.56,24.65,0.21,1.69,NA,NA,NA,NA,15.21,90.69,1.29,92.64,0.00,0.00,53.74,989.42,NA
2025-01-13 00:00:00,65.94,149.09,9.71,37.08,27.62,38.05,42.66,1.15,25.17,0.14,0.86,NA,NA,NA,NA,15.61,86.66,2.24,69.03,0.00,0.00,77.05,989.11,NA
2025-01-14 00:00:00,79.36,179.22,11.64,45.84,33.85,32.86,44.35,1.30,46.88,0.17,1.18,NA,NA,NA,NA,15.35,83.15,1.81,76.35,0.00,0.00,89.40,989.17,NA
2025-01-15 00:00:00,131.91,278.29,50.52,49.93,67.64,37.98,45.27,2.14,22.10,0.36,3.94,NA,NA,NA,NA,14.20,91.21,1.14,161.26,0.00,0.00,58.01,989.88,NA
2025-01-16 00:00:00,68.02,156.72,18.63,40.73,36.82,34.91,43.49,1.39,31.19,0.17,1.28,NA,NA,NA,NA,15.56,87.47,1.05,136.54,0.00,0.00,65.02,990.20,NA
2025-01-17 00:00:00,77.79,186.90,12.51,45.53,34.38,32.70,42.93,1.37,30.93,0.21,1.79,NA,NA,NA,NA,15.02,88.64,2.20,73.79,0.00,0.00,83.25,990.10,NA
2025-01-18 00:00:00,82.90,216.53,22.46,50.80,45.27,35.23,42.97,1.49,44.50,0.18,1.72,NA,NA,NA,NA,16.29,80.46,1.49,96.22,0.00,0.00,99.65,988.95,NA
2025-01-19 00:00:00,102.80,256.68,55.78,54.14,74.15,37.09,45.91,1.98,40.23,0.28,2.71,NA,NA,NA,NA,17.27,79.85,1.07,105.34,0.00,0.00,91.92,987.95,NA
2025-01-20 00:00:00,78.54,205.17,14.10,55.81,41.16,34.09,44.49,1.32,39.02,0.16,1.20,NA,NA,NA,NA,17.67,78.45,1.85,75.33,0.00,0.00,97.65,987.54,NA
2025-01-21 00:00:00,70.00,186.21,8.47,52.75,34.95,25.38,43.75,1.12,55.95,0.12,0.59,NA,NA,NA,NA,17.24,75.48,2.08,64.76,0.00,0.00,107.51,986.80,NA
2025-01-22 00:00:00,60.75,165.92,28.24,48.01,48.49,25.02,42.30,1.31,43.61,0.12,1.18,NA,NA,NA,NA,17.19,78.10,1.47,85.64,0.00,0.00,104.86,986.58,NA
2025-01-23 00:00:00,55.23,133.71,20.37,44.47,40.02,29.42,41.80,1.27,39.77,0.16,1.87,NA,NA,NA,NA,17.42,77.00,1.62,89.92,0.00,0.00,107.64,987.29,NA
2025-01-24 00:00:00,81.06,144.25,10.77,50.03,35.27,31.25,42.55,1.09,49.87,0.10,0.69,NA,NA,NA,NA,16.59,72.51,2.12,67.65,0.00,0.00,118.30,987.19,NA
2025-01-25 00:00:00,63.75,126.92,5.31,42.43,26.89,27.68,41.91,0.96,58.50,0.08,0.38,NA,NA,NA,NA,16.29,66.33,2.05,67.45,0.00,0.00,127.46,987.04,NA
2025-01-26 00:00:00,79.88,145.29,5.13,35.65,23.14,26.12,43.41,1.08,63.09,0.11,0.57,NA,NA,NA,NA,15.44,70.88,1.59,79.10,0.00,0.00,126.70,987.04,NA
2025-01-27 00:00:00,105.17,178.46,9.06,43.42,30.45,26.24,42.46,1.17,54.98,0.12,0.78,NA,NA,NA,NA,15.04,74.40,1.65,71.34,0.00,0.00,123.75,986.50,NA
2025-01-28 00:00:00,111.50,189.12,21.67,49.44,43.90,28.32,43.66,1.47,56.52,0.13,0.91,NA,NA,NA,NA,15.42,75.16,1.33,84.92,0.00,0.00,122.20,986.25,NA
2025-01-29 00:00:00,228.16,336.25,121.72,51.49,126.33,35.76,47.64,2.88,49.81,0.38,4.06,NA,NA,NA,NA,16.06,78.51,1.09,146.28,0.00,0.00,110.23,986.96,NA
2025-01-30 00:00:00,176.84,263.46,45.45,42.18,59.38,36.31,43.11,1.88,44.00,0.21,1.74,NA,NA,NA,NA,17.15,79.14,1.06,159.55,0.00,0.00,108.95,985.47,NA
2025-01-31 00:00:00,181.83,263.96,33.60,34.56,45.70,33.05,43.41,1.73,48.16,0.25,2.36,NA,NA,NA,NA,17.56,79.04,1.02,100.61,0.00,0.00,108.92,985.29,NA
2025-02-01 00:00:00,171.91,258.85,51.93,60.06,73.67,38.83,44.14,2.11,29.98,0.42,6.44,NA,NA,NA,NA,17.84,79.21,1.07,100.26,0.00,0.00,100.29,985.90,NA
2025-02-02 00:00:00,154.75,229.74,24.66,110.57,78.86,4.64,19.25,1.53,32.64,0.22,1.49,NA,NA,NA,NA,17.40,79.49,1.57,68.97,0.00,0.00,54.44,987.61,NA
2025-02-03 00:00:00,100.22,175.04,22.13,44.89,41.87,26.29,6.59,1.44,41.82,0.13,0.85,NA,NA,NA,NA,16.98,75.57,1.54,80.07,0.00,0.00,121.40,987.34,NA
2025-02-04 00:00:00,142.18,248.01,48.66,58.87,70.87,36.19,9.92,2.02,37.65,0.30,2.98,NA,NA,NA,NA,18.77,75.92,1.13,129.62,0.00,0.00,82.23,987.46,NA
2025-02-05 00:00:00,106.16,178.50,10.51,41.13,30.42,31.96,7.10,1.09,49.00,0.16,1.42,NA,NA,NA,NA,17.25,73.86,1.98,68.20,0.00,0.00,132.25,987.93,NA
2025-02-06 00:00:00,87.46,161.42,5.34,36.39,23.70,25.72,8.22,1.02,62.74,0.10,0.74,NA,NA,NA,NA,17.17,64.90,2.50,78.52,0.00,0.00,138.30,988.90,NA
2025-02-07 00:00:00,67.81,139.88,5.68,47.58,29.88,25.42,8.23,0.94,59.26,0.09,0.48,NA,NA,NA,NA,16.97,59.71,2.74,67.33,0.00,0.00,138.32,988.73,NA
