Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,198.91,283.18,14.14,33.86,29.50,40.50,4.93,1.12,7.85,1.87,9.84,NA,NA,NA,NA,14.08,74.62,1.74,308.41,0.00,0.00,77.36,986.29,NA
2025-01-02 00:00:00,223.85,319.33,16.89,35.59,32.66,42.50,5.22,1.73,7.15,2.05,15.55,NA,NA,NA,NA,14.15,77.72,1.67,293.52,0.00,0.00,67.60,986.12,NA
2025-01-03 00:00:00,363.65,523.48,49.19,46.95,64.96,45.94,6.88,3.36,4.99,4.45,36.59,NA,NA,NA,NA,15.01,82.65,0.88,268.67,0.00,0.00,67.02,986.19,NA
2025-01-04 00:00:00,396.27,542.81,51.06,66.66,71.93,41.97,16.09,2.72,4.13,5.54,52.04,NA,NA,NA,NA,14.87,82.72,2.01,205.49,0.00,0.00,69.33,986.07,NA
2025-01-05 00:00:00,205.69,291.01,24.51,46.69,44.77,NA,9.24,2.52,4.83,1.81,14.48,NA,NA,NA,NA,14.72,78.30,2.15,167.02,0.00,0.00,83.71,986.00,NA
2025-01-06 00:00:00,232.43,312.79,20.97,43.95,40.43,136.63,9.86,2.98,5.95,3.22,18.88,NA,NA,NA,NA,15.45,77.30,2.09,254.59,0.00,0.00,59.53,986.00,NA
2025-01-07 00:00:00,196.46,270.44,12.24,40.38,31.43,84.55,5.85,0.95,8.42,2.09,13.29,NA,NA,NA,NA,14.76,80.31,2.16,295.88,0.00,0.00,32.64,986.60,NA
2025-01-08 00:00:00,189.10,295.49,38.73,55.53,61.03,65.83,8.87,1.20,10.65,2.54,23.41,NA,NA,NA,NA,15.60,69.97,1.84,310.69,0.00,0.00,101.24,986.57,NA
2025-01-09 00:00:00,426.52,590.49,133.57,103.14,163.45,64.04,9.46,2.28,6.79,6.26,60.02,NA,NA,NA,NA,14.70,77.49,0.98,188.78,0.00,0.00,74.73,986.69,NA
2025-01-10 00:00:00,323.83,442.31,70.93,77.60,98.93,64.45,7.66,1.31,4.12,3.20,44.51,NA,NA,NA,NA,14.15,82.67,1.18,153.44,0.00,0.00,70.61,986.80,NA
2025-01-11 00:00:00,190.07,251.68,11.96,53.74,38.20,59.15,6.57,0.82,6.09,1.89,19.02,NA,NA,NA,NA,14.84,80.44,2.15,202.82,0.03,3.00,59.26,986.98,NA
2025-01-12 00:00:00,224.90,275.45,23.69,51.86,46.85,52.16,6.80,1.78,6.35,2.45,17.33,NA,NA,NA,NA,15.47,79.44,1.22,312.97,0.00,0.00,45.12,986.53,NA
2025-01-13 00:00:00,154.91,210.33,13.01,47.72,35.20,58.96,5.63,1.74,7.87,0.67,4.67,NA,NA,NA,NA,15.74,77.52,2.22,306.25,0.00,0.00,88.29,986.02,NA
2025-01-14 00:00:00,231.54,315.67,42.72,38.64,55.28,66.43,9.04,2.39,27.85,0.00,0.00,NA,NA,NA,NA,15.63,74.70,1.68,287.72,0.00,0.00,97.93,985.94,NA
2025-01-15 00:00:00,341.67,463.30,91.19,46.70,97.96,72.40,17.98,2.90,11.68,0.64,7.82,NA,NA,NA,NA,14.59,83.20,1.54,221.98,0.02,2.00,57.49,985.76,NA
2025-01-16 00:00:00,271.08,360.39,46.01,43.45,60.52,55.37,14.08,2.62,17.72,2.63,30.74,NA,NA,NA,NA,15.49,77.40,1.17,242.27,0.04,4.00,59.28,985.33,NA
2025-01-17 00:00:00,169.96,238.97,15.98,27.27,27.51,62.05,8.73,1.36,20.70,2.98,35.75,NA,NA,NA,NA,15.19,77.41,2.12,332.32,0.00,0.00,99.66,985.78,NA
2025-01-18 00:00:00,195.00,282.62,23.18,29.10,34.33,48.53,10.54,1.83,22.65,1.73,15.76,NA,NA,NA,NA,15.68,75.00,1.62,248.35,0.00,0.00,86.42,985.72,NA
2025-01-19 00:00:00,281.84,414.82,51.62,42.39,66.44,49.46,14.62,2.88,31.82,3.10,24.99,NA,NA,NA,NA,17.60,71.48,0.88,292.94,0.00,0.00,92.47,985.49,NA
2025-01-20 00:00:00,186.45,271.42,13.63,37.32,30.81,49.71,10.52,1.53,29.83,2.51,27.59,NA,NA,NA,NA,18.37,65.48,2.19,321.14,0.00,0.00,103.88,985.46,NA
2025-01-21 00:00:00,148.84,231.81,5.22,34.37,22.47,46.27,11.36,1.32,39.00,2.30,23.90,NA,NA,NA,NA,18.13,61.28,2.37,317.96,0.00,0.00,107.54,985.45,NA
2025-01-22 00:00:00,138.69,234.36,21.97,45.14,41.85,43.37,11.60,1.76,31.48,2.10,26.58,NA,NA,NA,NA,18.09,63.64,1.40,334.92,0.00,0.00,104.98,985.29,NA
2025-01-23 00:00:00,131.70,218.27,13.78,43.21,34.18,51.23,11.76,1.38,33.56,2.20,43.91,NA,NA,NA,NA,18.51,60.56,1.79,327.24,0.00,0.00,106.02,984.94,NA
2025-01-24 00:00:00,101.03,190.56,4.22,36.32,22.18,53.29,12.30,1.08,42.43,1.41,17.26,NA,NA,NA,NA,18.01,53.48,2.70,330.16,0.00,0.00,114.17,984.83,NA
2025-01-25 00:00:00,94.53,195.89,5.85,44.21,28.07,47.84,11.01,1.12,41.87,1.63,16.03,NA,NA,NA,NA,17.71,49.14,2.73,323.46,0.00,0.00,119.81,985.27,NA
2025-01-26 00:00:00,125.12,220.28,22.96,48.07,43.18,49.27,11.80,1.74,42.35,1.81,13.92,NA,NA,NA,NA,16.85,54.29,1.72,296.66,0.00,0.00,117.43,985.83,NA
2025-01-27 00:00:00,140.11,255.67,26.71,58.49,51.45,46.30,11.10,1.77,39.05,1.78,15.78,NA,NA,NA,NA,16.75,57.62,1.62,319.55,0.00,0.00,114.02,986.21,NA
2025-01-28 00:00:00,162.96,294.52,50.64,66.73,75.74,49.72,12.74,2.42,42.99,2.19,20.89,NA,NA,NA,NA,17.01,57.74,1.32,319.51,0.00,0.00,109.62,986.72,NA
2025-01-29 00:00:00,273.43,428.40,47.02,68.89,73.98,53.04,13.84,2.29,35.98,2.49,25.53,NA,NA,NA,NA,16.93,68.24,1.35,174.04,0.00,0.00,96.96,986.74,NA
2025-01-30 00:00:00,207.39,313.69,27.80,60.29,54.62,40.58,12.75,2.02,30.44,1.39,22.72,NA,NA,NA,NA,17.84,68.49,1.34,152.61,0.00,0.00,97.41,986.67,NA
