Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,189.49,281.73,25.90,62.87,54.52,58.69,8.04,1.52,15.48,5.35,5.67,NA,NA,NA,NA,12.28,83.05,1.67,251.13,0.00,0.00,82.20,980.16,NA
2025-01-02 00:00:00,222.59,323.21,36.88,63.84,63.91,88.90,8.88,2.62,54.92,6.49,7.02,NA,NA,NA,NA,12.38,85.72,1.54,214.23,0.00,0.00,70.51,980.18,NA
2025-01-03 00:00:00,327.39,505.64,115.75,97.09,145.73,148.51,16.76,2.87,71.20,10.74,8.76,NA,NA,NA,NA,13.44,87.25,0.97,221.62,0.00,0.00,77.51,981.24,NA
2025-01-04 00:00:00,343.04,500.92,85.37,119.47,132.90,182.37,20.17,4.17,44.25,13.29,10.54,NA,NA,NA,NA,13.48,83.17,1.82,201.79,0.00,0.00,73.31,980.10,NA
2025-01-05 00:00:00,223.00,346.42,36.04,82.17,72.98,122.88,17.26,1.72,38.72,8.39,4.80,NA,NA,NA,NA,13.28,83.35,2.45,157.34,0.00,0.00,87.74,979.29,NA
2025-01-06 00:00:00,214.57,305.65,29.39,79.05,65.93,110.28,17.29,1.01,35.84,6.80,6.14,NA,NA,NA,NA,13.42,86.00,1.63,216.59,0.00,0.00,61.41,979.25,NA
2025-01-07 00:00:00,196.64,309.78,45.27,66.95,72.06,113.16,18.53,1.17,40.92,5.32,6.55,NA,NA,NA,NA,12.99,86.89,1.80,226.10,0.00,0.00,28.44,979.60,NA
2025-01-08 00:00:00,199.04,342.10,78.94,88.20,110.39,92.88,18.16,2.03,44.07,6.84,7.93,NA,NA,NA,NA,13.65,67.94,1.48,209.76,0.00,0.00,74.85,980.07,NA
2025-01-09 00:00:00,418.62,607.40,187.33,115.79,213.59,104.04,12.68,2.84,44.60,14.53,11.33,NA,NA,NA,NA,13.44,81.19,0.88,158.39,0.00,0.00,55.62,979.94,NA
2025-01-10 00:00:00,381.92,550.43,106.65,97.24,138.40,91.32,13.88,3.29,44.25,11.99,8.81,NA,NA,NA,NA,13.15,81.09,1.50,132.33,0.00,0.00,51.22,979.94,NA
